src1.lognorm src1.logkT src1.lognH
-3.882015133088921210e+00 3.899630236549858076e-01 2.229138413520428230e+01
-3.921260917983705241e+00 3.910205142477547469e-01 2.224112560765988178e+01
-3.803091558250153881e+00 3.339739827785104254e-01 2.235548529936524886e+01
-3.881699365520524303e+00 3.829584755026052001e-01 2.230944703168288257e+01
-3.929864662702303946e+00 3.884042219018806197e-01 2.224203039992319830e+01
-3.877095698213957498e+00 3.914472840297367195e-01 2.228519367050017053e+01
-3.799818786473228904e+00 3.544817316569279786e-01 2.236335824034809150e+01
-3.886973266142562444e+00 3.660637953436125525e-01 2.229466708363203509e+01
-3.833324052809429006e+00 3.520311225388326193e-01 2.232344470429496042e+01
-3.866975129525422439e+00 3.712619986818732620e-01 2.231772911049674590e+01
-3.825736675362265693e+00 3.435793218791647341e-01 2.231829450440441320e+01
-3.923060032093188099e+00 4.824921587593022920e-01 2.224685101899014228e+01
-4.018366635090794503e+00 5.256137305976229523e-01 2.216013520897395495e+01
-3.857408264105378848e+00 3.478588176077230809e-01 2.232395283208490611e+01
-3.966516622921024471e+00 3.905080637704874125e-01 2.227520816567704287e+01
-3.909355880400781302e+00 4.241122611339145365e-01 2.230404762372290506e+01
-3.880921421080712364e+00 4.296850008508561469e-01 2.225217206138754733e+01
-3.801548081833194814e+00 3.170293554824272775e-01 2.231844249497680721e+01
-3.849957421246797296e+00 3.722531633786885230e-01 2.232752972629679533e+01
-4.010984236924124424e+00 4.829991610691852788e-01 2.215348526285266217e+01
-3.946200589361128941e+00 4.570495769972904299e-01 2.219620448825417114e+01
-3.971321341990345921e+00 4.600411752073951810e-01 2.221932360568439790e+01
-3.886251309607230198e+00 4.055407925178142747e-01 2.228428443506355094e+01
-3.872770379346447633e+00 3.029600170577342322e-01 2.231433002140896349e+01
-3.887023473886720204e+00 4.322340270749513991e-01 2.227698646816860162e+01
-3.834517162451977157e+00 4.009069619239307158e-01 2.230254181835266536e+01
-3.892941449889721461e+00 3.813931732187458845e-01 2.228200877691758208e+01
-3.842050819632703451e+00 3.131592881802185424e-01 2.234421957228418165e+01
-3.872163984822945437e+00 4.012871096802788085e-01 2.231824942955870483e+01
