weight logl src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.252851885982099304e+11 1.656258236361921377e+00 -5.614565206875457903e+00 -2.508552642201085092e+00 2.209075105627901436e+01
0.000000000000000000e+00 -7.960805333584291077e+10 1.270750482922686331e+00 1.909713718847990904e+00 -1.812102689975467307e+00 1.956771816017223031e+01
0.000000000000000000e+00 -7.208475689974435425e+10 -6.675456299187546350e+00 1.221576069245740470e+00 -2.929457581816312661e+00 2.102900684216440297e+01
0.000000000000000000e+00 -5.932669162179998779e+10 1.858009210472056694e+00 -7.051751798113833125e+00 -1.737986881928029970e+00 1.914973650289691420e+01
0.000000000000000000e+00 -3.051539520759232712e+10 -3.433987235026039642e+00 1.967987829225442908e+00 9.900203002395731033e+00 2.013480312315726906e+01
0.000000000000000000e+00 -2.345150750506377411e+10 -7.661245545110359600e+00 7.364221874096585907e-01 -2.961435377283306636e+00 2.225275630597537813e+01
0.000000000000000000e+00 -2.242463573581109238e+10 1.624879201422235298e+00 8.457507956278291772e-01 -1.369975547116135450e+00 2.055489568232466979e+01
0.000000000000000000e+00 -2.155757482949080658e+10 -7.859863222129455984e+00 1.604947802278234192e+00 -1.580706859957067278e+00 2.139417241620375165e+01
0.000000000000000000e+00 -1.631857516111307144e+10 -5.852032095621210850e+00 1.510957706510305698e+00 -1.524616166727694067e+00 1.978860304488181754e+01
0.000000000000000000e+00 -1.219471291583870697e+10 1.392563035463936671e+00 -3.102070707233847813e+00 -1.408260471925879331e+00 2.009421576709303281e+01
0.000000000000000000e+00 -9.103103237588909149e+09 5.323650034508133899e-01 1.515549697076172819e+00 -1.185118630388955596e+00 2.252449802091107500e+01
0.000000000000000000e+00 -6.632305433631723404e+09 1.135487520911254933e+00 -2.422480875374438014e+00 -1.396441403601292874e+00 1.977020436556705718e+01
0.000000000000000000e+00 -6.466870774242115974e+09 -3.507336304985594566e+00 4.305508551401189266e-01 -2.556594960341540101e+00 2.061929015012747968e+01
0.000000000000000000e+00 -4.968021963178590775e+09 1.486287834755559700e+00 -4.301650642562113269e+00 8.235721497532981772e+00 1.942087719245234823e+01
0.000000000000000000e+00 -4.327599458769106865e+09 1.846587548305013371e+00 -4.972504819859343783e+00 6.884486045082445216e+00 1.939420886375599906e+01
0.000000000000000000e+00 -4.099647921671582222e+09 -1.715534327672294523e+00 4.224389826910091017e-01 -2.270820411212737699e+00 2.071771781598112483e+01
0.000000000000000000e+00 -3.903287677424428463e+09 1.997501752813400699e+00 3.147639293656911974e-01 6.479859303497890188e-01 2.036957442640922267e+01
0.000000000000000000e+00 -3.513974021437042236e+09 -7.314441711267854807e+00 1.381430786340523298e+00 -6.171872179261157498e-01 1.974363888928591848e+01
0.000000000000000000e+00 -3.427117690815511227e+09 1.460572867557047516e+00 -3.282605561348129086e+00 -3.874668215449128539e-01 1.903242652075509866e+01
0.000000000000000000e+00 -3.377704337877248764e+09 9.120690443666301661e-01 -5.715450776982690329e+00 -1.307537579599857613e+00 2.149151736850342331e+01
0.000000000000000000e+00 -2.926017157011971951e+09 -9.103991162221296563e-01 6.046746971619398892e-01 -1.751571796212919363e+00 1.992216365912937093e+01
0.000000000000000000e+00 -2.837770538672120094e+09 1.756435069049597786e+00 1.936564564848852754e+00 1.568188430468600458e+00 2.038790019378172502e+01
0.000000000000000000e+00 -2.415978713606633186e+09 -5.825750621925421591e+00 1.238170167675267663e-01 -2.384394820256312109e+00 2.134173275213642995e+01
0.000000000000000000e+00 -2.267527105417918205e+09 5.673472170818740778e-01 -1.648865504804447824e+00 9.850199834705588131e+00 1.922835100588806156e+01
0.000000000000000000e+00 -2.226235916505139828e+09 2.166375884931497353e-01 9.435854493607465088e-01 -8.956624383316151849e-01 1.955386621938841785e+01
0.000000000000000000e+00 -2.041240520752370596e+09 1.268059648347707125e+00 6.390841596686414050e-02 9.105027590069795451e+00 2.108110201679177820e+01
0.000000000000000000e+00 -1.883567076513218164e+09 -5.812869301601245375e+00 1.535416417959742930e+00 7.496291317563828827e+00 2.025907730600833290e+01
0.000000000000000000e+00 -1.872456044855487823e+09 9.341536819340969799e-01 -3.436744477781632945e+00 -1.102875473308605692e+00 2.286519034294852304e+01
0.000000000000000000e+00 -1.737855905110017300e+09 8.234943115251844858e-01 -3.820942479456324037e+00 -9.749263317559182518e-01 2.021281250800214835e+01
0.000000000000000000e+00 -1.733224928208933830e+09 1.316602132175598072e+00 1.177803298657002173e+00 7.062005651793093364e+00 2.047468228591024797e+01
0.000000000000000000e+00 -1.481203093874239922e+09 -3.826144201937220934e+00 1.649392804880934094e+00 -3.985613557971974252e-01 2.341833409295542978e+01
0.000000000000000000e+00 -1.247462814643356562e+09 -6.048062447106642203e+00 1.852046676045121743e+00 1.780210143782694487e+00 2.034558364642519734e+01
0.000000000000000000e+00 -1.106522407803364754e+09 5.803091325714078152e-01 -4.640837012199289013e+00 8.977446130277275671e+00 1.946681510193297626e+01
0.000000000000000000e+00 -1.004203224601716638e+09 1.813584814913184573e+00 -2.246716058112667724e-01 2.337721053977283248e+00 2.037062825588630233e+01
0.000000000000000000e+00 -1.003638888151160598e+09 6.242667005964275262e-01 -6.234533099489648400e+00 -2.266137453049885675e+00 2.408086121429458970e+01
0.000000000000000000e+00 -9.302934609070699215e+08 1.334013846945266479e+00 -1.259124365482904295e-01 6.804361057763308906e+00 2.065873690310053945e+01
0.000000000000000000e+00 -8.991079283567339182e+08 -1.317032224495488180e+00 1.859851125842144626e+00 2.465218234289415555e+00 2.095617571687572323e+01
0.000000000000000000e+00 -8.551672988165347576e+08 -3.439303078377671241e+00 1.396112233554120508e+00 3.896493670715894808e-02 2.280675520200817985e+01
0.000000000000000000e+00 -8.192531883383166790e+08 -2.358057169511921458e+00 8.069558889828858383e-01 -6.184841719233160617e-01 2.200665669113778478e+01
0.000000000000000000e+00 -8.054600234285855293e+08 1.003633126538225895e-01 -7.194763936452052810e+00 9.945009738067451366e+00 1.968759095255339986e+01
0.000000000000000000e+00 -7.751183936457650661e+08 -3.957618998121441578e-01 -7.060794083828691114e+00 -2.661550709901447043e+00 2.348918002099436109e+01
0.000000000000000000e+00 -7.171849669435703754e+08 -6.260027237432636227e+00 1.633085510995030631e+00 1.960770548055296381e+00 1.906656996314525188e+01
0.000000000000000000e+00 -7.068280850251131058e+08 9.819243646801787406e-01 1.393370243503653683e+00 5.282599362507589547e+00 1.963056804333091421e+01
0.000000000000000000e+00 -6.786955195554921627e+08 -4.720429587747254629e+00 1.576031861843336657e+00 5.097356845673909120e+00 1.905021722750345603e+01
0.000000000000000000e+00 -6.758790661246718168e+08 1.342037111208030709e+00 -2.138003879751376957e+00 5.793104519224819171e+00 1.996343147113676864e+01
0.000000000000000000e+00 -6.684824651837337017e+08 -7.865135845098709666e+00 6.699042967734811782e-01 -6.045677941374880682e-01 2.052086739325915943e+01
0.000000000000000000e+00 -6.645250112342206240e+08 -3.860672361825541188e+00 1.701018143186134424e+00 2.854514317366350973e+00 1.985190580728288978e+01
0.000000000000000000e+00 -5.397963036459922791e+08 -5.607914381544120808e+00 1.507121477984183500e+00 5.054421020991295421e+00 2.010982911698451048e+01
0.000000000000000000e+00 -5.249346208264181018e+08 1.537019268530713134e+00 -7.741533632879678883e+00 3.606735428583760061e+00 1.901472668924010634e+01
0.000000000000000000e+00 -5.188010405078023076e+08 -4.694735541067360352e+00 1.301229253731014168e+00 -1.144507147935321711e+00 2.401260185156313298e+01
0.000000000000000000e+00 -4.806609542932884693e+08 1.329049614979165739e+00 -8.372506983267982150e-01 7.411212062402423584e-01 2.217115735969328938e+01
0.000000000000000000e+00 -4.167724004592733383e+08 9.350180625211290675e-01 -7.642664392711263410e+00 6.509123893314056275e+00 1.943080638456055809e+01
0.000000000000000000e+00 -4.121962717903860807e+08 -7.824415035591652412e+00 4.150068909259445604e-01 8.854889101551496111e+00 1.970443576565237009e+01
0.000000000000000000e+00 -4.112008911751196384e+08 1.138519092758507156e+00 2.178726413767897441e-01 5.965591622370890690e+00 2.061327214945779573e+01
0.000000000000000000e+00 -4.090358536673512459e+08 1.529802601546821350e+00 -1.619424040695692568e+00 5.393561057395217517e+00 2.121040877444612960e+01
0.000000000000000000e+00 -4.072202494643671513e+08 8.903354295676919605e-01 -6.563133307532226901e+00 6.777425578365901870e+00 2.014632166925188628e+01
0.000000000000000000e+00 -3.811382114261248708e+08 1.355496690838553064e+00 -4.039378946971836193e+00 2.082925445582155533e+00 1.995670797947635577e+01
0.000000000000000000e+00 -3.785590313052631617e+08 -4.545795984449702232e+00 9.964317064956134118e-01 5.276942435396527742e-01 2.130162243145547407e+01
0.000000000000000000e+00 -3.664478585034628510e+08 1.128989556111971382e+00 -4.167484448925924845e+00 8.780715278623764775e+00 2.145591860681987839e+01
0.000000000000000000e+00 -3.494106613287796378e+08 -5.065372742437226350e-01 -7.070216620601446067e-01 -1.671695636005983587e+00 2.121288066104635561e+01
0.000000000000000000e+00 -3.439935955307550430e+08 -5.452238207506024281e+00 5.499364838076434836e-01 8.263344245164159219e+00 2.006702751644604987e+01
0.000000000000000000e+00 -3.386031944386480451e+08 -5.003847031379175192e+00 -8.213584531272744016e-02 -1.380170113523826458e+00 1.932734427674158439e+01
0.000000000000000000e+00 -3.188203695041621923e+08 -2.820460397633556049e+00 1.656385629478217325e+00 2.571244945945478477e+00 2.176057540117369271e+01
0.000000000000000000e+00 -2.896996114550436139e+08 -1.551711581145551300e+00 1.346050614179983285e+00 2.916162278309249345e+00 2.001494545883038256e+01
0.000000000000000000e+00 -2.850217955436875224e+08 -7.521993014732855087e+00 1.774060259214753188e+00 3.557437931282653842e+00 2.175617833678452229e+01
0.000000000000000000e+00 -2.823894026466334462e+08 -2.079092318376612347e+00 3.242011837208966796e-01 8.581742778561041618e+00 1.930533857783571250e+01
0.000000000000000000e+00 -2.779127220782521367e+08 -6.048823346349824881e+00 1.629763412324717109e+00 1.726557632167497580e+00 2.233402909136611925e+01
0.000000000000000000e+00 -2.750551399004940391e+08 -1.306064198653317021e+00 -4.310061214771254257e+00 -2.936423664038509962e+00 2.242053220919802925e+01
0.000000000000000000e+00 -2.499707042801736295e+08 8.877150184838864533e-01 -1.361802653842662636e+00 5.868804775586729860e+00 1.990302943777489375e+01
0.000000000000000000e+00 -2.493235212594098747e+08 -7.503916058143557777e+00 9.846198560245209563e-01 -7.851191503464161059e-02 2.324560928083558053e+01
0.000000000000000000e+00 -2.327762953741395473e+08 -5.209696649872221030e+00 -8.651236415390624046e-01 -2.342657857244869746e+00 2.123499135139316252e+01
0.000000000000000000e+00 -2.196950788201512694e+08 -2.429373687367899493e-01 -8.390690782306782225e-01 -1.702006088914857163e+00 2.352913743625570575e+01
0.000000000000000000e+00 -2.113174104088731706e+08 -2.416738547808712667e+00 1.077723581206292636e+00 5.190692184635336659e+00 2.007916153254869585e+01
0.000000000000000000e+00 -2.073356971458949447e+08 -5.207427564993894364e+00 1.948665398072325416e+00 8.289972700158763530e+00 2.190333354709904512e+01
0.000000000000000000e+00 -2.070682808473311067e+08 2.797977442547896487e-01 1.667659218201791305e-01 7.176437898668885040e+00 1.991288446240654153e+01
0.000000000000000000e+00 -2.045542902232786417e+08 1.878264030740954382e+00 7.337685003760316960e-01 2.952893633546132435e+00 2.227867936957576234e+01
0.000000000000000000e+00 -2.044952462889129221e+08 1.137712931104459813e+00 -2.757708050124143995e+00 2.796962141074402552e+00 1.917581765169441255e+01
0.000000000000000000e+00 -2.014971201423040330e+08 1.158160443929851624e+00 -2.061151400399207745e+00 2.784616373209771290e+00 2.046070024159865852e+01
0.000000000000000000e+00 -1.983319262947862744e+08 -4.765439797416792800e-02 1.406451977984030322e+00 1.178882453001461883e-01 2.371812898792735069e+01
0.000000000000000000e+00 -1.887101548327743709e+08 -3.741610765887638301e+00 1.471767423504228844e+00 5.224764660500618163e+00 2.148165920927197448e+01
0.000000000000000000e+00 -1.859799151349415183e+08 5.728907831857164012e-01 -3.525143795866095608e+00 6.543622473935277739e+00 1.929846115290223807e+01
0.000000000000000000e+00 -1.788356767791243494e+08 -3.766715078050939525e-01 -2.048332530999204870e+00 9.576157137743347647e+00 2.015334815809872282e+01
0.000000000000000000e+00 -1.723491716645414531e+08 8.404964120487381507e-01 5.620512470021878926e-01 4.269624492071208088e+00 1.924844402745546290e+01
0.000000000000000000e+00 -1.690580413969267607e+08 -5.113471362229708106e+00 -3.692923611448692967e-01 9.989703993250598657e+00 1.943854804789049950e+01
0.000000000000000000e+00 -1.661683094892408848e+08 1.764115444602619931e+00 -6.109460477443800386e+00 1.657296847399654105e+00 2.300953356745208467e+01
0.000000000000000000e+00 -1.661445312812156081e+08 -4.419153984462083073e+00 -6.983470453203644013e-01 -1.867658625102941672e+00 2.093552102364992251e+01
0.000000000000000000e+00 -1.644045064953223765e+08 -4.687664807726974914e+00 -1.467758904654044017e-01 9.399495905599302148e+00 1.997911166257639692e+01
0.000000000000000000e+00 -1.573192557171473503e+08 -9.234213432764590834e-01 -7.756092709712111066e+00 -2.145632410509919819e+00 2.273154316651964280e+01
0.000000000000000000e+00 -1.217390008285083324e+08 8.823407958554554398e-01 -2.871400799192121767e+00 8.315460248587580594e+00 2.153114952038084695e+01
0.000000000000000000e+00 -9.329123434217481315e+07 -4.302894122902998220e-01 -1.505397051752952464e-01 -2.049972521770144773e-01 2.130666046695914773e+01
0.000000000000000000e+00 -9.162760381897875667e+07 -1.074966588010040525e+00 -1.081325118801859553e+00 -1.926839260036205204e+00 2.332014052519878788e+01
0.000000000000000000e+00 -8.943755582664264739e+07 -1.507308572919911605e+00 -5.898105810100468638e+00 -2.645433999292514216e+00 2.295043469596837937e+01
0.000000000000000000e+00 -8.788641816252535582e+07 -2.806150130041509705e+00 6.134930000686722451e-01 -5.985699711164409464e-01 2.377764165016715125e+01
0.000000000000000000e+00 -8.725878897857429087e+07 6.887458395584928894e-01 -5.522594596155101954e+00 1.900784989837537076e+00 1.999219783503627568e+01
0.000000000000000000e+00 -8.236412808311638236e+07 7.995146174760137114e-01 -7.772066474000089542e+00 3.567918912542495491e+00 2.068334870031759110e+01
0.000000000000000000e+00 -8.049005275983808935e+07 8.861677231283096035e-01 -7.346860741687068597e+00 -1.089010730991253340e-01 2.381632763416600085e+01
0.000000000000000000e+00 -7.055703961461260915e+07 3.721741895429637736e-01 3.620849873282381282e-01 4.094319241752556238e+00 1.952568094199612858e+01
0.000000000000000000e+00 -6.802082688316206634e+07 -9.634074297837003087e-02 8.827137586998823338e-01 1.736245218025977977e-02 2.375942576109225257e+01
0.000000000000000000e+00 -6.075753480993006378e+07 3.789855569438671523e-02 -7.332498009176747544e+00 2.317566270480915236e-01 2.105250035195892622e+01
0.000000000000000000e+00 -5.846476404205569625e+07 -7.455068869131161513e+00 1.535282206711684694e+00 7.995929387089875107e+00 2.196193254231188874e+01
0.000000000000000000e+00 -5.708196740837009251e+07 6.108242775941903346e-01 -5.053084253510782275e-01 3.691714865113552513e+00 2.070083808132066849e+01
0.000000000000000000e+00 -5.537269465950112045e+07 -7.380143295658277758e+00 1.087177131437844224e-01 6.905061424069275589e+00 1.918644756507345051e+01
0.000000000000000000e+00 -5.257410944640609622e+07 3.391094651102832813e-02 -4.919022700025991846e+00 1.783780824085869909e-01 2.197921284829564925e+01
0.000000000000000000e+00 -5.122307937735114992e+07 1.334235148307636010e+00 3.210549237448141469e-01 7.319965948596800942e+00 2.192399715514780567e+01
0.000000000000000000e+00 -5.103299431048139930e+07 -7.365474178183308851e-01 -6.748866959218513095e+00 8.944840971903772697e+00 1.966134939093023348e+01
0.000000000000000000e+00 -4.787558720112067461e+07 -7.835612526854873749e+00 5.424188348374041624e-01 2.678188998469638094e+00 1.917099722777009774e+01
0.000000000000000000e+00 -4.543234597226039320e+07 2.155799439086081293e-02 1.254449401647962148e+00 3.192444958468608540e+00 2.222700893821286883e+01
0.000000000000000000e+00 -4.512564473227456212e+07 -7.807318459956768208e+00 -2.818466264039161118e-01 -1.823680181788001065e-01 1.980422542446567746e+01
0.000000000000000000e+00 -4.436444027061983198e+07 4.421937763827390455e-01 -4.737380904802623860e-01 3.117417895530969041e+00 1.989536590469349164e+01
0.000000000000000000e+00 -3.914307881142231077e+07 1.410726570424856163e-01 -6.187947800512425545e-01 5.264328467247128884e+00 1.915325160794925807e+01
0.000000000000000000e+00 -3.895231207120934129e+07 -7.107684241501544875e+00 6.492607383764870121e-02 9.541020354291038785e+00 2.143458723895416540e+01
0.000000000000000000e+00 -3.475890255349417776e+07 -2.712521539232950474e+00 7.871252589388610943e-02 6.186545940018499223e+00 1.910747031882791802e+01
0.000000000000000000e+00 -3.395154182386144251e+07 -2.112109371027024451e-01 -7.757516428212306359e+00 2.589452852539437799e-01 2.075261737205415713e+01
0.000000000000000000e+00 -3.160440662204095349e+07 -6.929952903745570936e-01 -4.355004287143933617e+00 -1.036339208615713492e+00 2.317137233869316759e+01
