weight logl src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -8.041655347695341110e+08 9.422105790523600533e-01 4.169765996342329473e-01 2.570686795483992926e-01 5.786403565734410392e-02
0.000000000000000000e+00 -8.003013247257955074e+08 9.342178298658990743e-01 3.136755785311403644e-01 8.914746537005256988e-01 3.051094088229575618e-01
0.000000000000000000e+00 -7.467779357575523853e+08 8.513972877712038256e-01 6.622960541847565663e-01 1.367541186126752795e-01 2.334831542195668908e-01
0.000000000000000000e+00 -7.378547273342425823e+08 3.514955304886556720e-01 9.270578225922798676e-01 6.139698316633713793e-01 2.171092093127960920e-01
0.000000000000000000e+00 -6.178245260521837473e+08 8.849223212621741830e-01 9.043034242828370539e-01 7.179283493612543809e-01 2.884114625362982354e-01
0.000000000000000000e+00 -5.618032910697200298e+08 3.648226672889279820e-01 8.754281713500444706e-01 2.699617124354337649e-01 1.798646026383551311e-01
0.000000000000000000e+00 -5.575375941974180937e+08 7.866392869402973886e-01 8.899796345841944900e-01 2.924063048512797192e-01 3.318573007104670403e-01
0.000000000000000000e+00 -4.801586673910442591e+08 9.614434774762117275e-01 1.673105192849866363e-01 3.556066758704282682e-01 2.504505122416732510e-01
0.000000000000000000e+00 -4.418796351993294358e+08 9.237574521817912832e-01 5.430894831349868390e-01 7.488570189485976858e-01 2.033752924994312039e-01
0.000000000000000000e+00 -4.199390646678504944e+08 8.524418623606727641e-01 9.921761597416479672e-01 8.442269344887284310e-01 4.197418726949413426e-01
0.000000000000000000e+00 -3.852943907729817629e+08 6.417581240574408152e-01 8.145791393961326898e-01 1.160311704638801178e-01 6.953424158013918888e-01
0.000000000000000000e+00 -3.707187533218532801e+08 9.133498267286512817e-01 5.617323582007422988e-01 7.373846370550138918e-01 1.688656725343262721e-02
0.000000000000000000e+00 -3.401068695919369459e+08 7.434454503810904447e-01 1.366701260604605839e-01 5.194447503406485200e-02 3.367731051045288471e-01
0.000000000000000000e+00 -3.197832228927990794e+08 3.341191232088798202e-01 8.939483807930181936e-01 6.559581690425179135e-01 2.809179419000408240e-01
0.000000000000000000e+00 -3.142879495193479657e+08 4.796728264922016649e-01 6.912847134474714439e-01 6.486580227462035442e-02 5.638069177309734670e-02
0.000000000000000000e+00 -3.095189432020471692e+08 5.824168659869599640e-02 7.675922124347710485e-01 1.510688880474435614e-01 2.964418848226382242e-01
0.000000000000000000e+00 -3.031726711308724880e+08 3.440150924472741290e-01 6.925961265565416802e-01 5.850599143726276097e-02 5.471299028133919107e-01
0.000000000000000000e+00 -2.956261642539313436e+08 8.768654203421885063e-01 6.862946132266878330e-01 8.203128082926312015e-01 3.951172407519931706e-02
0.000000000000000000e+00 -2.826845625518639088e+08 5.701062218310697371e-01 9.045524821946236971e-01 6.333263452963606710e-01 3.181682362742481729e-01
0.000000000000000000e+00 -2.697968334607958794e+08 9.572172787920066872e-01 8.357576811499803915e-01 3.336840321377798624e-01 4.726884923888819978e-01
0.000000000000000000e+00 -2.695965751887434721e+08 9.319194856604050559e-01 6.871358129019343730e-01 3.316219604197604420e-01 3.053201446706731437e-01
0.000000000000000000e+00 -2.660717472196978927e+08 4.025484457748352840e-01 8.522308234806591498e-01 8.082999719093572066e-01 2.885757245204729760e-01
0.000000000000000000e+00 -2.438921981764385402e+08 1.369387757264337591e-01 7.598047843296092951e-01 1.548032547662709923e-01 1.710280994587648484e-01
0.000000000000000000e+00 -2.367057954116232395e+08 7.429691547597992995e-01 6.572491856832948232e-01 3.284581314951851017e-02 6.896270568652976829e-01
0.000000000000000000e+00 -2.180164312684217989e+08 1.053254911159248186e-01 8.542614843000410074e-01 7.331545578688462017e-01 2.560509550903615761e-01
0.000000000000000000e+00 -2.154070137648278773e+08 1.960570543997437465e-01 8.812812845822414198e-01 1.854877614356801319e-01 7.158505903721067432e-01
