weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.228938926342866659e+09 1.991012601105758506e+00 -5.408929829406505796e-02 2.094219246568998472e+01
0.000000000000000000e+00 -8.517472041448973417e+08 1.971513377208635731e+00 8.300629246687136753e-01 1.971853875334390693e+01
0.000000000000000000e+00 -7.340825130799956322e+08 1.882878483440375561e+00 6.759345927845150648e-02 2.123731136062596647e+01
0.000000000000000000e+00 -5.393833628525147438e+08 1.598011836949083886e+00 -1.822621354239833957e-01 2.064963006271880985e+01
0.000000000000000000e+00 -4.622174227833996415e+08 1.520705826486823398e+00 -6.891987315621128651e-02 2.046574311030322235e+01
0.000000000000000000e+00 -3.977917339526980519e+08 1.746797907101056424e+00 1.312974569446836881e+00 2.131590047932357024e+01
0.000000000000000000e+00 -3.768359005877897143e+08 1.410537457157348129e+00 -2.072634710816055881e-01 1.935150899090190890e+01
0.000000000000000000e+00 -3.630503495670311451e+08 1.772246400595406612e+00 -5.850303325245861386e-01 1.906803159281389881e+01
0.000000000000000000e+00 -2.700105998571908474e+08 1.519388979764309866e+00 1.379590710819760258e-01 2.134043079830277279e+01
0.000000000000000000e+00 -1.932089677886095047e+08 1.563487336927638083e+00 1.192807190265277040e+00 2.195055500896190637e+01
0.000000000000000000e+00 -1.928767774296555817e+08 1.133976715449326989e+00 -2.125621327556016515e-01 2.021202964179814998e+01
0.000000000000000000e+00 -1.848570712988177538e+08 1.292581631204162917e+00 -2.566054381428278797e-01 2.128918401621618628e+01
0.000000000000000000e+00 -1.826804009543340802e+08 1.841167255537044412e+00 5.982386459252280186e-01 2.245006297547543994e+01
0.000000000000000000e+00 -1.596252777288635373e+08 1.246158261649560117e+00 3.289403722789352447e-01 1.922218211996841575e+01
0.000000000000000000e+00 -1.115311327633861601e+08 1.102537116480689861e+00 -4.795246552266795304e-01 1.958587380594643790e+01
0.000000000000000000e+00 -1.057986079450600445e+08 1.388832026168303813e+00 4.630302027010964050e-01 2.200093184406051350e+01
0.000000000000000000e+00 -9.284409736605787277e+07 1.010821222261649055e+00 1.116680330911683505e-01 2.122778216452321232e+01
0.000000000000000000e+00 -9.263353683766280115e+07 1.189956524854569153e+00 -5.733183956010856619e-01 2.040064965527856700e+01
0.000000000000000000e+00 -8.840477052949701250e+07 1.001659813904423046e+00 4.834507245361934213e-01 2.020371993414259393e+01
0.000000000000000000e+00 -4.499332364255183190e+07 4.729627387472170597e-01 -1.500104671690758451e-01 1.922040676233652690e+01
0.000000000000000000e+00 -4.344688435724194348e+07 1.633291054479723670e+00 1.214619926128284622e+00 2.330677568596725280e+01
0.000000000000000000e+00 -3.907603031439302117e+07 6.343260964468733221e-01 8.267637323978980213e-01 1.990087665902431624e+01
0.000000000000000000e+00 -3.821350901437721401e+07 7.777444503676633758e-01 -5.694482609022478714e-01 1.999572108347966193e+01
0.000000000000000000e+00 -3.772423419245267659e+07 6.571122057527247762e-01 1.297651687465553483e+00 1.979025325926975398e+01
0.000000000000000000e+00 -3.421572257783561945e+07 1.377120585073665637e+00 1.401260638883063958e+00 2.309135758397217586e+01
0.000000000000000000e+00 -3.115059265012488142e+07 5.497430424359208700e-01 3.001977607940573556e-01 2.052639797451785597e+01
0.000000000000000000e+00 -3.091295162382078916e+07 1.242043813588333379e+00 1.073113992453172738e+00 2.293826837438816213e+01
0.000000000000000000e+00 -2.978989117615948245e+07 1.636062479599798891e+00 -9.031540523522406660e-01 2.005470207502380475e+01
0.000000000000000000e+00 -2.873196140714535117e+07 3.897901589095464914e-01 8.934748871878084309e-02 1.984611052348353866e+01
0.000000000000000000e+00 -2.853724101116665825e+07 1.565215262409985542e+00 1.204029874696815661e+00 2.343989075867803606e+01
0.000000000000000000e+00 -2.844194974013902619e+07 7.413879406995711463e-01 1.424237782794179896e-01 2.182412545539162707e+01
0.000000000000000000e+00 -2.314335918612288684e+07 1.890212756373749414e+00 1.399618355537728398e-01 2.306657407585954545e+01
0.000000000000000000e+00 -2.063483875144238770e+07 2.620440682632185769e-01 1.128925004193801485e-01 1.957337287999482811e+01
0.000000000000000000e+00 -1.825622195469550788e+07 7.700634291739163473e-01 7.075548900950026088e-01 2.239303141845896405e+01
0.000000000000000000e+00 -1.741607923931880295e+07 1.875092272371478685e+00 -9.957410187348395558e-01 2.063938909075900341e+01
0.000000000000000000e+00 -1.667821351677418314e+07 2.633308076016867005e-01 8.203549306093820270e-01 1.969882311581705281e+01
0.000000000000000000e+00 -1.452877709993204102e+07 8.303716134320158204e-01 -1.541627112368119112e-01 2.213104152863632379e+01
0.000000000000000000e+00 -1.382518714487446286e+07 1.547580055761343942e-02 -6.072630480724283686e-02 2.071669535876517898e+01
0.000000000000000000e+00 -1.161428029478111863e+07 3.805994055792147890e-01 -6.373079978064108975e-01 1.901769683772562303e+01
0.000000000000000000e+00 -9.681353316989274696e+06 -1.371940534628164343e-01 -1.698531508091064568e-01 2.078506713699811570e+01
0.000000000000000000e+00 -9.229436838012581691e+06 1.196139946397275722e+00 -2.258896950670379322e-01 2.242611412902933665e+01
0.000000000000000000e+00 -8.767917323510522023e+06 9.348896719339805372e-03 -2.223146464165582925e-01 2.142050544932817147e+01
0.000000000000000000e+00 -8.594899044384323061e+06 1.413443101313482941e-02 6.567401671610084701e-01 2.096222502691665568e+01
0.000000000000000000e+00 -8.543726935941103846e+06 4.130780406942236027e-02 -5.072011055488878650e-01 2.022196715402481715e+01
0.000000000000000000e+00 -8.096993040981677361e+06 -2.197310061235553391e-01 -2.911725520798198463e-01 1.920736508850884050e+01
0.000000000000000000e+00 -6.954943936107479036e+06 1.090421552921368331e+00 -4.075851252243637424e-01 2.224890112965248434e+01
0.000000000000000000e+00 -6.750705895706617273e+06 -9.568929647595325605e-02 4.207901352362699576e-01 2.072942968626306381e+01
0.000000000000000000e+00 -6.686401839463351294e+06 1.041021100358303642e-01 3.047188529778628308e-01 2.176535150723740131e+01
0.000000000000000000e+00 -5.951962956655012444e+06 1.105421656552866949e+00 1.434354168892103765e+00 2.365502734010942021e+01
0.000000000000000000e+00 -5.594427146777221933e+06 9.487337033775684603e-01 -8.478935514197980527e-01 2.107461642107835331e+01
0.000000000000000000e+00 -5.225982526521779597e+06 -2.371122141003274564e-01 9.042225139773070186e-01 1.985730388568306637e+01
0.000000000000000000e+00 -5.130890563680127263e+06 -2.402537392989412268e-01 4.261449602460356534e-01 1.931686216344450457e+01
0.000000000000000000e+00 -5.023819407176983543e+06 3.833098030208841323e-01 -7.639206523545943872e-01 1.975621086764187950e+01
0.000000000000000000e+00 -4.773799335409115069e+06 3.152285994144321535e-01 9.525989148688500663e-01 2.271256785920778043e+01
0.000000000000000000e+00 -4.692739667662603781e+06 -3.017167099923518947e-01 2.464529672812110217e-01 1.932962315560182986e+01
0.000000000000000000e+00 -4.435055025922915898e+06 -2.191115493735207309e-01 8.733843383338169009e-01 2.142885462320163725e+01
0.000000000000000000e+00 -3.826733404728435911e+06 8.138708519323714086e-01 1.127051466810305769e+00 2.355574336929490187e+01
0.000000000000000000e+00 -3.453084564930126537e+06 1.870202072171821328e+00 8.765192850612522069e-01 2.421645093099946067e+01
0.000000000000000000e+00 -3.151314031729686540e+06 -4.074318109692374179e-01 -3.980030543250920871e-01 2.110677572831994908e+01
0.000000000000000000e+00 -2.929908206961373799e+06 -4.819871293599398143e-01 6.610174663113614901e-01 2.034367809899151425e+01
0.000000000000000000e+00 -2.929751176743359305e+06 1.224979278559532148e+00 -7.011796170602575540e-01 2.205928249932128793e+01
0.000000000000000000e+00 -2.915372132710871287e+06 2.733819093841294290e-01 1.312111464676902983e+00 2.304151873585594501e+01
0.000000000000000000e+00 -2.900001744801778812e+06 -3.844833938366880588e-01 6.267946090178486696e-01 2.145956789029858314e+01
0.000000000000000000e+00 -2.870497238662028685e+06 1.218708706471653969e+00 6.254509147232720778e-01 2.381065048579696963e+01
0.000000000000000000e+00 -2.430003818513714243e+06 3.839139099430664004e-01 -8.606262451953486936e-01 1.930852157867787255e+01
0.000000000000000000e+00 -2.348890523064795416e+06 1.050206322836885420e+00 7.798233479691618619e-02 2.309625443938048406e+01
0.000000000000000000e+00 -2.302921908321982715e+06 -5.821496524012630402e-01 1.091045082205656769e+00 1.927800730710692534e+01
0.000000000000000000e+00 -2.240270390057146084e+06 -7.250671774448411711e-01 -3.620032235851827762e-01 1.948686906250222961e+01
0.000000000000000000e+00 -2.238098764046064112e+06 -8.210831002185781102e-01 -9.881049695825139256e-02 1.900538326755176044e+01
0.000000000000000000e+00 -2.178177981350711547e+06 2.663966570554663349e-01 1.024957770944479485e+00 2.319271300885747422e+01
0.000000000000000000e+00 -2.117230785135383252e+06 -7.363519841432362156e-01 -5.552171281495876798e-02 2.113664570457555314e+01
0.000000000000000000e+00 -1.954006621164505370e+06 -4.350697918901538230e-01 -5.188637540869274201e-01 2.114651617521853666e+01
0.000000000000000000e+00 -1.888350033340032911e+06 1.504164210805260637e+00 -5.244840657975403664e-01 2.255460433133545095e+01
0.000000000000000000e+00 -1.815733734809182817e+06 -2.147338248985084519e-01 -6.888181342575738775e-01 2.074041160961370878e+01
0.000000000000000000e+00 -1.496484578241721028e+06 -7.958382231138916296e-01 2.491760422447930612e-01 1.911661575383888589e+01
0.000000000000000000e+00 -1.450548008902419591e+06 -2.400311790765474740e-01 1.211510124248783349e+00 2.267097347668169149e+01
0.000000000000000000e+00 -1.416455196706570918e+06 -3.726910756086905252e-01 1.157832733682532478e+00 2.242959363842871667e+01
0.000000000000000000e+00 -1.340388319810437504e+06 6.987535855727529110e-01 1.329649503004526334e+00 2.384120021410875978e+01
0.000000000000000000e+00 -1.278131167809155304e+06 -8.385837705717396062e-01 1.053642086231877162e+00 1.974793380422882549e+01
0.000000000000000000e+00 -1.237495482808562927e+06 -3.214184781688622650e-01 7.759471007720197822e-01 2.255933380309256009e+01
0.000000000000000000e+00 -1.145280921805832768e+06 -4.519901813927873491e-01 8.718235369298863446e-01 2.241952915573633831e+01
0.000000000000000000e+00 -1.101323198707610136e+06 1.326233564875662907e+00 -5.148058714815543224e-01 2.259133382730198747e+01
0.000000000000000000e+00 -1.032180074198739603e+06 -8.923912079520919249e-01 1.165944627081606733e+00 2.091420679874184430e+01
0.000000000000000000e+00 -1.019051872274841415e+06 1.480000003658886953e+00 -3.011371359507013512e-01 2.297470680175366198e+01
0.000000000000000000e+00 -1.010762152506496059e+06 -9.275153519014684989e-01 1.187744760458652848e+00 1.952966741559364650e+01
0.000000000000000000e+00 -9.269601727637089789e+05 -9.131011183129444930e-02 -8.403835075652335007e-01 2.013179355040919560e+01
0.000000000000000000e+00 -8.999024321243774612e+05 -5.367203171045975552e-02 4.411551104706497028e-01 2.289100660144588417e+01
0.000000000000000000e+00 -8.165732412914800225e+05 -9.332802314966501811e-01 1.343664115447269491e+00 2.131291620336396520e+01
0.000000000000000000e+00 -7.871240160597560462e+05 -1.123406757438454306e+00 1.305410375318643013e-01 2.045319495903545004e+01
0.000000000000000000e+00 -7.708703288671136834e+05 -7.799066797289544439e-02 -7.208822532235972247e-01 2.151976539203126393e+01
0.000000000000000000e+00 -7.014956620619794121e+05 -6.250171239161250725e-01 -4.260492564940343563e-01 2.174882555020306896e+01
0.000000000000000000e+00 -6.911058822441335069e+05 -1.115122091290092321e+00 -4.342392008340207887e-01 2.062231285138886605e+01
0.000000000000000000e+00 -6.298553760623412672e+05 -4.531537540538206343e-01 1.162270672025879747e+00 2.293449851076339741e+01
0.000000000000000000e+00 -5.521768462040693266e+05 -1.289771344604645265e+00 -7.514481799722461108e-02 2.124764894224508893e+01
0.000000000000000000e+00 -5.442559035751926713e+05 -1.217724453177837951e+00 7.451802684541035671e-01 1.980222270970566356e+01
0.000000000000000000e+00 -5.383939348945426755e+05 -4.768047070279086697e-01 8.444112784539754557e-01 2.292545027615540931e+01
0.000000000000000000e+00 -5.139314741394021548e+05 -1.223315127158693727e+00 -4.571641888512795182e-01 2.056944902555711252e+01
0.000000000000000000e+00 -5.075931822869773605e+05 -6.598450470713146387e-02 3.761423926574900545e-01 2.309240647982466044e+01
0.000000000000000000e+00 -4.417666994899048004e+05 -1.523849979273783184e+00 -1.180507902807097498e-01 1.955883755876940810e+01
0.000000000000000000e+00 -4.388031774517830345e+05 -1.251996441788963743e+00 1.426911566271863663e+00 1.949779273993229367e+01
0.000000000000000000e+00 -4.205229075283880229e+05 -1.320046215068352069e+00 5.319736035571172028e-01 1.997032562769749120e+01
0.000000000000000000e+00 -3.681770414670581813e+05 -3.670082343007115000e-01 -8.801465067286052824e-01 1.946943672431775241e+01
0.000000000000000000e+00 -3.613780023409218993e+05 7.650108909603918761e-01 1.361510560300952744e+00 2.418783117400030847e+01
0.000000000000000000e+00 -3.581069493875222397e+05 -1.930949305759952495e-01 -8.164632271618714743e-01 2.133909601426168479e+01
0.000000000000000000e+00 -3.247325095972666168e+05 -1.590178289015994118e+00 3.768415683400228033e-02 1.933970164421257465e+01
0.000000000000000000e+00 -3.008345917612863705e+05 -3.255192577579730795e-01 2.439208324579822396e-02 2.265575413834221408e+01
0.000000000000000000e+00 -2.761087877536487067e+05 -3.805189750140982596e-01 3.342715926204706811e-01 2.298207763610591670e+01
0.000000000000000000e+00 -2.510490327524678723e+05 -1.619661803206999373e+00 -3.963885394277785190e-01 2.024455783515370655e+01
0.000000000000000000e+00 -2.331267741730136913e+05 -1.486545261059353251e+00 1.195534439567597307e+00 2.133215008846443084e+01
0.000000000000000000e+00 -2.256795719626429200e+05 7.971845642728361270e-01 2.177511699463858807e-01 2.382834940272814350e+01
0.000000000000000000e+00 -1.923439648114059528e+05 -9.448605101374978332e-01 1.191849570911262646e+00 2.296629810717715969e+01
0.000000000000000000e+00 -1.750506804354442866e+05 -1.880964427278374096e+00 -2.738147567151986150e-01 1.999948234424379123e+01
0.000000000000000000e+00 -1.742612392608100199e+05 -1.711250763063372204e+00 2.096498704980955807e-01 2.068726943216187308e+01
