weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -9.145584675692890584e+07 -6.791223406220831649e+00 -2.326690181796156054e+00 1.787013531381687059e+00 9.543542519526937440e-01 1.930328867001369275e+01
0.000000000000000000e+00 -7.991089795269295573e+07 -3.061769947273347725e+00 1.871469208967296183e+00 -7.775983544972877581e+00 8.320643195865260466e-01 2.217361074161381396e+01
0.000000000000000000e+00 -7.047484116884385049e+07 -2.253948852028769601e+00 -2.012358684952104682e+00 1.924485056449229958e+00 7.636712583411280342e-01 2.020082420603752382e+01
0.000000000000000000e+00 -6.983159098038743436e+07 1.639834811981240037e+00 -6.340334669231164177e+00 -7.902130531292343107e+00 9.140493523915371732e-01 1.916695766699036696e+01
0.000000000000000000e+00 -4.191979723146972805e+07 -4.822675331361416795e-01 1.617435291045936196e+00 -3.489328973048759330e+00 7.606453605605869583e-01 1.935135722100990208e+01
0.000000000000000000e+00 -2.651008722651527822e+07 -5.078018455742187243e+00 -6.209475868596481263e-02 1.177994750505201083e+00 9.885295760141570298e-01 1.972052556518621813e+01
0.000000000000000000e+00 -2.241849616829374805e+07 1.192639220311244586e+00 -4.407609048307611133e+00 -5.786465023258573481e+00 9.601522918646057114e-01 2.243966293808113122e+01
0.000000000000000000e+00 -1.551283749271674454e+07 1.124651961036178704e+00 1.336772625690526795e+00 -2.206379830119260532e-01 5.267268512316114482e-01 1.999704555390966476e+01
0.000000000000000000e+00 -1.242472958838569373e+07 3.022254270285937849e-01 -2.409458508657531084e+00 1.470129418082823491e+00 5.417840385564458572e-01 1.900928045183349724e+01
0.000000000000000000e+00 -1.116748308101306483e+07 1.713389034150631929e+00 -5.922266192686601372e+00 -3.274616946458062117e+00 3.603029944569544618e-01 1.955986920681054997e+01
0.000000000000000000e+00 -1.075336251654311828e+07 9.864106201036548782e-01 -5.186870487895840043e+00 -4.158139226440706437e+00 7.993201811581736038e-01 2.108058509345937281e+01
0.000000000000000000e+00 -1.058071596590285935e+07 -2.766865163741680789e-01 1.901082698778392199e+00 -6.314203581505995366e+00 2.648015749666123853e-01 2.075010482069372131e+01
0.000000000000000000e+00 -7.908704858023492619e+06 -1.412550077123110093e+00 1.902344359637359261e+00 -2.604206668498747490e+00 2.079981028303228285e-01 1.915686456118160663e+01
0.000000000000000000e+00 -7.571233058121450245e+06 1.144323326471203828e+00 1.003907983065023046e+00 -3.701088940819230011e+00 4.466497961420263785e-01 2.005667964336975828e+01
0.000000000000000000e+00 -6.974244784969179891e+06 -7.920688112779297185e+00 1.672101837371977595e+00 -7.591291627775152762e+00 3.307960200499437953e-01 2.214628215305744163e+01
0.000000000000000000e+00 -6.216818617767015472e+06 -7.757536169115788027e+00 1.752098477929306952e+00 -2.120323693880825644e+00 3.130529646288029433e-01 2.256292642999516218e+01
0.000000000000000000e+00 -5.545834634809142910e+06 -4.189005727793297496e+00 -7.834038476586894006e+00 1.699794634979630459e+00 2.687136027811374284e-01 2.138629689830001723e+01
0.000000000000000000e+00 -3.707657918249210343e+06 -1.818494617689630388e+00 -7.483361439608376742e+00 1.373953195176852660e+00 3.276648533507202643e-01 2.024137451508094898e+01
0.000000000000000000e+00 -3.093201289641333744e+06 8.136973055537115584e-01 1.973371809940568156e+00 -1.800859738360894191e+00 4.441452557420877412e-02 2.176410921162237955e+01
0.000000000000000000e+00 -2.796560047510312404e+06 -8.189377449294203970e-01 -4.271241834974081719e+00 7.430689530942871102e-01 6.180478552507553403e-01 2.146065072072904556e+01
0.000000000000000000e+00 -2.694993174005952198e+06 1.574848834085992522e+00 -3.765977242219626930e-01 1.979750240572805353e+00 -3.752460223161468988e-02 2.026059731561648647e+01
0.000000000000000000e+00 -2.686399640942079481e+06 -8.833307242765844336e-01 -5.300228763575066893e+00 1.513903824917747443e+00 2.064339590002184366e-01 2.113734459018527190e+01
0.000000000000000000e+00 -2.048481804459295701e+06 1.239562582326696472e+00 1.469127428449656492e+00 -5.699860622205168426e+00 6.820062828880768535e-02 1.948166325924169584e+01
0.000000000000000000e+00 -1.873616516473543132e+06 -2.120016340587361547e+00 1.067579380169870973e+00 2.526097718623763200e-01 4.428835098880514742e-01 2.307997340558037180e+01
0.000000000000000000e+00 -1.828299668997954810e+06 -3.624570488336785523e+00 -4.302037715354064318e+00 1.338566477017772982e+00 2.127467155611131311e-01 2.124291581635685588e+01
0.000000000000000000e+00 -1.774034149290228728e+06 -6.143009079760361146e+00 -1.455871183333309560e+00 1.495282943245257457e-02 9.891515610355376964e-01 1.949039374779630407e+01
0.000000000000000000e+00 -1.767831255018601893e+06 -2.944468015124002136e-01 -6.373297398521383883e+00 9.840183544525338277e-01 8.445321262127452044e-01 2.376388176164209298e+01
0.000000000000000000e+00 -1.733612305699242046e+06 -2.129567813553601141e+00 2.854580487156699320e-01 -4.877408127778055658e-01 8.268272459861853996e-01 2.284189299407863416e+01
0.000000000000000000e+00 -1.597137040652676485e+06 -3.675458804712726568e+00 1.278688311801836619e-01 -3.105790930804784189e+00 8.149622648595018504e-01 2.024994734035671229e+01
0.000000000000000000e+00 -1.412649711588633945e+06 -5.103999542513451004e+00 6.137023223657855908e-02 -3.571352086917981339e+00 8.784924158797804417e-01 2.221600463312782026e+01
0.000000000000000000e+00 -1.402767190361094661e+06 5.384561010467763253e-01 5.635465806370021369e-01 -4.738082484421134666e+00 4.737337320454182432e-01 2.288499160506019692e+01
0.000000000000000000e+00 -1.345656252701604273e+06 -3.034735129026954858e+00 4.833768875071786653e-01 1.760379125888212215e+00 -1.949068529132125249e-02 1.981231591041125029e+01
0.000000000000000000e+00 -1.271732697575193597e+06 -3.812698361897544075e-01 9.070523600941235998e-01 -1.586965478743503688e+00 3.664327814916630288e-01 2.252177325680066389e+01
0.000000000000000000e+00 -1.024933698441264685e+06 1.452040380789389573e+00 -6.153759698526119593e+00 -6.209269019007439105e+00 3.865289722103160130e-02 2.057489329208702245e+01
0.000000000000000000e+00 -9.357774321537069045e+05 -1.273084156246850895e+00 7.814035663786373931e-01 -1.373326757885173777e-01 8.662798202716519569e-01 2.395219461685096718e+01
0.000000000000000000e+00 -8.945070441962435143e+05 4.679025789482249564e-01 1.883680278219618032e+00 1.503265922237275731e-01 5.102321610508764316e-01 2.420121278219880878e+01
0.000000000000000000e+00 -7.326545403444598196e+05 -2.464143523349333620e+00 -2.044967138547271190e-02 -7.395711997732576037e+00 9.197585954886973170e-01 2.321945504839396790e+01
0.000000000000000000e+00 -7.230996956470024306e+05 -2.374071927227650036e+00 -6.592370857873304679e+00 5.421476228045172263e-01 4.278691375626930693e-01 2.200579542342529038e+01
0.000000000000000000e+00 -7.082010633177427808e+05 -7.302747009291762126e+00 -2.573432430844471597e+00 -1.260407117986623859e-01 8.008680861678993956e-01 1.959123680216982422e+01
0.000000000000000000e+00 -6.511137090080213966e+05 -6.952962137655515740e+00 -4.698708046403687888e-01 -2.733118650985563391e+00 9.734521399550164489e-01 1.920650716153696536e+01
