src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-1.594696582647648242e+00 -1.564854623607534023e+00 -1.504577809252755749e+00 -2.568053951899793574e-01 2.065692942566725421e+01
-1.611598601293765753e+00 -1.723285352925808311e+00 -1.571166474387763579e+00 -2.449474289241972969e-01 2.006630430451342662e+01
-1.708512035825966002e+00 -1.763742056510127831e+00 -1.714429762413025138e+00 -2.237729351318060722e-01 1.945698832512801246e+01
-1.742725673063272751e+00 -1.821631948744371954e+00 -1.758640204700163245e+00 -2.030604084512548368e-01 1.914204575252849239e+01
-1.416494167153470762e+00 -1.538526995573779033e+00 -1.347767183639604127e+00 -3.080836150584587152e-01 1.963608241218610928e+01
-1.621492313487397752e+00 -1.635171277296943337e+00 -1.501352997771968845e+00 -2.419454539690719663e-01 1.926796277516062972e+01
-1.604021678565008990e+00 -1.663766937845790217e+00 -1.603584042643507068e+00 -2.435943167407850218e-01 1.971582401354211100e+01
-1.517800539663358705e+00 -1.656021145306473485e+00 -1.476641803330907443e+00 -2.767088064424343408e-01 1.964748375449764950e+01
-1.673399201559565341e+00 -1.833732967622878185e+00 -1.727417208607293198e+00 -2.167087383726125083e-01 2.020216283802418289e+01
-1.453750420061573401e+00 -1.626871878542714533e+00 -1.455202478509770359e+00 -2.744079753696340163e-01 2.072568321568912708e+01
-1.463686177542242284e+00 -1.591995102945251261e+00 -1.418930559234775401e+00 -2.717556636846705231e-01 1.936700555015962522e+01
-1.822720106423051156e+00 -1.807715042483462042e+00 -1.701685775632653552e+00 -2.069631586673388313e-01 1.994586031952659511e+01
-1.725712839166185120e+00 -1.781673687592922661e+00 -1.583350300100991426e+00 -2.347683454036015860e-01 1.961802822288189319e+01
-1.654289446712553513e+00 -1.690963861799298584e+00 -1.552096973017544457e+00 -2.307222015330672171e-01 2.011098924848501923e+01
-1.671533515999279018e+00 -1.641032971791950068e+00 -1.476732033583488146e+00 -2.605380504338175029e-01 1.960930112054163388e+01
-1.525122548217366258e+00 -1.662345324228554411e+00 -1.515805718556761050e+00 -2.644095610925449868e-01 1.922525537558607311e+01
-1.588508524283668066e+00 -1.602838177754249749e+00 -1.469149804069912690e+00 -2.765510517321487782e-01 2.018362157398793499e+01
-1.739123263843669775e+00 -1.833196448128552092e+00 -1.679574286569938124e+00 -2.150360544459242185e-01 2.020739192550863095e+01
-1.686106305778454661e+00 -1.729817417736583707e+00 -1.602148473461940448e+00 -2.238274923179113252e-01 2.026066437718786162e+01
-1.472973827744128883e+00 -1.457812009732640135e+00 -1.466315252114976708e+00 -2.904608475267287382e-01 1.974177417355859987e+01
-1.528056617691359698e+00 -1.678265431409062813e+00 -1.617159635693204756e+00 -2.435899204645766147e-01 2.055579057751167582e+01
-1.663309475040384733e+00 -1.678416461576134111e+00 -1.592805387998786237e+00 -2.443517254790443793e-01 1.913541417951368828e+01
-1.630210506342727683e+00 -1.673918510869854437e+00 -1.604818835444627112e+00 -2.441602081927713996e-01 1.990938319943835211e+01
-1.517800539663358705e+00 -1.656021145306473485e+00 -1.476641803330907443e+00 -2.767088064424343408e-01 1.964748375449764950e+01
-1.660996070708413264e+00 -1.633075032294676099e+00 -1.611070760158768600e+00 -2.489451551279491248e-01 1.968884727362016562e+01
-1.599988898562439310e+00 -1.716514547963485349e+00 -1.494596044850969641e+00 -2.513302130527508282e-01 1.911447411949352215e+01
