weight logl src1.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.275313150297168884e+11 9.843899592811437005e-01 6.009425708403481892e-02 3.487650721360902040e-01
0.000000000000000000e+00 -8.803171906085414124e+10 9.832929034686365144e-01 7.213951021472253533e-02 4.871515355476756515e-01
0.000000000000000000e+00 -4.650784839649523926e+10 9.676581077982583379e-01 7.039810731721796166e-02 5.957228309577224934e-01
0.000000000000000000e+00 -4.271310831393843842e+10 9.385892846565432324e-01 6.246807731867509705e-02 1.822863025315839547e-01
0.000000000000000000e+00 -2.844786655443062592e+10 9.392697169133759072e-01 8.187554304776611946e-02 3.389258003466891767e-01
0.000000000000000000e+00 -1.515571752292757416e+10 9.754375285202399049e-01 1.559885709301422896e-01 2.519660826028022882e-01
0.000000000000000000e+00 -1.427821751423295212e+10 9.587607167394104346e-01 1.273280571686180584e-01 5.224969275372485233e-01
0.000000000000000000e+00 -8.274901671514904022e+09 8.764299119276280914e-01 2.197560895668493330e-02 6.804244373705844451e-01
0.000000000000000000e+00 -3.714697156740668297e+09 9.526845040948727084e-01 5.400222986572988937e-02 7.535756635881276644e-01
0.000000000000000000e+00 -3.204517558267313957e+09 9.975839108251728371e-01 2.939648871469688896e-01 2.119990343227569074e-01
0.000000000000000000e+00 -2.728352574933259487e+09 9.726720820122508604e-01 2.495813617969396825e-01 3.785784624355041927e-01
0.000000000000000000e+00 -2.588012532298546314e+09 8.306428485575759746e-01 7.750699930102689095e-02 1.120551231065355369e-01
0.000000000000000000e+00 -2.487380238129588604e+09 9.221222773028623365e-01 1.878468843650548115e-01 2.874944520425478656e-01
0.000000000000000000e+00 -1.664384495078709602e+09 9.003877533876579742e-01 9.740186232148120293e-01 2.179359582278989071e-01
0.000000000000000000e+00 -1.610373775885203362e+09 7.697236476423855445e-01 3.101991115653901510e-02 4.805176087693360243e-01
0.000000000000000000e+00 -1.583795504244321346e+09 8.939696953577073169e-01 1.760978096675888116e-01 3.190033397992836361e-01
0.000000000000000000e+00 -1.511294738175820351e+09 8.674175066113889443e-01 1.466150077463499457e-01 1.240848823056310835e-01
0.000000000000000000e+00 -1.061975795809496880e+09 9.671956000312441626e-01 2.536092813964699877e-01 5.681925659943365403e-01
0.000000000000000000e+00 -8.744601155819303989e+08 9.773241491845362505e-01 5.377540989862232834e-01 1.393504852806082273e-01
0.000000000000000000e+00 -8.467787555319663286e+08 9.501314915194203348e-01 3.157214784874800007e-01 2.542882799070057542e-01
0.000000000000000000e+00 -7.804813552210474014e+08 9.649934154398127628e-01 3.818919480355248419e-01 1.805438283410695233e-01
0.000000000000000000e+00 -7.516661068917579651e+08 9.594163962173292148e-01 3.670206195141854089e-01 1.324936126962394933e-01
0.000000000000000000e+00 -5.520442022162451744e+08 9.584410428306423535e-01 4.477634621127823955e-03 8.119421381504000612e-01
0.000000000000000000e+00 -4.699489993215342164e+08 9.166739788976354664e-01 7.612517911801841564e-01 2.400694145622378484e-01
0.000000000000000000e+00 -4.411011870961660147e+08 8.532757434891018455e-01 1.974884154662649438e-01 5.813123127950770019e-02
0.000000000000000000e+00 -4.060025029530765414e+08 9.456769636354525055e-01 5.124153363561648744e-01 1.501134104280089643e-01
0.000000000000000000e+00 -4.022416720731027126e+08 9.338206247746609900e-01 6.092825951734563983e-01 1.902478957833098061e-02
0.000000000000000000e+00 -3.966658078953200579e+08 9.435370024898683816e-01 4.563173253015788688e-01 2.891377341342349361e-02
0.000000000000000000e+00 -3.307176014150623083e+08 9.436273564408697023e-01 5.595747525425841529e-01 2.768145907874363099e-01
0.000000000000000000e+00 -3.261194223072264791e+08 9.151019505334312409e-01 3.343719221950468556e-01 2.330932169618724625e-01
0.000000000000000000e+00 -2.948127436032249331e+08 8.343696895586839579e-01 1.953577638057577559e-01 1.779645874120550086e-01
0.000000000000000000e+00 -2.683526445327319503e+08 8.420769594788631851e-01 2.098776560485384746e-01 3.173266896071446075e-01
0.000000000000000000e+00 -2.473676221872783899e+08 9.536452305551330610e-01 7.585082362894542962e-01 3.715172160864809170e-01
0.000000000000000000e+00 -2.451440142839584053e+08 8.820741683918753573e-01 2.872729230083137519e-01 7.468574217774037738e-02
0.000000000000000000e+00 -2.042518069716845155e+08 9.213876537599655636e-01 4.981039845302019931e-01 2.522289424751148479e-01
0.000000000000000000e+00 -2.023952271475585997e+08 6.625253915131465998e-01 1.647050447145093077e-02 1.810022898548090398e-01
0.000000000000000000e+00 -1.637301279746441543e+08 8.625459453292442236e-01 7.537253185006455025e-01 3.539349418650328261e-02
0.000000000000000000e+00 -1.630703930266392529e+08 8.370296893841056018e-01 8.384049259661289222e-01 3.022550388116096443e-02
0.000000000000000000e+00 -1.477352547392717302e+08 8.723802813332308670e-01 7.006744509528071152e-01 9.211523803312404723e-02
0.000000000000000000e+00 -1.311883760597126186e+08 8.345719679372312072e-01 2.298142932942758287e-01 4.549206087695247813e-01
0.000000000000000000e+00 -1.272459729030672759e+08 6.490180400766100144e-01 2.187160081742678397e-02 4.315331938483846219e-01
0.000000000000000000e+00 -1.216073425491206795e+08 8.918189174442621159e-01 4.445001640865110515e-01 9.850053373550937685e-02
0.000000000000000000e+00 -1.123758846675757170e+08 7.716372400641463569e-01 1.123458448639083063e-01 6.603596652072262208e-01
0.000000000000000000e+00 -1.089375058019807786e+08 8.849744762953982713e-01 6.046120689205726206e-01 2.367095011440611962e-01
0.000000000000000000e+00 -9.909528103099082410e+07 9.002941139602252951e-01 6.306635856789620798e-01 3.283789258932954258e-01
0.000000000000000000e+00 -9.119376868995983899e+07 8.593188549518911978e-01 6.637263126272385794e-01 4.683923908331066865e-02
0.000000000000000000e+00 -8.882374008798773587e+07 7.953451277844026945e-01 8.845736238522958761e-01 5.222759761692175040e-03
0.000000000000000000e+00 -8.717894071125173569e+07 8.885540496559625190e-01 3.243204501990126776e-01 4.807203538707076618e-01
0.000000000000000000e+00 -8.273837820713420212e+07 7.715978835384084134e-01 9.716988316205956711e-01 2.226345247171799269e-01
0.000000000000000000e+00 -7.773559278140600026e+07 8.673941023379559967e-01 3.874038377569765101e-01 2.324792912404490819e-01
0.000000000000000000e+00 -7.534909815103359520e+07 8.496529696963599498e-01 6.697545595696309251e-01 3.239244337077806790e-02
0.000000000000000000e+00 -6.014116469662593305e+07 8.087383436435442441e-01 2.495834227316426901e-01 3.988141192057202966e-01
0.000000000000000000e+00 -5.516943609637913108e+07 7.787600672668150148e-01 9.032654228301327803e-01 2.292338854029022377e-01
0.000000000000000000e+00 -5.463155545941108465e+07 8.517701596339528614e-01 5.832250204495890156e-01 1.164015719693625162e-01
0.000000000000000000e+00 -4.797305290939550847e+07 8.389445252260715469e-01 3.631169925575250534e-01 1.331042065913868866e-01
0.000000000000000000e+00 -4.687979054255542904e+07 8.030374824654975541e-01 7.737292269405228184e-01 8.059316279345918321e-02
0.000000000000000000e+00 -3.705026067070361972e+07 7.568657391250762645e-01 8.885455422999050112e-01 8.924299727639461999e-02
0.000000000000000000e+00 -3.667408699239195883e+07 7.939056517363509702e-01 7.737943779200731065e-01 1.445700155329388004e-01
0.000000000000000000e+00 -3.600397479023598135e+07 7.429618349607199912e-01 1.899724476318176425e-01 3.980880981322107992e-01
0.000000000000000000e+00 -3.464091416545107961e+07 8.814540560505644828e-01 4.375674068135927408e-01 4.233431266771788826e-01
0.000000000000000000e+00 -3.458614567935570329e+07 8.374394930856541297e-01 4.537625512768667102e-01 1.797514034734659649e-02
0.000000000000000000e+00 -3.262024538210796937e+07 9.200625994349836967e-01 2.073756462781737309e-01 7.578959349129633649e-01
0.000000000000000000e+00 -3.116951522610570118e+07 7.508677847025436725e-01 8.818943632110494146e-01 2.363944363923864422e-02
0.000000000000000000e+00 -2.188729323920822889e+07 7.460493620330628239e-01 8.718416738692678081e-01 2.089013682223532786e-01
0.000000000000000000e+00 -2.102982994874155521e+07 8.167702172933148930e-01 5.073117122869279516e-01 1.193678981653261140e-01
0.000000000000000000e+00 -1.852957053182126954e+07 7.887105664472106037e-01 2.872490735336998835e-01 4.448255684246072983e-01
0.000000000000000000e+00 -1.542280493971107528e+07 9.693003469976260167e-01 2.404226760308668664e-01 7.798471540243400169e-01
0.000000000000000000e+00 -1.483513405547789857e+07 6.978353848134766224e-01 1.770764027392188744e-01 4.558377326002441832e-01
0.000000000000000000e+00 -1.460583071293163672e+07 8.762448026137230617e-01 3.299833309124986513e-01 6.323285969238937598e-01
0.000000000000000000e+00 -1.420451248895856924e+07 8.592943129839567540e-01 5.553487579028354437e-01 4.070759219439089582e-01
0.000000000000000000e+00 -1.365096339051864110e+07 7.615397447940757125e-01 7.587867279850990521e-02 7.691827730620772741e-01
0.000000000000000000e+00 -1.076752550057498738e+07 7.841780578863116746e-01 4.209598254598503342e-01 5.315253081225368437e-02
0.000000000000000000e+00 -1.075061479233793169e+07 5.795352963232244248e-01 3.698992780304977135e-02 6.285196989940278200e-01
0.000000000000000000e+00 -1.013900309083463997e+07 7.809296435261618985e-01 4.151785275756328941e-01 7.124002005973906204e-02
0.000000000000000000e+00 -9.638440888423377648e+06 7.142393516823928312e-01 2.376582225494202616e-01 2.558565981017613122e-02
0.000000000000000000e+00 -9.065806513062419370e+06 6.979744906558188466e-01 9.594443250274989898e-01 2.875274435313992516e-01
0.000000000000000000e+00 -8.579243987927159294e+06 7.229174404578868618e-01 1.520631006816117736e-01 6.935797896736424217e-01
0.000000000000000000e+00 -8.329145142961231992e+06 5.983464626268103492e-01 9.601024220102927220e-02 2.803586727412710200e-01
0.000000000000000000e+00 -7.679431381258253008e+06 7.561695700874820902e-01 2.779062378250946042e-01 5.031293282467900196e-01
0.000000000000000000e+00 -7.603434958364291117e+06 8.624562265766021474e-01 6.759388743262594312e-01 4.283750561762023068e-01
0.000000000000000000e+00 -7.478837808339083567e+06 8.455564095425425197e-01 3.564546398002602645e-01 5.867845924978114525e-01
0.000000000000000000e+00 -7.472558498348418623e+06 7.538993787658135881e-01 3.453251283335359023e-01 1.954882360169305500e-01
0.000000000000000000e+00 -7.193416544192978181e+06 7.646212060063406479e-01 2.463875709791729651e-01 6.238995674665924751e-01
0.000000000000000000e+00 -6.948212917676382698e+06 7.598110585543448314e-01 6.185348888077631946e-01 1.956760360286911027e-01
0.000000000000000000e+00 -6.917034307511988096e+06 7.806796524928860670e-01 4.106371059889122321e-01 3.524098155080586103e-01
0.000000000000000000e+00 -6.411249359003061429e+06 7.080897836318289507e-01 8.051045591278813696e-01 1.171440805733742208e-01
0.000000000000000000e+00 -4.436578881220301613e+06 7.435739777352549096e-01 4.051226002274951332e-01 4.459179197617280099e-02
0.000000000000000000e+00 -4.262622769719156437e+06 7.153043257844343694e-01 7.180275249164302931e-01 1.419172997633434408e-01
0.000000000000000000e+00 -4.249279010420258157e+06 7.472182726527902830e-01 5.012125708081708320e-01 9.150564206221278862e-02
0.000000000000000000e+00 -4.137383896849071607e+06 7.406885292590508207e-01 3.960035836046872371e-01 2.029049827406295137e-01
0.000000000000000000e+00 -3.544586034363067243e+06 7.128058158897256913e-01 6.975407240529417630e-01 1.564758526984958431e-01
0.000000000000000000e+00 -3.179181527550256345e+06 5.038110116884459977e-01 3.904138789886002492e-02 2.221735162517395334e-01
0.000000000000000000e+00 -3.033497522791559808e+06 5.325361006872217917e-01 7.137872700407976723e-02 3.506980597912642272e-01
0.000000000000000000e+00 -2.776025320307767950e+06 7.799017481352342740e-01 7.417599028554709983e-01 3.909429148709417934e-01
0.000000000000000000e+00 -2.549638590912429616e+06 9.363570366400683076e-01 5.650964810743925870e-01 5.681426289618232151e-01
0.000000000000000000e+00 -2.397474576920128427e+06 5.299147794562267810e-01 7.945446729863736568e-02 3.655359018549436678e-01
0.000000000000000000e+00 -2.363400627023669425e+06 6.504582778648018149e-01 2.224714117137903679e-01 4.142006917584702963e-01
0.000000000000000000e+00 -2.107867383557852358e+06 4.776423879292732710e-01 2.941860169020249494e-02 3.969921130984549462e-01
0.000000000000000000e+00 -2.090700158418556675e+06 7.203619388825472925e-01 2.480047890655774356e-01 6.394656362983167641e-01
0.000000000000000000e+00 -2.033619767823263304e+06 7.164390342666858702e-01 5.142499959515836050e-01 1.800114676706098260e-01
0.000000000000000000e+00 -2.025758119433699176e+06 8.468873761433627356e-01 3.202219560914620899e-02 8.359242095356400615e-01
0.000000000000000000e+00 -1.841705890968422871e+06 9.382352382588354800e-01 5.148103524745816229e-01 6.253106928395686381e-01
0.000000000000000000e+00 -1.718797960705352714e+06 6.928030896706853792e-01 2.830645501509507778e-01 4.935682520617238334e-01
0.000000000000000000e+00 -1.532969171939242864e+06 7.509477800698934891e-01 5.957958800984863856e-02 8.080123417212277115e-01
0.000000000000000000e+00 -1.510308861827037297e+06 6.449591412064272777e-01 8.039418715158094253e-01 8.115380667185745356e-02
0.000000000000000000e+00 -1.396930489892337937e+06 4.897079827447873290e-01 6.210691937047219113e-02 8.748310984656038070e-02
0.000000000000000000e+00 -1.310460904468237655e+06 5.969993589661878319e-01 1.814270473624730595e-01 4.661270996800266353e-01
0.000000000000000000e+00 -1.031052197228692006e+06 5.321797822527413180e-01 1.223619334193510877e-01 3.894781299078267089e-01
0.000000000000000000e+00 -9.988199533550353954e+05 7.145230170884204757e-01 3.377446209859311654e-01 5.145937150224341172e-01
0.000000000000000000e+00 -9.383749000365523389e+05 6.604329260158375847e-01 2.993194416831872484e-01 4.098336891466812792e-01
0.000000000000000000e+00 -8.856872214026734000e+05 5.712156381248612025e-01 1.804806289798132068e-01 2.137103578398714676e-01
0.000000000000000000e+00 -8.526711994681588840e+05 6.572481412525171818e-01 8.539381736502329456e-01 3.366399733923860493e-01
0.000000000000000000e+00 -8.445582657353575341e+05 7.201153469222807413e-01 5.149487593649118011e-01 3.872873840829716974e-01
0.000000000000000000e+00 -8.014929335322711850e+05 7.729437202562321474e-01 5.573117873987004645e-01 4.575225766520928383e-01
