src1.lognorm src2.lognorm src1.logkT src1.lognH
-4.145811518289773900e+00 -5.102777335680366733e+00 3.416396820850382543e-01 1.940548672906378513e+01
-4.147437246592893700e+00 -5.070504806873553427e+00 3.450616556020258408e-01 1.948986914329237763e+01
-4.147322889900322274e+00 -5.088488153128531977e+00 3.492674898318779420e-01 1.907501274222664023e+01
-4.134021208126442026e+00 -5.148753236775812425e+00 4.197833405152382458e-01 1.993270325172928636e+01
-4.160712370361606460e+00 -5.121346995058302376e+00 3.251652206959483316e-01 1.919212772695449587e+01
-4.152072605417394868e+00 -5.136275375676675914e+00 2.807634750128578105e-01 1.939383662286549281e+01
-4.134667897270273507e+00 -5.072604644907172222e+00 3.375322039358159554e-01 1.935720097409154050e+01
-4.122427488201777734e+00 -5.151986307149378774e+00 3.530356408509054411e-01 1.909313157722530718e+01
-4.152650990474929138e+00 -5.093898450646522136e+00 3.595231494518422721e-01 1.921139866328786283e+01
-4.154627007546237039e+00 -5.101400913456211939e+00 3.522220323182829738e-01 1.906284801375361582e+01
-4.147115904425888289e+00 -5.092574229357355264e+00 3.422094023240127569e-01 1.942771168996195996e+01
-4.110442183553608686e+00 -5.139810070774316841e+00 3.291279781470655141e-01 1.961669990377723138e+01
-4.161045873594626521e+00 -5.087322914119428496e+00 3.254436929808690593e-01 1.989494613543785562e+01
-4.119877065950771744e+00 -5.120808259195696266e+00 4.228285807957992137e-01 1.994375104202313054e+01
-4.106636130489728309e+00 -5.082653174072653712e+00 3.875530932618249658e-01 1.953496425695214711e+01
-4.153159083335815183e+00 -5.131771792142850508e+00 3.234707767508000487e-01 1.916494475316043378e+01
-4.141655071905692154e+00 -5.115449328782395888e+00 3.050214676927704982e-01 1.979595839943452873e+01
-4.095901198796548570e+00 -5.136055412900409678e+00 4.417437878320291667e-01 1.910096156272018675e+01
-4.134730752353362071e+00 -5.091613195770365863e+00 3.495057924574980213e-01 1.922236630447613237e+01
-4.149362478513049624e+00 -5.163094476575046166e+00 3.608367388291948696e-01 1.913922028145185195e+01
-4.104146900016909072e+00 -5.075270582392191088e+00 3.699936011503361932e-01 1.947831160907870540e+01
-4.148846253850799748e+00 -5.154472558016600203e+00 3.273017976079750646e-01 1.954877388154977425e+01
-4.122611898759156013e+00 -5.088816362112390301e+00 3.910894988655990723e-01 1.983191068181777084e+01
-4.108875714154576642e+00 -5.059545814542467213e+00 3.282035564928800220e-01 1.919322461966653393e+01
-4.115160477140477724e+00 -5.174981125932291093e+00 3.190952830121343009e-01 1.994504572865306002e+01
