weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -9.136143001507833004e+08 -5.780907902333334292e+00 1.899004141676870816e+00 1.194357553093073676e+00 1.906352543913217445e+01
0.000000000000000000e+00 -8.541079224317644835e+08 -9.630250235143318349e-01 1.868220775428492075e+00 1.082815432857151983e+00 2.041170340795769889e+01
0.000000000000000000e+00 -6.535413370662264824e+08 -4.567989861787719263e+00 1.728602236303968809e+00 9.055830511725591059e-01 1.935910644875571407e+01
0.000000000000000000e+00 -6.230400183159830570e+08 -5.609795256546465936e+00 1.704607800990563860e+00 8.352034813663427038e-01 1.912124846936653810e+01
0.000000000000000000e+00 -5.352203727957658172e+08 -9.244823746455477220e-02 1.643552115603103658e+00 9.784769683138241358e-01 1.918679148675532176e+01
0.000000000000000000e+00 -4.632336107372263670e+08 -3.305851893478511272e+00 1.889196626626725717e+00 1.324376316802605036e+00 2.205829566879842574e+01
0.000000000000000000e+00 -4.514218088721798658e+08 -4.635339994365946126e+00 1.801767427187000337e+00 5.405732331618549047e-01 2.179273485252782194e+01
0.000000000000000000e+00 -3.982851540372912288e+08 -4.448331374588080145e+00 1.461640387351321735e+00 1.827677993749421415e-01 2.005527695262500743e+01
0.000000000000000000e+00 -3.699464335819202662e+08 1.686709456434513754e+00 1.168102558613476560e+00 4.951616704616790265e-02 2.130421141058309686e+01
0.000000000000000000e+00 -3.173026506197937727e+08 1.976099161251530845e+00 5.900623795041664010e-01 1.360243631045598089e+00 2.008792492939314300e+01
0.000000000000000000e+00 -3.166760592340404391e+08 -5.693316239215000962e+00 1.515372080647445330e+00 -4.942847477686341806e-01 2.110158996223291439e+01
0.000000000000000000e+00 -3.116400921109359264e+08 -2.948595252753004381e+00 1.418464690067535727e+00 3.610834343618785081e-01 2.040707551073816006e+01
0.000000000000000000e+00 -2.652230438935520351e+08 -4.021229565712856946e+00 1.371053615849074703e+00 1.262318981263107265e+00 1.912744426904386330e+01
0.000000000000000000e+00 -2.402858881290590465e+08 -8.623930117347864410e-01 1.297814530212143325e+00 9.492576393579370553e-01 1.983383063131011426e+01
