src1.lognorm src1.logkT src1.lognH
-3.919194788354825931e+00 5.621088014653095044e-01 2.239429058844818599e+01
-3.833094970774514998e+00 4.617013850802886843e-01 2.243740718928717826e+01
-3.967245334253100886e+00 5.416443242170514427e-01 2.233173276172860255e+01
-3.894913330206841273e+00 5.869370829400524237e-01 2.241073283045339792e+01
-3.956554016140019669e+00 5.706051219308025946e-01 2.233774645708777484e+01
-3.856523942138650796e+00 4.612077671474847929e-01 2.242059784919000975e+01
-3.936365042614573539e+00 5.581416494214128665e-01 2.237509483525692389e+01
-3.911578096899707369e+00 5.173028627205336072e-01 2.239548464557927332e+01
-3.926380701869308432e+00 5.335582704826451472e-01 2.240063183069542063e+01
-3.941142742119560616e+00 5.698107840375052913e-01 2.237321345549998952e+01
-3.940504935954676213e+00 5.856980892490175616e-01 2.235146075331073234e+01
-3.917945172397370612e+00 5.625826099498025812e-01 2.234277740026731607e+01
-3.823767053621814682e+00 4.719899874466961798e-01 2.244911750052933286e+01
-3.832241220523590286e+00 4.045751045730221485e-01 2.240945583069361646e+01
-3.969857772725327472e+00 6.158446282727727539e-01 2.232838204233364365e+01
-3.822432723671946420e+00 4.980314682451247865e-01 2.246575385128446456e+01
-3.942820410277372289e+00 6.258111548899187859e-01 2.240389749910298178e+01
-3.851718912474420442e+00 4.539089191295855308e-01 2.243869874482863125e+01
-3.930453653930244151e+00 5.893506044897209861e-01 2.235336967106087513e+01
-3.994083141288598426e+00 5.756728206475167919e-01 2.231848615788713985e+01
-3.892234115410783346e+00 4.996665454511093341e-01 2.238949835570171132e+01
-3.789445038365059304e+00 4.100200819745998260e-01 2.247468941060344605e+01
-3.869654418202610913e+00 4.925099120601912350e-01 2.242735344901840477e+01
-3.996341775346706982e+00 6.482760590847225224e-01 2.231947825512924055e+01
-3.949017618725163103e+00 6.296753501289999999e-01 2.236713215888572748e+01
-3.925682612200276367e+00 5.486477070237931741e-01 2.239772653909054156e+01
-3.955862537540447477e+00 6.034550819941042477e-01 2.234114540979217622e+01
-3.908769746826538771e+00 5.604041262770695919e-01 2.239493067429458506e+01
-3.844002963129313777e+00 4.704192433554146291e-01 2.243252384933963839e+01
-3.851124423658487395e+00 4.627135266299555738e-01 2.242095150873824849e+01
-3.826921289928216119e+00 4.562401384163023987e-01 2.242393198544964861e+01
-3.946381187003856539e+00 5.572511330166076693e-01 2.237654860224227704e+01
-3.837873185801310427e+00 4.507760717565330033e-01 2.241998154431999524e+01
-3.877765527512853971e+00 5.361775366132299769e-01 2.240644881536988819e+01
-3.862613431853478829e+00 4.534193016729053394e-01 2.240214466626892786e+01
-3.876058480482456936e+00 4.988311822848543464e-01 2.239061553664903315e+01
-3.976364509983786100e+00 6.163505800198925133e-01 2.236191088458742726e+01
-3.929804709523893713e+00 5.302998085934806927e-01 2.232850854298585830e+01
-3.936368983625069262e+00 5.454403256659272614e-01 2.235543303751748923e+01
-3.892186360880980800e+00 5.159547094671395051e-01 2.240055008516131707e+01
-3.929478718620186051e+00 5.342255409598357652e-01 2.241219165269250624e+01
-3.826700855531773193e+00 4.676843168279227747e-01 2.241590843556149437e+01
-3.944341627545307816e+00 6.624559484072714000e-01 2.235453763939610994e+01
-3.831368464450469524e+00 4.584400170980689193e-01 2.243311185004640862e+01
-3.912729691465620441e+00 5.660258787866956354e-01 2.238763003495306236e+01
-3.890532095188516948e+00 5.169955260780527695e-01 2.240860411441715883e+01
-3.886627845235231860e+00 5.053177197838043533e-01 2.240547422859289384e+01
-3.862111838646503870e+00 5.134604154197310866e-01 2.241007256676997272e+01
-3.900637871985525251e+00 5.096017013724327693e-01 2.235038909762287673e+01
-3.869809204865635621e+00 4.869840120924537885e-01 2.242814824569309806e+01
-3.826885258699456394e+00 4.333983555496356832e-01 2.245852226196888779e+01
-3.937529226796243620e+00 5.948956554727844459e-01 2.235241352796748515e+01
-3.981680615891873387e+00 6.262132596384930583e-01 2.228321587048343844e+01
-3.859937524368046269e+00 4.381477511139517667e-01 2.239723355688203910e+01
-3.901453298116686952e+00 5.630093834445524248e-01 2.237500923291850796e+01
-3.917013787415182691e+00 5.371432718689905794e-01 2.241186894047138622e+01
-3.912994766533707036e+00 5.435755820726086984e-01 2.237119700691211932e+01
-3.958423162159323105e+00 6.338024810761231365e-01 2.238446242195490754e+01
-3.920426230696982373e+00 4.987034735019295617e-01 2.235528162242639638e+01
-3.865540124684354595e+00 4.921824180762544021e-01 2.241628777535871109e+01
-3.883960113707424000e+00 6.136314621860927687e-01 2.240169143903731808e+01
-3.895501467366315751e+00 4.593057233170678710e-01 2.239305563326599469e+01
-3.846208479619943610e+00 5.016185035479696630e-01 2.241383989528987897e+01
-3.955862537540447477e+00 6.034550819941042477e-01 2.234114540979217622e+01
-3.910495241617182316e+00 5.368362467348715139e-01 2.238501148441034161e+01
-3.828927359697984478e+00 4.325619621085068367e-01 2.241911945305712806e+01
-3.985031847418183837e+00 7.433178144389149811e-01 2.227324220165838753e+01
-3.979579970364600428e+00 6.012444743892904064e-01 2.230897199677865927e+01
-3.923996511520854824e+00 5.600768086494831710e-01 2.236109705306509099e+01
-3.773514884462532137e+00 4.119845568466498076e-01 2.247098677876649830e+01
-3.894742421683131894e+00 4.701854101059015356e-01 2.236998623302751454e+01
-3.897541820609674801e+00 5.415155085257956635e-01 2.241572056361755827e+01
-3.814564697893463752e+00 4.606979359758800463e-01 2.244002202498975151e+01
-3.949514155894977563e+00 6.414707056125061868e-01 2.237486619194475068e+01
-3.808259881838956140e+00 4.036515878254853806e-01 2.247161057699295483e+01
-3.932706983065517470e+00 5.867463241130361773e-01 2.236481711758233004e+01
-3.838820419176176557e+00 4.284197461800620665e-01 2.240096803483191223e+01
-3.805875587508054103e+00 4.406673823977425020e-01 2.244311374090784383e+01
-3.879320780577836025e+00 5.261594215520912776e-01 2.243965151049071238e+01
-3.847450710077775504e+00 4.298799943578082150e-01 2.240058257446949952e+01
-3.908570405445531470e+00 5.157464811391156978e-01 2.239620143620573245e+01
-3.923902785679294958e+00 6.070767082471979492e-01 2.238594584040560420e+01
-3.891134504650031189e+00 5.181784531987603248e-01 2.237761235981815489e+01
-3.906452003936204953e+00 5.126219196614805185e-01 2.239477123405185210e+01
-3.846544246068437367e+00 4.452737861490334570e-01 2.242681902532072513e+01
-3.966989787943645318e+00 5.753328002160382759e-01 2.236769866745004975e+01
-3.854788091265299421e+00 5.033477371222760954e-01 2.241455874771892098e+01
-3.896849999495635153e+00 5.265175906259851324e-01 2.239579422387237884e+01
-3.960088017456166121e+00 5.946087244384516968e-01 2.236472577931342443e+01
