src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
-3.558771515297269872e+00 -4.098743385341262702e+00 -4.120511911360071444e+00 1.326396243587164570e+00 2.204769958704127575e+01
-3.603726004741968580e+00 -4.096754698178981080e+00 -4.058655075203156493e+00 1.401332144373505617e+00 2.191152885804060091e+01
-3.538948062007612805e+00 -4.131166884035061493e+00 -4.093958903149667705e+00 1.433988708528150635e+00 2.195638169795030947e+01
-3.585312913126781353e+00 -4.036547649936678361e+00 -4.104856257032762912e+00 1.327086346589346100e+00 2.196284357294275935e+01
-3.514355748544232938e+00 -4.053248817944119509e+00 -4.024641434784460792e+00 1.472137002536756167e+00 2.205364759485796711e+01
-3.524470800516714242e+00 -4.011227449925312882e+00 -4.071194963495081254e+00 1.462692702663750843e+00 2.199556316789334431e+01
-3.565671143496190965e+00 -4.004254930358508879e+00 -3.968869064780622402e+00 1.324385419532031705e+00 2.205425878545642959e+01
-3.520296389849050911e+00 -3.993113970743247698e+00 -4.037572006104900524e+00 1.346230936043915083e+00 2.204204053762496329e+01
-3.568834415888704648e+00 -4.059336766827675191e+00 -4.117114143194413600e+00 1.395545125366080885e+00 2.199737526665981235e+01
-3.535726416235751124e+00 -4.065107136002853672e+00 -4.056961759662882194e+00 1.431425029696814732e+00 2.197928350782753526e+01
-3.538333276988277376e+00 -4.085573101322840905e+00 -4.055513692429537187e+00 1.333964412902476582e+00 2.199539872510450422e+01
-3.531605708864045567e+00 -4.146311751330581608e+00 -4.084074581811259819e+00 1.377367633751146236e+00 2.196356541468454537e+01
-3.585077429862199239e+00 -4.132229844608446001e+00 -4.077691375176970112e+00 1.464812648489249192e+00 2.191631359709551674e+01
-3.568736155624127271e+00 -4.117277715081574030e+00 -4.110754422232675509e+00 1.302170039021471659e+00 2.201523500363498087e+01
-3.546233285331557461e+00 -4.033863093539221900e+00 -4.039337677454312825e+00 1.469389117968812108e+00 2.196329653792630765e+01
-3.513374608378860842e+00 -4.018371791916560909e+00 -3.973635547049292782e+00 1.423280755050957858e+00 2.208646802949575871e+01
-3.541089429901499663e+00 -3.994155800427779290e+00 -4.077388248609452148e+00 1.312790732957687556e+00 2.210118009263543470e+01
-3.553591509528503778e+00 -4.062762180176216376e+00 -3.955096733830195888e+00 1.423233727539225946e+00 2.202263565922411104e+01
-3.514270328800494170e+00 -4.046829387553286139e+00 -4.120504791609567619e+00 1.442446403528934606e+00 2.194144653602800332e+01
-3.543428545210681513e+00 -4.071017137456221846e+00 -3.960933833916204350e+00 1.473828877041378327e+00 2.199079010186382277e+01
-3.518844553321973656e+00 -4.042499550280560072e+00 -4.030293608561547281e+00 1.431612084163284671e+00 2.201740583627566394e+01
-3.522613217792253337e+00 -4.034300589846067986e+00 -4.021718250710687670e+00 1.445254290500685546e+00 2.202186256495668104e+01
-3.521503432663108057e+00 -4.065655119482480373e+00 -4.050489483573631588e+00 1.458589583703276737e+00 2.200141703604890608e+01
-3.580318848407215704e+00 -4.122012198059556098e+00 -4.038684853397660035e+00 1.467923511152845695e+00 2.196929795811044528e+01
-3.539931231497653208e+00 -4.082884323768007029e+00 -4.074930788739012044e+00 1.220620867266582366e+00 2.206870531616788966e+01
-3.556602727871611691e+00 -4.008201506856192253e+00 -3.974518638043681662e+00 1.337792724696415192e+00 2.203950168323478565e+01
-3.523291565957214821e+00 -4.041299063284537141e+00 -4.151291531052390127e+00 1.397234799475967737e+00 2.201072213468349048e+01
-3.516270255226885411e+00 -4.149042975518820953e+00 -4.097000755414617501e+00 1.422564850729655994e+00 2.199496943381134173e+01
-3.594833370326073307e+00 -4.055222588329568723e+00 -3.992961991666626353e+00 1.380672892888789249e+00 2.200281896338928789e+01
-3.554255313200880728e+00 -4.096054360885371892e+00 -4.046517183119046734e+00 1.392410605916373001e+00 2.194360323179144601e+01
-3.513281326887078393e+00 -4.086982018075394407e+00 -3.903911161176701228e+00 1.474549980260366766e+00 2.204108938458831446e+01
-3.544760597773450428e+00 -4.032551209416218363e+00 -3.881133206341701225e+00 1.437276084384681241e+00 2.200637006058314071e+01
-3.550982334739525292e+00 -4.077588435475988149e+00 -4.033667313535421073e+00 1.455684203212350702e+00 2.193648832065068888e+01
-3.574631384768674813e+00 -4.089973944050274923e+00 -4.147589662172112668e+00 1.305096564089865740e+00 2.201530795553863484e+01
-3.593957924790629477e+00 -4.117016518055073959e+00 -4.009896783309102375e+00 1.442624594342237998e+00 2.199881561126824892e+01
-3.561674614367716707e+00 -4.037673222130059969e+00 -3.914802464802606075e+00 1.468602992942785068e+00 2.198580794891264034e+01
-3.515357027749763219e+00 -4.031346339628540498e+00 -3.990781132874676729e+00 1.457740980392131735e+00 2.201108500061138074e+01
-3.562158619568643658e+00 -4.058073716072296833e+00 -4.043982381741146881e+00 1.219649703304345856e+00 2.203647948639527954e+01
-3.514768239509989733e+00 -4.021269796404276953e+00 -3.919950841071514702e+00 1.464776493175976135e+00 2.201230382615363013e+01
-3.547941149431848018e+00 -4.054536542359628015e+00 -4.026794688125736599e+00 1.353626962262571176e+00 2.205368527370778509e+01
-3.480664700501915121e+00 -4.008773460531992683e+00 -4.023914514545233523e+00 1.425250211192600425e+00 2.206843574655971096e+01
-3.525864365447879401e+00 -4.060663189252049499e+00 -4.104682509654854705e+00 1.468032897054885932e+00 2.198144601319734548e+01
-3.559712319424280125e+00 -4.099593783161358473e+00 -4.066345901683915187e+00 1.340343578732971608e+00 2.197776060678480192e+01
-3.533692977238032107e+00 -4.030112078961722410e+00 -3.973794873011817330e+00 1.417857172313002234e+00 2.204662692166727211e+01
-3.566357901594870761e+00 -4.093550666223810808e+00 -4.080665669955849673e+00 1.277067006233782998e+00 2.199227199498560026e+01
-3.523262225939006065e+00 -4.005209604632433695e+00 -4.094681244788021424e+00 1.337012866021085156e+00 2.206701258462696558e+01
-3.516896627320734048e+00 -4.090337449561738836e+00 -4.081312182359894791e+00 1.446764258134221492e+00 2.200593845204917187e+01
-3.525198918331731157e+00 -4.005897948214257376e+00 -3.960805251094206447e+00 1.291851719289417666e+00 2.206091352311789677e+01
-3.592320334214359256e+00 -4.043893104288553531e+00 -4.013343448635239952e+00 1.461679608034663236e+00 2.189443990631315629e+01
-3.564534736928714587e+00 -4.109561233785315792e+00 -4.089607735816458423e+00 1.469169737620261706e+00 2.192656537152356577e+01
-3.539473191941758579e+00 -4.037987191664338837e+00 -3.967669310221735302e+00 1.458905730101455855e+00 2.206407460956427613e+01
-3.519158113648519937e+00 -4.079012642610743811e+00 -4.004160223325267332e+00 1.467599006027887398e+00 2.204027217486034118e+01
-3.521385091228419917e+00 -4.082013208815997274e+00 -4.037644555568063787e+00 1.338902585318265004e+00 2.205077246309314987e+01
-3.575042947586333675e+00 -4.082584980050299350e+00 -4.125164335710787000e+00 1.454540551545166593e+00 2.195131369539153354e+01
-3.555670477982174837e+00 -4.024109220090082317e+00 -4.032042315882057970e+00 1.424533887019717504e+00 2.197017549274031367e+01
-3.545658545421014551e+00 -4.051688858006455618e+00 -4.161006868393351432e+00 1.416216556699825713e+00 2.202804864450944322e+01
-3.555960922469597385e+00 -4.106579038146454863e+00 -4.094236761304193450e+00 1.452534256963164072e+00 2.193040352734709941e+01
-3.562287827104083426e+00 -4.074507451518683432e+00 -4.118866062420587504e+00 1.320993552129670512e+00 2.199958779859868230e+01
-3.546911367270027426e+00 -4.056063160631683928e+00 -3.917707461891407839e+00 1.403467496949762250e+00 2.203618063115550996e+01
-3.559031665721370530e+00 -4.036313395605793275e+00 -4.084967290015904418e+00 1.295686551720987012e+00 2.197926784281875001e+01
-3.551076822827992530e+00 -4.084781290181792812e+00 -4.056536598189459220e+00 1.455352332180147368e+00 2.199588667596255931e+01
-3.517028647691702758e+00 -4.104287395870760413e+00 -4.068464439112903897e+00 1.457935303171088659e+00 2.195771141373651503e+01
-3.553565875243583250e+00 -4.087183041617272750e+00 -4.004120019422791721e+00 1.468327700661941293e+00 2.192680133391849395e+01
-3.544548144490406116e+00 -4.086923409246701944e+00 -3.959915226190715565e+00 1.113847367367224006e+00 2.208315104816522734e+01
-3.545313670314722998e+00 -4.057032327590201604e+00 -4.141131743578889690e+00 1.428795838718709188e+00 2.198086893602911474e+01
-3.566131258272589477e+00 -4.088788847513667335e+00 -4.134702889869055653e+00 1.434767891424293840e+00 2.192232855087330989e+01
-3.544232924750059688e+00 -4.034099852192814417e+00 -4.137092542751584112e+00 1.457587952533692111e+00 2.200057733904153068e+01
-3.526824529002026587e+00 -4.051688795574232671e+00 -4.054286645251581334e+00 1.432788180828598268e+00 2.202590072419728173e+01
-3.549061971950087546e+00 -4.017500947923187127e+00 -4.086297524955069704e+00 1.471307553204765917e+00 2.196214656549766886e+01
-3.571774236844795780e+00 -4.093598022928061297e+00 -4.070079451938808823e+00 1.352614651948317981e+00 2.193471064401954607e+01
-3.559031665721370530e+00 -4.036313395605793275e+00 -4.084967290015904418e+00 1.295686551720987012e+00 2.197926784281875001e+01
-3.520709227745435932e+00 -4.059160612672750190e+00 -4.052914030899559705e+00 1.360337697213628072e+00 2.202685633585415914e+01
-3.524796512037074336e+00 -4.042512445374379482e+00 -4.035640941041284790e+00 1.476164745568529391e+00 2.202546458302820653e+01
-3.556598916802465205e+00 -4.064981215772411005e+00 -3.984612648813016023e+00 1.412276911703824744e+00 2.196870686459147493e+01
-3.535202045559080908e+00 -4.070619296627105754e+00 -4.073701995989589264e+00 1.468874712440321417e+00 2.195736543820546416e+01
-3.580784765743205256e+00 -4.059403649381110313e+00 -4.105300591414848377e+00 1.419736898682390613e+00 2.198282913799079452e+01
-3.529279458907694789e+00 -3.965586676858213977e+00 -4.056108690759380409e+00 1.451541623480330667e+00 2.201774539486042670e+01
-3.540917680700999881e+00 -4.113899881148991966e+00 -4.006965092195205358e+00 1.447576333193718590e+00 2.198276562368569387e+01
-3.486978259812542724e+00 -4.031251041231446841e+00 -4.155600132615652420e+00 1.448007997555557758e+00 2.204671591634801331e+01
-3.520889904845700968e+00 -4.013775539145966853e+00 -3.936160292018008988e+00 1.461532434014213955e+00 2.204557827018254912e+01
-3.539877672295747679e+00 -4.031028186679236569e+00 -3.993293335299624935e+00 1.469059536196850146e+00 2.199727503272862705e+01
-3.573804867732353507e+00 -4.006975603574356448e+00 -4.114851349210129960e+00 1.288058811938533665e+00 2.204140989003829887e+01
-3.571580389196849836e+00 -4.029993712687906182e+00 -4.027073087626559911e+00 1.435874752463547566e+00 2.193398318885694920e+01
-3.548993799635935531e+00 -4.060293228944899191e+00 -3.948778818381509126e+00 1.470146522663003275e+00 2.198126400584967399e+01
-3.543018371658632759e+00 -4.136308689095169910e+00 -4.051038793098548751e+00 1.268013111869692899e+00 2.200730477330679946e+01
-3.572186778758815962e+00 -4.036458646679479401e+00 -4.065374387436909487e+00 1.399974448936625482e+00 2.195258073541798183e+01
-3.564363707121692926e+00 -4.007629473513942386e+00 -4.106420059817954993e+00 1.369672620062420521e+00 2.200609366850613213e+01
-3.531798832168609792e+00 -4.074415413460835467e+00 -4.116908824269241762e+00 1.103966209772576423e+00 2.206354662355649054e+01
-3.569071355746221919e+00 -4.067567774154182914e+00 -3.926788284527358286e+00 1.382095216301868490e+00 2.201401543071389355e+01
