weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -5.021213350776701570e+08 1.904541231732695294e+00 -3.950740977503835794e+00 -4.022365887022836262e-01 -1.215027354272637528e-01 2.054691900005683891e+01
0.000000000000000000e+00 -4.624193961691933870e+08 -6.197127583523168504e+00 1.839851039795503240e+00 -9.689736473399817029e-01 -5.814717452167428302e-02 1.959488851943208942e+01
0.000000000000000000e+00 -3.531572410548762083e+08 1.962639384789579111e+00 -5.885072590052542907e+00 -4.029614354410322896e+00 3.941845206930341128e-01 2.056206111821947857e+01
0.000000000000000000e+00 -3.519016537187544107e+08 1.120033066170439184e+00 1.859915947724198659e+00 -4.053014878730112791e+00 1.026152586870539007e+00 1.900071736124522914e+01
0.000000000000000000e+00 -3.414024430768841505e+08 1.918910146994958765e+00 -5.360537575775854435e-01 -7.446645098398195550e+00 7.003173211117370567e-01 1.905303054584512523e+01
0.000000000000000000e+00 -2.908307801418702006e+08 1.894924245738454971e+00 -8.945379640069157645e-01 -7.897857377239535737e+00 3.589760720961312490e-01 2.086522017598321455e+01
0.000000000000000000e+00 -2.871891120948615670e+08 -6.761264938742797881e+00 1.858005665399051765e+00 -4.236233550891133959e+00 -3.088508028004633976e-01 2.127791363731087415e+01
0.000000000000000000e+00 -2.838713220960234404e+08 2.293244770358704443e-01 1.677745770011659587e+00 -1.613271228033027249e+00 4.942772417067464730e-02 1.970617040889869997e+01
0.000000000000000000e+00 -2.357924531933436394e+08 1.851781754050698225e+00 -7.219663394766558717e+00 -7.133398601551107276e+00 1.902880037826306658e-01 2.140731425894497164e+01
0.000000000000000000e+00 -2.284902828278661668e+08 1.728395338189413266e+00 -6.649112604308996310e+00 1.057517539397286654e+00 5.261501421674392720e-01 2.042386177284900128e+01
0.000000000000000000e+00 -2.282991345702568293e+08 1.814848763747061611e+00 -2.304798609489120409e+00 -4.695218855914783163e+00 -4.970639642891329091e-01 2.027999120456385285e+01
0.000000000000000000e+00 -2.014929573112304807e+08 -4.202130981319401215e+00 1.062687719442029888e+00 1.688275574962604608e+00 -2.414861387714272167e-01 2.067163267003522975e+01
0.000000000000000000e+00 -1.716942699628641605e+08 1.627480526742298039e+00 -7.765116567859876362e+00 -6.131225537310855955e+00 5.565099916696825133e-01 1.906293477693071381e+01
0.000000000000000000e+00 -1.691200611019524336e+08 -6.369361654451685339e+00 -8.381135064574607441e-01 1.786945092912759492e+00 -3.281176430812460243e-02 2.005794576095253845e+01
0.000000000000000000e+00 -1.672220039897883832e+08 1.647866638851990473e+00 -4.881942870624479625e+00 -6.040558753138417281e+00 -1.850668655716639632e-01 2.146997729327798510e+01
0.000000000000000000e+00 -1.602004100432935059e+08 1.582261003503592889e+00 -3.240520204187637532e+00 5.617598434162562882e-01 5.706543099492089599e-01 1.979228878649245615e+01
0.000000000000000000e+00 -1.491815468421916664e+08 -1.361925251875339526e+00 1.973173762388165997e+00 -7.400124101066732685e+00 5.926692993991256042e-01 2.225297158016152110e+01
0.000000000000000000e+00 -1.469672437536515892e+08 -7.525117967885154080e+00 1.722856071367457886e+00 -5.915074981056418935e+00 1.283447494771806419e+00 2.172447959637112547e+01
0.000000000000000000e+00 -1.407454767230614424e+08 2.357233601853891969e-01 -9.974133226604262603e-01 1.962173815390855225e+00 1.361924777043621582e+00 1.974613138839731263e+01
0.000000000000000000e+00 -1.399701939499819279e+08 1.525565877493889388e+00 -1.915435197292175040e+00 2.697434112146517293e-01 7.641580144940991470e-01 1.994999754524795677e+01
0.000000000000000000e+00 -1.396916244777876437e+08 1.555117937867166233e+00 -4.795357613656499041e+00 -1.990460409947319320e+00 1.157083116620516883e+00 1.990348710885542971e+01
0.000000000000000000e+00 -1.208934235672618598e+08 -3.244383041367123965e+00 1.704819333663287750e+00 -4.156842679309464827e-01 1.237628688171393154e+00 2.197330725881285574e+01
0.000000000000000000e+00 -1.169893186603927612e+08 1.433157459299039260e+00 -6.358365650553640336e+00 -8.509454350112060084e-01 2.067103482772183476e-01 2.025434965626715567e+01
