weight logl src1.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -3.761352348729842377e+10 8.746703880420894084e-01 3.368363321836609359e-02 2.733816295768309867e-01
0.000000000000000000e+00 -2.265132352887884903e+10 9.954414796121606734e-01 1.979786333695144895e-01 4.997314342019665290e-03
0.000000000000000000e+00 -2.086804564075828171e+10 9.085104833299640914e-01 9.731620166514176606e-02 1.447907767604238449e-01
0.000000000000000000e+00 -1.533336616954756165e+10 8.805886908296752802e-01 8.137384700690075690e-02 1.417732745784477943e-01
0.000000000000000000e+00 -6.608152498557632446e+09 9.377656053153395899e-01 1.920099737992562172e-01 2.191805500087374847e-01
0.000000000000000000e+00 -3.374178055843470097e+09 8.061040125138365653e-01 6.346104990914225308e-02 5.382362269956628698e-01
0.000000000000000000e+00 -3.318277800077929497e+09 8.456357043613420554e-01 1.138882086748904676e-01 4.174434906340761531e-01
0.000000000000000000e+00 -2.997301931595160484e+09 9.643720517214079413e-01 2.896379826462714968e-01 7.314835496810034865e-02
0.000000000000000000e+00 -2.160031770936510086e+09 9.467556778070631562e-01 1.380062830050161615e-01 7.250634329237182207e-01
0.000000000000000000e+00 -1.719985206753131628e+09 9.735230138837418501e-01 5.637650064842125719e-02 7.936604179090339661e-01
0.000000000000000000e+00 -1.443534027365675449e+09 9.846713544947572894e-01 3.426323726089413046e-01 4.515470170582451814e-01
0.000000000000000000e+00 -1.424814534140869617e+09 9.359382964398186289e-01 2.802871378553569714e-01 3.867056094561772683e-01
0.000000000000000000e+00 -1.327450203659812927e+09 8.382489817818727929e-01 9.984669391452289933e-01 2.246029483634676138e-01
0.000000000000000000e+00 -1.327153754161693096e+09 7.137597776057206245e-01 1.272538879037210524e-02 5.193453702325944166e-01
0.000000000000000000e+00 -9.292478308418794870e+08 9.375250315895822251e-01 3.458979448326557904e-01 2.192307411253183735e-01
0.000000000000000000e+00 -8.250475610371831656e+08 9.595526428737606306e-01 7.318115031380491020e-01 3.354655836509430333e-01
0.000000000000000000e+00 -7.325932163382229805e+08 9.392112293455522343e-01 6.116513662880013191e-01 2.060093672563280132e-01
