logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.352531670517721772e+07 -7.352532269789150357e+07 nan
-7.352532269789150357e+07 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.053796764439785480e+07 -7.053797363961213827e+07 nan
-7.053797363961213827e+07 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.072498478524582088e+07 -6.072499078296010941e+07 nan
-6.072499078296010941e+07 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.377184143205691129e+07 -4.377184743227119744e+07 nan
-4.377184743227119744e+07 nan -1.000000000000000021e-02 4.000000000000000000e+02 -3.559330890709461272e+07 -3.559331490980889648e+07 nan
-3.559331490980889648e+07 6.946028105220017955e+06 -1.250000000000000069e-02 4.000000000000000000e+02 -3.211484821623332426e+07 -3.211485422144760936e+07 nan
-3.211485422144760936e+07 1.296345312566535315e+06 -1.500000000000000118e-02 4.000000000000000000e+02 -3.132447668892902508e+07 -3.132448269664331153e+07 nan
-3.132448269664331153e+07 3.422410845674140728e+05 -1.750000000000000167e-02 4.000000000000000000e+02 -2.961497676048922911e+07 -2.961498277070351690e+07 nan
-2.961498277070351690e+07 9.923332416040649405e+05 -2.000000000000000042e-02 4.000000000000000000e+02 -2.661181038963997737e+07 -2.661181640235426277e+07 nan
-2.661181640235426277e+07 1.756307307209868915e+06 -2.249999999999999917e-02 4.000000000000000000e+02 -2.600132038342572749e+07 -2.600132639864001423e+07 nan
-2.600132639864001423e+07 1.912405867721291957e+06 -2.499999999999999792e-02 4.000000000000000000e+02 -2.461794789397411421e+07 -2.461795391168840230e+07 nan
-2.461795391168840230e+07 7.884921923600400332e+05 -2.749999999999999667e-02 4.000000000000000000e+02 -2.081311131566896290e+07 -2.081311733588324860e+07 nan
-2.081311733588324860e+07 1.793617208538861480e+06 -2.999999999999999542e-02 4.000000000000000000e+02 -1.966544090224714950e+07 -1.966544692496143654e+07 nan
-1.966544692496143654e+07 2.112501709887460805e+06 -3.249999999999999417e-02 4.000000000000000000e+02 -1.587228572437041998e+07 -1.587229174958470650e+07 nan
-1.587229174958470650e+07 2.675490096361999400e+06 -3.499999999999999639e-02 4.000000000000000000e+02 -1.228798248624256812e+07 -1.228798851395685412e+07 nan
-1.228798851395685412e+07 3.738062221111334860e+06 -3.749999999999999861e-02 4.000000000000000000e+02 -1.093097569928164035e+07 -1.093098172949592769e+07 nan
-1.093098172949592769e+07 3.811561260027058423e+06 -4.000000000000000083e-02 4.000000000000000000e+02 -1.017451225726612844e+07 -1.017451828998041525e+07 nan
-1.017451828998041525e+07 3.947722772662413772e+06 -4.250000000000000305e-02 4.000000000000000000e+02 -9.617313094686213881e+06 -9.617319129900500178e+06 nan
-9.617319129900500178e+06 7.573617370902646799e+05 -4.500000000000000527e-02 4.000000000000000000e+02 -9.326147901899691671e+06 -9.326153939613977447e+06 nan
-9.326153939613977447e+06 3.355864376118474174e+05 -4.750000000000000749e-02 4.000000000000000000e+02 -7.400399774826467969e+06 -7.400405815040755086e+06 nan
-7.400405815040755086e+06 1.108660135945752030e+06 -5.000000000000000971e-02 4.000000000000000000e+02 -6.894009847824892029e+06 -6.894015890539178625e+06 nan
-6.894015890539178625e+06 1.057535427690614713e+06 -5.250000000000001193e-02 4.000000000000000000e+02 -6.881289136259384453e+06 -6.881295181473671459e+06 nan
-6.881295181473671459e+06 9.069976346022880170e+05 -5.500000000000001416e-02 4.000000000000000000e+02 -6.804200943858033046e+06 -6.804206991572319530e+06 nan
-6.804206991572319530e+06 4.196607989722814091e+04 -5.750000000000001638e-02 4.000000000000000000e+02 -6.701657185707874596e+06 -6.701663235922161490e+06 nan
-6.701663235922161490e+06 4.440226197960902937e+04 -6.000000000000001860e-02 4.000000000000000000e+02 -6.144493773170780391e+06 -6.144499825885066763e+06 nan
-6.144499825885066763e+06 2.976408850512239151e+05 -6.250000000000001388e-02 4.000000000000000000e+02 -5.822631355150500312e+06 -5.822637410364787094e+06 nan
-5.822637410364787094e+06 2.581873565632637474e+05 -6.500000000000001610e-02 4.000000000000000000e+02 -4.921083591405565850e+06 -4.921089649119852111e+06 nan
-4.921089649119852111e+06 5.711971354664416285e+05 -6.750000000000001832e-02 4.000000000000000000e+02 -4.279339422035976313e+06 -4.279345482250262983e+06 nan
-4.279345482250262983e+06 5.392260534659049008e+05 -7.000000000000002054e-02 4.000000000000000000e+02 -4.151343705767739099e+06 -4.151349768482025713e+06 nan
-4.151349768482025713e+06 5.487945409608379705e+05 -7.250000000000002276e-02 4.000000000000000000e+02 -3.967957355872428510e+06 -3.967963421086715069e+06 nan
-3.967963421086715069e+06 5.931867322492075618e+05 -7.500000000000002498e-02 4.000000000000000000e+02 -3.862702704656862188e+06 -3.862708772371148691e+06 nan
-3.862708772371148691e+06 4.961685838080301619e+04 -7.750000000000002720e-02 4.000000000000000000e+02 -3.804658382056533359e+06 -3.804664452270820271e+06 nan
-3.804664452270820271e+06 5.830239184597616986e+04 -8.000000000000002942e-02 4.000000000000000000e+02 -3.684155057597529609e+06 -3.684161130311816465e+06 nan
-3.684161130311816465e+06 8.953028677032129781e+04 -8.250000000000003164e-02 4.000000000000000000e+02 -3.440392345527446363e+06 -3.440398420741733164e+06 nan
-3.440398420741733164e+06 1.379014458071464614e+05 -8.500000000000003386e-02 4.000000000000000000e+02 -2.809064625468661543e+06 -2.809070703182948288e+06 nan
-2.809070703182948288e+06 3.112487879245714284e+05 -8.750000000000003608e-02 4.000000000000000000e+02 -2.517413380772067700e+06 -2.517419460986354388e+06 nan
-2.517419460986354388e+06 3.657420406838855124e+05 -9.000000000000003830e-02 4.000000000000000000e+02 -2.222996260354115628e+06 -2.223002343068402261e+06 nan
-2.223002343068402261e+06 4.267450025578583009e+05 -9.250000000000004052e-02 4.000000000000000000e+02 -2.022907600600270554e+06 -2.022913685814557131e+06 nan
-2.022913685814557131e+06 3.917720445252634236e+05 -9.500000000000004274e-02 4.000000000000000000e+02 -1.988212345404288499e+06 -1.988218433118575253e+06 nan
-1.988218433118575253e+06 3.955823159630487207e+05 -9.750000000000004496e-02 4.000000000000000000e+02 -1.498284398630444193e+06 -1.498290488844730891e+06 nan
-1.498290488844730891e+06 2.393410293191790988e+05 -1.000000000000000472e-01 4.000000000000000000e+02 -1.481958458090381231e+06 -1.481964550804667873e+06 nan
-1.481964550804667873e+06 1.484432370301580522e+05 -1.025000000000000494e-01 4.000000000000000000e+02 -1.386651846751503414e+06 -1.386657941965790000e+06 nan
-1.386657941965790000e+06 4.379468749660564936e+04 -1.050000000000000516e-01 4.000000000000000000e+02 -1.177136946437495993e+06 -1.177143044151782757e+06 nan
-1.177143044151782757e+06 1.154644154357265943e+05 -1.075000000000000538e-01 4.000000000000000000e+02 -1.060846912644313416e+06 -1.060853012858600123e+06 nan
-1.060853012858600123e+06 9.521308732443954796e+04 -1.100000000000000561e-01 4.000000000000000000e+02 -1.045399564604538609e+06 -1.045405667318825261e+06 nan
-1.045405667318825261e+06 4.827444251559810073e+04 -1.125000000000000583e-01 4.000000000000000000e+02 -1.009532039697186789e+06 -1.009538144911473501e+06 nan
-1.009538144911473501e+06 4.494552463921564049e+04 -1.150000000000000605e-01 4.000000000000000000e+02 -9.781903611352073494e+05 -9.781964688494940056e+05 nan
-9.781964688494940056e+05 5.685005420821982989e+04 -1.175000000000000627e-01 4.000000000000000000e+02 -8.583367683499635896e+05 -8.583428785642503062e+05 nan
-8.583428785642503062e+05 5.091057368013226369e+04 -1.200000000000000649e-01 4.000000000000000000e+02 -8.249228777546742931e+05 -8.249289904689609539e+05 nan
-8.249289904689609539e+05 4.231305987585674302e+04 -1.225000000000000672e-01 4.000000000000000000e+02 -6.741615483385672560e+05 -6.741676635528539773e+05 nan
-6.741676635528539773e+05 4.166771181653683016e+04 -1.250000000000000555e-01 4.000000000000000000e+02 -6.712559517008539988e+05 -6.712620694151406642e+05 nan
-6.712620694151406642e+05 4.220024314270264586e+04 -1.275000000000000577e-01 4.000000000000000000e+02 -6.118334928962507984e+05 -6.118396131105375243e+05 nan
-6.118396131105375243e+05 5.976710178751820058e+04 -1.300000000000000600e-01 4.000000000000000000e+02 -5.722120417876527645e+05 -5.722181645019394346e+05 nan
-5.722181645019394346e+05 4.092611248000205524e+04 -1.325000000000000622e-01 4.000000000000000000e+02 -5.531853485909320880e+05 -5.531914738052188186e+05 nan
-5.531914738052188186e+05 3.447265424776266445e+04 -1.350000000000000644e-01 4.000000000000000000e+02 -3.777978603417587001e+05 -3.778039880560453748e+05 nan
-3.778039880560453748e+05 8.977647833821868699e+04 -1.375000000000000666e-01 4.000000000000000000e+02 -3.749236071029795567e+05 -3.749297373172662337e+05 nan
-3.749297373172662337e+05 7.953205443164497410e+02 -1.400000000000000688e-01 4.000000000000000000e+02 -3.666036945155526046e+05 -3.666098272298392840e+05 nan
-3.666098272298392840e+05 4.321094307788477636e+03 -1.425000000000000711e-01 4.000000000000000000e+02 -3.604719696580390446e+05 -3.604781048723257263e+05 nan
-3.604781048723257263e+05 2.890727339547522206e+03 -1.450000000000000733e-01 4.000000000000000000e+02 -3.590053461872650660e+05 -3.590114839015517500e+05 nan
-3.590114839015517500e+05 2.100172080477138934e+03 -1.475000000000000755e-01 4.000000000000000000e+02 -3.334249293770323857e+05 -3.334310695913190721e+05 nan
-3.334310695913190721e+05 1.261110697846729818e+04 -1.500000000000000777e-01 4.000000000000000000e+02 -3.082141043409986887e+05 -3.082202470552853774e+05 nan
-3.082202470552853774e+05 1.937646239884449096e+04 -1.525000000000000799e-01 4.000000000000000000e+02 -2.975244661860134220e+05 -2.975306114003001130e+05 nan
-2.975306114003001130e+05 1.149634728151514719e+04 -1.550000000000000822e-01 4.000000000000000000e+02 -2.660055257574691786e+05 -2.660116734717558720e+05 nan
-2.660116734717558720e+05 1.882877975110294938e+04 -1.575000000000000844e-01 4.000000000000000000e+02 -2.599327278142395662e+05 -2.599388780285262619e+05 nan
-2.599388780285262619e+05 1.037304998439682822e+04 -1.600000000000000866e-01 4.000000000000000000e+02 -2.112850964513196668e+05 -2.112912491656063648e+05 nan
-2.112912491656063648e+05 2.106489868085330090e+04 -1.625000000000000888e-01 4.000000000000000000e+02 -1.990012991716614633e+05 -1.990074543859481637e+05 nan
-1.990074543859481637e+05 1.687456177998008570e+04 -1.650000000000000910e-01 4.000000000000000000e+02 -1.921602466561027395e+05 -1.921664043703894422e+05 nan
-1.921664043703894422e+05 1.760016069771737602e+04 -1.675000000000000933e-01 4.000000000000000000e+02 -1.738724563425667584e+05 -1.738786165568534634e+05 nan
-1.738786165568534634e+05 9.050702161463084849e+03 -1.700000000000000955e-01 4.000000000000000000e+02 -1.715750685929978499e+05 -1.715812313072845282e+05 nan
-1.715812313072845282e+05 9.942922635983406963e+02 -1.725000000000000977e-01 4.000000000000000000e+02 -1.675370736135701591e+05 -1.675432388278568396e+05 nan
-1.675432388278568396e+05 2.248531971525455901e+03 -1.750000000000000999e-01 4.000000000000000000e+02 -1.617765031653027399e+05 -1.617826708795894228e+05 nan
-1.617826708795894228e+05 3.221028338542577330e+03 -1.775000000000001021e-01 4.000000000000000000e+02 -1.400194632293266186e+05 -1.400256334436133038e+05 nan
-1.400256334436133038e+05 1.123765005433627812e+04 -1.800000000000001044e-01 4.000000000000000000e+02 -1.167183585882314801e+05 -1.167245313025181676e+05 nan
-1.167245313025181676e+05 1.950906542363098197e+04 -1.825000000000001066e-01 4.000000000000000000e+02 -1.162706135580760456e+05 -1.162767887723627355e+05 nan
-1.162767887723627355e+05 1.433049117067060615e+04 -1.850000000000001088e-01 4.000000000000000000e+02 -1.149344291603883175e+05 -1.149406068746750097e+05 nan
-1.149406068746750097e+05 4.930240538197319893e+02 -1.875000000000001110e-01 4.000000000000000000e+02 -1.145290128468875773e+05 -1.145351930611742719e+05 nan
-1.145351930611742719e+05 1.912396886592606791e+02 -1.900000000000001132e-01 4.000000000000000000e+02 -1.073468884483322327e+05 -1.073530711626189295e+05 nan
-1.073530711626189295e+05 3.169893844011267902e+03 -1.925000000000001155e-01 4.000000000000000000e+02 -1.003292064225172799e+05 -1.003353916368039645e+05 nan
-1.003353916368039645e+05 2.615001115414607739e+03 -1.950000000000001177e-01 4.000000000000000000e+02 -9.988570316272429773e+04 -9.989189087701098470e+04 nan
-9.989189087701098470e+04 2.721558614095646135e+03 -1.975000000000001199e-01 4.000000000000000000e+02 -9.560874123026452435e+04 -9.561493144455121364e+04 nan
-9.561493144455121364e+04 2.176484061992321131e+03 -2.000000000000001221e-01 4.000000000000000000e+02 -8.867899638809206954e+04 -8.868518910237876116e+04 nan
-8.868518910237876116e+04 2.582545504277560667e+03 -2.025000000000001243e-01 4.000000000000000000e+02 -8.780421462112666632e+04 -8.781040983541336027e+04 nan
-8.781040983541336027e+04 2.137632729948495125e+03 -2.050000000000001266e-01 4.000000000000000000e+02 -6.757997292316073435e+04 -6.758617063744743064e+04 nan
-6.758617063744743064e+04 9.971122293249774884e+03 -2.075000000000001288e-01 4.000000000000000000e+02 -6.672837130996986525e+04 -6.673457152425654931e+04 nan
-6.673457152425654931e+04 7.798097126710184057e+03 -2.100000000000001310e-01 4.000000000000000000e+02 -6.448341790285327443e+04 -6.448962061713996809e+04 nan
-6.448962061713996809e+04 6.305299356393558810e+03 -2.125000000000001332e-01 4.000000000000000000e+02 -6.264028992585422384e+04 -6.264649514014091255e+04 nan
-6.264649514014091255e+04 1.523407296958529287e+03 -2.150000000000001354e-01 4.000000000000000000e+02 -6.220426267648136854e+04 -6.221047039076805959e+04 nan
-6.221047039076805959e+04 1.616719772923677738e+03 -2.175000000000001377e-01 4.000000000000000000e+02 -5.972626482905101147e+04 -5.973247504333770485e+04 nan
-5.973247504333770485e+04 1.277119913747254486e+03 -2.200000000000001399e-01 4.000000000000000000e+02 -5.652227772033936344e+04 -5.652849043462605187e+04 nan
-5.652849043462605187e+04 1.841004810025872757e+03 -2.225000000000001421e-01 4.000000000000000000e+02 -5.507997175683059322e+04 -5.508618697111728397e+04 nan
-5.508618697111728397e+04 1.604750398312265133e+03 -2.250000000000001443e-01 4.000000000000000000e+02 -5.177115227957394382e+04 -5.177736999386063690e+04 nan
-5.177736999386063690e+04 2.476563299165010903e+03 -2.275000000000001465e-01 4.000000000000000000e+02 -4.939409981255785533e+04 -4.940032002684454346e+04 nan
-4.940032002684454346e+04 3.431362098250498548e+03 -2.300000000000001488e-01 4.000000000000000000e+02 -4.396145713510712812e+04 -4.396767984939381859e+04 nan
-4.396767984939381859e+04 3.839314833717746751e+03 -2.325000000000001510e-01 4.000000000000000000e+02 -3.755469016031993669e+04 -3.756091537460662948e+04 nan
-3.756091537460662948e+04 5.877439542468804575e+03 -2.350000000000001532e-01 4.000000000000000000e+02 -3.675390594764054549e+04 -3.676013366192723333e+04 nan
-3.676013366192723333e+04 5.652807853848180457e+03 -2.375000000000001554e-01 4.000000000000000000e+02 -3.431946628691937076e+04 -3.432569650120606093e+04 nan
-3.432569650120606093e+04 6.049397262896473876e+03 -2.400000000000001577e-01 4.000000000000000000e+02 -3.308553345324051770e+04 -3.309176616752721020e+04 nan
-3.309176616752721020e+04 6.393685198884189049e+03 -2.425000000000001599e-01 4.000000000000000000e+02 -3.072125200692974613e+04 -3.072748722121643732e+04 nan
-3.072748722121643732e+04 7.066297209759803991e+03 -2.450000000000001621e-01 4.000000000000000000e+02 -3.019612165747693143e+04 -3.020235937176362131e+04 nan
-3.020235937176362131e+04 2.270977544550468110e+02 -2.475000000000001643e-01 4.000000000000000000e+02 -2.854926737566291922e+04 -2.855550758994961143e+04 nan
-2.855550758994961143e+04 8.783495814919016311e+02 -2.500000000000001665e-01 4.000000000000000000e+02 -2.715069403411637904e+04 -2.715693674840306994e+04 nan
-2.715693674840306994e+04 1.306803636897637944e+03 -2.525000000000001688e-01 4.000000000000000000e+02 -2.529326587068043227e+04 -2.529951108496712186e+04 nan
-2.529951108496712186e+04 1.634509663321433663e+03 -2.550000000000001710e-01 4.000000000000000000e+02 -2.430715435173985315e+04 -2.431340206602654507e+04 nan
-2.431340206602654507e+04 1.947309644536014957e+03 -2.575000000000001732e-01 4.000000000000000000e+02 -2.351732214695456787e+04 -2.352357236124125848e+04 nan
-2.352357236124125848e+04 1.373178528834285089e+03 -2.600000000000001754e-01 4.000000000000000000e+02 -2.300753233804614865e+04 -2.301378505233284159e+04 nan
-2.301378505233284159e+04 3.876575286027704124e+02 -2.625000000000001776e-01 4.000000000000000000e+02 -2.244234454231171185e+04 -2.244859975659840347e+04 nan
-2.244859975659840347e+04 5.802498668056937277e+02 -2.650000000000001799e-01 4.000000000000000000e+02 -2.218163449048914117e+04 -2.218789220477583149e+04 nan
-2.218789220477583149e+04 4.087608946413197373e+02 -2.675000000000001821e-01 4.000000000000000000e+02 -2.019459708650746325e+04 -2.020085730079415589e+04 nan
-2.020085730079415589e+04 1.106415017436802827e+03 -2.700000000000001843e-01 4.000000000000000000e+02 -1.959026161082246108e+04 -1.959652432510915241e+04 nan
-1.959652432510915241e+04 9.961771779489533856e+02 -2.725000000000001865e-01 4.000000000000000000e+02 -1.822496430248398974e+04 -1.823122951677067977e+04 nan
-1.823122951677067977e+04 6.727391799661314735e+02 -2.750000000000001887e-01 4.000000000000000000e+02 -1.792361244845865076e+04 -1.792988016274534311e+04 nan
-1.792988016274534311e+04 5.909715013095565155e+02 -2.775000000000001910e-01 4.000000000000000000e+02 -1.747182389765677362e+04 -1.747809411194346467e+04 nan
-1.747809411194346467e+04 3.259241451645209509e+02 -2.800000000000001932e-01 4.000000000000000000e+02 -1.703808857744994748e+04 -1.704436129173663721e+04 nan
-1.704436129173663721e+04 3.390655330959868365e+02 -2.825000000000001954e-01 4.000000000000000000e+02 -1.471483825211897056e+04 -1.472111346640566262e+04 nan
-1.472111346640566262e+04 1.339246650780597747e+03 -2.850000000000001976e-01 4.000000000000000000e+02 -1.457463217372719009e+04 -1.458090988801388085e+04 nan
-1.458090988801388085e+04 9.891280495981258127e+02 -2.875000000000001998e-01 4.000000000000000000e+02 -1.310896208628718341e+04 -1.311524230057387467e+04 nan
-1.311524230057387467e+04 1.166469658555820388e+03 -2.900000000000002021e-01 4.000000000000000000e+02 -1.154018177783368810e+04 -1.154646449212037987e+04 nan
-1.154646449212037987e+04 1.019573892644702028e+03 -2.925000000000002043e-01 4.000000000000000000e+02 -1.118032187567844085e+04 -1.118660708996513131e+04 nan
-1.118660708996513131e+04 1.099844783134752106e+03 -2.950000000000002065e-01 4.000000000000000000e+02 -1.089085161839461762e+04 -1.089713933268130859e+04 nan
-1.089713933268130859e+04 6.194989894743902141e+02 -2.975000000000002087e-01 4.000000000000000000e+02 -9.725312247535481220e+03 -9.731602461822172700e+03 nan
-9.731602461822172700e+03 9.770730287349408627e+02 -3.000000000000002109e-01 4.000000000000000000e+02 -8.675294035436143531e+03 -8.681586749722835521e+03 nan
-8.681586749722835521e+03 5.174173081398602108e+02 -3.025000000000002132e-01 4.000000000000000000e+02 -7.616409621142222022e+03 -7.622704835428913611e+03 nan
