weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -4.431968043022133410e+07 -9.346386539760533907e-01 1.437689253368935383e+00 9.272736089517898961e-01 1.915066966336872412e+01
0.000000000000000000e+00 -3.382607249581262469e+07 -4.630967276802810062e+00 1.250222000020864144e+00 9.848347018657768182e-01 1.972114830916740758e+01
0.000000000000000000e+00 -1.973513474042074010e+07 -5.443976987901713471e+00 1.948338444063951513e+00 4.158759578382231759e-01 2.209786718746884304e+01
0.000000000000000000e+00 -1.780507914240783826e+07 -3.255058749217286440e+00 1.084367204144761843e+00 8.953786912528429731e-01 1.917544233527842934e+01
0.000000000000000000e+00 -1.646096235542999022e+07 -1.169471567567892833e+00 1.528251896298373325e+00 5.773568746535393537e-01 2.150795795747719552e+01
0.000000000000000000e+00 -1.462006740779545158e+07 -2.344187905750102274e+00 1.556298991674688992e+00 5.165413774857197104e-01 1.937930291073258360e+01
0.000000000000000000e+00 -1.265167237980679981e+07 -5.163674450931621251e+00 1.426253903784534316e+00 5.564973693376282782e-01 1.919382617805924340e+01
0.000000000000000000e+00 -1.181556882938015647e+07 1.222952536804156054e+00 -1.790556101752205365e-02 6.767995428615827258e-01 1.979394550370707861e+01
0.000000000000000000e+00 -8.714445813551751897e+06 -5.712566614961553491e+00 8.849216334369707226e-01 8.191836679826667300e-01 2.119188621860591937e+01
0.000000000000000000e+00 -6.823829266362599097e+06 -1.355954708114541774e+00 1.825153874319990877e+00 2.193201238903479400e-01 2.000584795679322525e+01
0.000000000000000000e+00 -5.652077324985034764e+06 1.519596573892389557e+00 -7.349064354134501542e+00 5.275566377821223618e-01 2.305763708574269444e+01
0.000000000000000000e+00 -3.803156986016224138e+06 1.004638443513451662e+00 -6.826073352879516776e+00 5.170213834060652935e-01 2.041852386097224681e+01
0.000000000000000000e+00 -3.144203203221205622e+06 1.172134575775450216e+00 -2.948254286345299846e+00 4.014179075757033921e-01 2.172904332387442849e+01
0.000000000000000000e+00 -3.124523293230730109e+06 1.763307204466112665e+00 -4.276075536437188518e+00 8.028949879218414409e-01 2.402672498905336340e+01
0.000000000000000000e+00 -2.566728263411789201e+06 1.996457819781950249e+00 -3.255347873902693756e+00 1.272344818413282397e-01 2.276331736011705686e+01
0.000000000000000000e+00 -2.169757724158469122e+06 1.049492161931119938e+00 -7.361590171942707705e+00 3.581983982748147000e-01 2.084147101216622389e+01
0.000000000000000000e+00 -1.870294350781260524e+06 8.536230930304320452e-01 -6.428238319568657211e+00 4.412093924904105791e-01 2.148012963566997158e+01
0.000000000000000000e+00 -1.698369414473648882e+06 1.438478641214686604e-01 -1.368165182485240550e+00 9.992704796598692596e-01 2.265266346657255170e+01
0.000000000000000000e+00 -1.287275292218102608e+06 1.040154999439716121e+00 -7.723021643977796558e-01 2.484685249795606232e-01 2.010030593896228268e+01
0.000000000000000000e+00 -9.223344217491818126e+05 -6.956838978999364542e-01 -1.794804210315374959e-01 8.107304396448160588e-01 2.023381815600135170e+01
0.000000000000000000e+00 -6.314535710928579792e+05 -6.311263107893761770e+00 -3.294665201834705570e-01 9.327761066785567046e-01 2.225056825603527244e+01
0.000000000000000000e+00 -5.945635946428094758e+05 -1.721628516810509879e+00 3.322242610437751154e-01 4.306522543803983361e-01 1.909270655105748205e+01
0.000000000000000000e+00 -5.896781001352324383e+05 6.551233918096563968e-01 -1.522842988471527548e+00 3.521567312795279570e-01 2.238309877054219044e+01
0.000000000000000000e+00 -5.272557645652872743e+05 1.900055067990932045e+00 -5.277286035280853937e+00 1.741194456060579654e-01 2.368107507158622838e+01
0.000000000000000000e+00 -4.786361115314167109e+05 1.281536870179738941e+00 -1.574673009915234623e+00 -7.389391144160484259e-03 2.123689834144458999e+01
