weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.106193678802931905e+08 1.670106736703340644e+00 1.784616484530024749e+00 6.820749463684729896e-01 2.161708507201737817e+01
0.000000000000000000e+00 -5.425343334869318455e+07 7.989642669684382525e-01 1.280545179839215564e+00 9.541486550155560131e-01 2.237374288176284765e+01
0.000000000000000000e+00 -4.747834676699771732e+07 -6.103770956364187761e+00 1.712613472572936502e+00 9.754810143142473855e-01 2.349132002035913303e+01
0.000000000000000000e+00 -3.595981409596097469e+07 1.885707869762306643e+00 -2.226657062069596904e+00 9.560187809477938004e-01 2.379049734461015930e+01
0.000000000000000000e+00 -3.354896163179475814e+07 1.932600652997454205e+00 -9.361114719371936843e-01 4.438306057966987517e-01 2.010433853115957348e+01
0.000000000000000000e+00 -2.771130552417095751e+07 -1.013948581414947370e-01 1.068726980234343316e+00 9.297983604696242743e-01 2.205175604045391680e+01
0.000000000000000000e+00 -2.710289666105643287e+07 9.009608469871235314e-01 6.369033026259405261e-01 9.243661247934218395e-01 2.147617217481477780e+01
0.000000000000000000e+00 -2.148271413899775594e+07 9.535231112610915716e-01 -4.563195379628938397e+00 9.554222795263096479e-01 1.926191385284104030e+01
0.000000000000000000e+00 -9.392221433228906244e+06 7.827900653896531225e-01 5.277333646451385363e-01 7.801277455801698402e-01 2.276980181807179093e+01
0.000000000000000000e+00 -9.180206632791221142e+06 4.044658405526231348e-01 1.427223026776180959e+00 6.435414587756449478e-01 2.345069925606764016e+01
0.000000000000000000e+00 -8.273552282902051695e+06 2.714296637776811849e-01 1.364309181186754927e+00 4.611653788767426931e-01 2.263005725181650973e+01
0.000000000000000000e+00 -6.122050471192432567e+06 -1.473115838775785669e+00 7.338515017798048490e-01 6.862717160045481712e-01 2.145174417814024537e+01
0.000000000000000000e+00 -5.122916566740053706e+06 -1.932823491705280006e+00 1.588364564243859078e+00 6.682505665939988404e-01 2.386690501195604242e+01
0.000000000000000000e+00 -4.744541037671919912e+06 1.558439242075984055e+00 -2.215835181553469369e-01 2.432442698342560661e-01 2.181074860941412652e+01
0.000000000000000000e+00 -4.373220088157027029e+06 -7.249896802493447368e-01 1.965471333887339966e+00 1.400889252490764569e-01 2.277193267227191953e+01
0.000000000000000000e+00 -4.264194323414460756e+06 -3.068489813099677832e+00 6.391677575205942929e-01 8.400455086974716323e-01 2.312253857798230072e+01
0.000000000000000000e+00 -4.059277059301729780e+06 1.255469107782525739e+00 -3.348024443864881405e+00 3.903963545696513826e-01 2.245342531478602055e+01
0.000000000000000000e+00 -3.869702079073235858e+06 1.051910789384773892e+00 -4.970336305722632630e+00 4.143277053934704135e-01 1.949256939395153765e+01
0.000000000000000000e+00 -3.184788353865391109e+06 -4.013623123316195418e+00 1.763919569179444480e+00 4.072029408358046609e-02 1.940643890411777051e+01
0.000000000000000000e+00 -2.644066668327221647e+06 3.583524198416281337e-01 -7.708958648747283426e+00 7.255105856677857012e-01 1.983722332570346936e+01
0.000000000000000000e+00 -2.257787950488982722e+06 -3.379767293852621535e+00 1.995717343504129104e+00 3.422579177169238207e-02 2.267902231356184828e+01
0.000000000000000000e+00 -2.157291605002193712e+06 5.393720622127826658e-01 1.359478147540350790e+00 1.096492171152703143e-01 1.986300252551440337e+01
0.000000000000000000e+00 -1.837578302546706283e+06 -8.991299260194978160e-01 9.415400446994102168e-01 6.616345556039799902e-01 2.369280391173904832e+01
0.000000000000000000e+00 -1.807673603934182785e+06 -5.797403032211750684e+00 5.784830860908396488e-01 4.581960359464871679e-01 2.131359607455246419e+01
0.000000000000000000e+00 -1.761305088139741682e+06 -1.950848001962159017e+00 1.034033553306752395e+00 2.835846904869696594e-01 2.230309601012747223e+01
0.000000000000000000e+00 -1.400337581746499520e+06 1.295817383722390304e+00 -1.584223257175968236e+00 1.382423066781606202e-01 2.167544632748732880e+01
0.000000000000000000e+00 -1.147545973119928502e+06 2.830775397766949197e-01 8.004618943661938602e-01 2.169042552885964703e-01 2.142511761048456265e+01
