logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.686484344968567491e+08 -4.686484404895710349e+08 nan
-4.686484404895710349e+08 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.500420571587291360e+08 -3.500420631539434195e+08 nan
-3.500420631539434195e+08 4.420198768853889406e+07 -5.000000000000000104e-03 4.000000000000000000e+02 -3.149423090304399729e+08 -3.149423150281542540e+08 nan
-3.149423150281542540e+08 1.654618009819059446e+07 -7.499999999999999722e-03 4.000000000000000000e+02 -2.877065051825034618e+08 -2.877065111827177405e+08 nan
-2.877065111827177405e+08 1.283908066025135480e+07 -1.000000000000000021e-02 4.000000000000000000e+02 -2.529369899855549932e+08 -2.529369959882692695e+08 nan
-2.529369959882692695e+08 2.412703826444790885e+07 -1.250000000000000069e-02 4.000000000000000000e+02 -2.166368930881208777e+08 -2.166368990933351517e+08 nan
-2.166368990933351517e+08 1.352824739634950645e+07 -1.500000000000000118e-02 4.000000000000000000e+02 -2.049222108520570993e+08 -2.049222168597714007e+08 nan
-2.049222168597714007e+08 1.305384472207441367e+07 -1.750000000000000167e-02 4.000000000000000000e+02 -1.907996618224171698e+08 -1.907996678326314688e+08 nan
-1.907996678326314688e+08 1.779962251382741705e+07 -2.000000000000000042e-02 4.000000000000000000e+02 -1.879649027225337327e+08 -1.879649087352480292e+08 nan
-1.879649087352480292e+08 1.875388886465558410e+07 -2.249999999999999917e-02 4.000000000000000000e+02 -1.730002746958011985e+08 -1.730002807110154927e+08 nan
-1.730002807110154927e+08 2.176243092392066494e+07 -2.499999999999999792e-02 4.000000000000000000e+02 -1.695688584269513488e+08 -1.695688644446656406e+08 nan
-1.695688644446656406e+08 2.297875686934109405e+07 -2.749999999999999667e-02 4.000000000000000000e+02 -1.585793689933895469e+08 -1.585793750136038363e+08 nan
-1.585793750136038363e+08 5.824019075499253348e+06 -2.999999999999999542e-02 4.000000000000000000e+02 -1.373117937127633989e+08 -1.373117997354776859e+08 nan
-1.373117997354776859e+08 1.310641910927388631e+07 -3.249999999999999417e-02 4.000000000000000000e+02 -1.053566220107379705e+08 -1.053566280359522551e+08 nan
-1.053566280359522551e+08 2.320049302631300315e+07 -3.499999999999999639e-02 4.000000000000000000e+02 -1.006804780244005919e+08 -1.006804840521148741e+08 nan
-1.006804840521148741e+08 9.973233489272370934e+06 -3.749999999999999861e-02 4.000000000000000000e+02 -8.763160051739722490e+07 -8.763160654761150479e+07 nan
-8.763160654761150479e+07 1.412526428060644679e+07 -4.000000000000000083e-02 4.000000000000000000e+02 -8.469844034098300338e+07 -8.469844637369729578e+07 nan
-8.469844637369729578e+07 1.270095780630048830e+06 -4.250000000000000305e-02 4.000000000000000000e+02 -7.429232951959179342e+07 -7.429233555480608344e+07 nan
-7.429233555480608344e+07 3.878128670500437263e+06 -4.500000000000000527e-02 4.000000000000000000e+02 -7.274323297797682881e+07 -7.274323901569111645e+07 nan
-7.274323901569111645e+07 7.302511071140045533e+05 -4.750000000000000749e-02 4.000000000000000000e+02 -6.675533584696963429e+07 -6.675534188718391955e+07 nan
-6.675534188718391955e+07 2.993948424219745211e+06 -5.000000000000000971e-02 4.000000000000000000e+02 -6.086411720726842433e+07 -6.086412324998271465e+07 nan
-6.086412324998271465e+07 5.121149550738336518e+06 -5.250000000000001193e-02 4.000000000000000000e+02 -6.014630820075241476e+07 -6.014631424596670270e+07 nan
-6.014631424596670270e+07 4.624103668947394006e+06 -5.500000000000001416e-02 4.000000000000000000e+02 -5.256664603105440736e+07 -5.256665207876869291e+07 nan
-5.256665207876869291e+07 5.957975867246584035e+06 -5.750000000000001638e-02 4.000000000000000000e+02 -4.892979606865679473e+07 -4.892980211887107790e+07 nan
-4.892980211887107790e+07 6.714230007534324192e+06 -6.000000000000001860e-02 4.000000000000000000e+02 -4.455475801499141008e+07 -4.455476406770569831e+07 nan
