src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-4.855051048765328225e+00 -5.017765021772047973e+00 -4.923716627092856513e+00 2.278666033927099654e+00 2.165238080931729669e+01
-4.973334659479276887e+00 -5.025748461742765016e+00 -4.879145936774999193e+00 2.175544216713346302e+00 2.157312118511735122e+01
-4.901980500179618616e+00 -5.001845463595368635e+00 -4.815396884879142192e+00 2.261761176323228817e+00 2.161123622270291378e+01
-5.001096626958638325e+00 -5.100233642455943794e+00 -4.947454758620462911e+00 2.154327942372110449e+00 2.137502465050337364e+01
-5.090677766895678857e+00 -5.120934725170275925e+00 -4.946389011292181337e+00 2.102577798259043895e+00 2.118057868449595915e+01
-4.726903833733770988e+00 -4.910851018497119469e+00 -4.728066755505862417e+00 2.463439084103449694e+00 2.172445072198060245e+01
-4.864475045568860345e+00 -4.907508480313564903e+00 -4.769459412417839772e+00 2.460172600457558367e+00 2.163804056872718817e+01
-4.962547879624400693e+00 -4.968875083895017752e+00 -4.878472199280043498e+00 2.203189859123549255e+00 2.153677827522896493e+01
-4.892459444849720285e+00 -5.004285412336803240e+00 -4.826951348426488764e+00 2.216742927611951686e+00 2.164091517796033060e+01
-5.075228115404108564e+00 -5.180407102166828537e+00 -4.941906573720186380e+00 1.963329564665867721e+00 2.125656734193156083e+01
-5.006032797338157536e+00 -4.903609530270188976e+00 -4.848629180477045608e+00 2.244356664521484745e+00 2.164312645024342530e+01
-4.859737717290181891e+00 -4.927533865730947760e+00 -4.754004464468246205e+00 2.410473395857847478e+00 2.160613125920570354e+01
-5.032044675385450638e+00 -5.110196324917926525e+00 -5.017570173644555709e+00 2.036372297166446188e+00 2.122751121850592781e+01
-4.752711842662897368e+00 -4.789518511939655276e+00 -4.654068285799339399e+00 2.708717520992268035e+00 2.175927275538322903e+01
-4.880567043571281793e+00 -4.885729204591637398e+00 -4.770572395664560261e+00 2.347160222097625315e+00 2.168750699647502600e+01
-5.091076008954996013e+00 -5.075360093864562216e+00 -4.909097511724278995e+00 1.937441953095332181e+00 2.140224958960018142e+01
-4.844097038791870702e+00 -4.924454231790380554e+00 -4.812048896719828051e+00 2.444746701349626683e+00 2.166850967156642582e+01
-4.975358723849221398e+00 -4.927601226009191038e+00 -4.829117353273231217e+00 2.359558033163350999e+00 2.158683931150710933e+01
-4.976926417902726385e+00 -4.966062010359275192e+00 -4.925467091473135106e+00 2.108886521303513284e+00 2.150515243238825036e+01
-4.715261271310728475e+00 -4.719584055796684829e+00 -4.583708892296970205e+00 2.686836003373577419e+00 2.182347127892135319e+01
-4.876916885387420741e+00 -4.918569103874678383e+00 -4.799002523253054875e+00 2.211523625383217784e+00 2.163488500369474110e+01
-5.071285974351311232e+00 -5.084060887499828318e+00 -5.018186268123567828e+00 1.954327594032713833e+00 2.122658480505867118e+01
-4.813679162953981461e+00 -4.822353545092870064e+00 -4.696727384646278480e+00 2.603551259658845041e+00 2.182286124038271069e+01
-5.055131503706530971e+00 -5.009898829459549674e+00 -4.888862914468120380e+00 2.131966010988701754e+00 2.142383976916431010e+01
-4.916900570978465446e+00 -4.955115801516202012e+00 -4.877753440153716369e+00 2.439253817429088755e+00 2.171889996979566106e+01
-4.829139889455211332e+00 -4.882929045413739289e+00 -4.683848147659048777e+00 2.531048624681002224e+00 2.173441858641933777e+01
-4.804864325933923652e+00 -4.797280416321957119e+00 -4.713599382000068339e+00 2.535648589157426080e+00 2.169895434200283546e+01
-5.272393833047416045e+00 -5.277304646437293911e+00 -5.143160865137897275e+00 1.741104537674445396e+00 1.957119178351146260e+01
-4.992292126908624006e+00 -5.020853143725510392e+00 -4.851249475174805426e+00 2.232053410962159035e+00 2.139074719805991975e+01
-4.968163188393000418e+00 -5.116493324907829710e+00 -4.988752538205613263e+00 2.038965868478411991e+00 2.153038643730323898e+01
-5.029344411018104921e+00 -5.065321688054221561e+00 -4.859602351409279208e+00 2.181021353839100563e+00 2.146017917616651616e+01
-4.887807855685231573e+00 -4.931106110645626650e+00 -4.711627032838599405e+00 2.547855447374598903e+00 2.164806106316907730e+01
-4.978498311511113883e+00 -5.003390228926980043e+00 -4.905288433488656175e+00 2.130071686286829191e+00 2.142562695115104887e+01
-4.908538830563278665e+00 -4.862700643024547631e+00 -4.721053652056969696e+00 2.403161695913865969e+00 2.171647982188392234e+01
-4.998836530987926352e+00 -5.230283299633104122e+00 -4.984791649696806104e+00 2.067126099046324939e+00 2.132864741026503452e+01
-4.962286120810464496e+00 -5.028772080211521001e+00 -4.917529565420885262e+00 2.078441953523992858e+00 2.155453371202524337e+01
-4.981697702310427189e+00 -5.018950820876472818e+00 -4.855806544624556409e+00 2.183375108588849756e+00 2.160873393679874610e+01
-4.961839607362292348e+00 -5.107531301482787001e+00 -4.939762599627885109e+00 2.070580782935214970e+00 2.138899474964667391e+01
-4.854026191487401221e+00 -4.953989833778416951e+00 -4.880398612211970466e+00 2.315659637534242421e+00 2.158739659199044425e+01
-4.962500259662396829e+00 -4.960571224825577552e+00 -4.770245734395805570e+00 2.277709056062979798e+00 2.153254171582501186e+01
-4.965327901350661932e+00 -5.016188537940529102e+00 -4.911142819539349169e+00 2.125766241428623360e+00 2.148150218569215752e+01
-5.018716768228250302e+00 -5.125468641117712387e+00 -4.933832991892540321e+00 2.036113306975297910e+00 2.140654190483775210e+01
-4.859541418432791637e+00 -4.983049829428484401e+00 -4.824141899459267080e+00 2.476132326445895870e+00 2.160610186656899501e+01
