weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -5.278176871715861559e+08 5.830718690464375964e-02 3.496523124732240362e-01 9.491787453328216495e-01 5.752844490455875093e-01 1.309212423553437477e-01
0.000000000000000000e+00 -5.056538653871558309e+08 7.182506338123595402e-01 1.308760004767784979e-01 9.659507752869763708e-01 5.185773458496550914e-01 2.760928343461873657e-01
0.000000000000000000e+00 -4.771817373105216026e+08 7.303099491944344823e-01 6.568347139138421831e-01 9.710802644943320461e-01 3.324540263635037407e-01 4.650971109902390932e-01
0.000000000000000000e+00 -4.461666818280950189e+08 3.999558402371846677e-01 6.083301912273844092e-01 9.869501440379482293e-01 2.295807748126240666e-01 6.863968616539142253e-01
0.000000000000000000e+00 -4.366987994525283575e+08 3.921979490448737060e-01 1.801325565075900803e-01 9.772948911193658494e-01 6.540032480537235626e-01 3.518860762133910747e-01
0.000000000000000000e+00 -4.256654566984771490e+08 4.287399300728054197e-01 9.384698930212254098e-01 3.601469348444857888e-01 5.872662530515766477e-01 9.025152928922364204e-02
0.000000000000000000e+00 -3.863211350854558349e+08 6.790267773044987853e-01 7.922068414218863541e-01 9.292947933821466000e-01 8.611261725657959332e-03 7.956105885274810108e-01
0.000000000000000000e+00 -3.501908109790324569e+08 7.492103679950115058e-01 7.703578251851571634e-01 4.669225848015576830e-01 1.187347059811694194e-02 7.313636435967687532e-01
0.000000000000000000e+00 -3.493270616412205696e+08 4.033759972194952415e-01 1.974405971157061623e-01 7.995969756481715596e-01 1.228636563753444655e-01 2.683307952168987320e-01
0.000000000000000000e+00 -3.472416068803237081e+08 3.404164670238629675e-01 6.314222642115575601e-01 9.304325193100907443e-01 3.463142779394137172e-01 2.853984995835502358e-01
0.000000000000000000e+00 -3.368047690553702712e+08 2.024774620788425405e-01 4.500392368598569171e-01 9.454380289487298583e-01 4.543108605375477671e-01 2.551801491980143499e-01
0.000000000000000000e+00 -3.209828912521359324e+08 2.351242060086315977e-01 9.990433526439016498e-01 4.320174403312369016e-01 2.432120015552768910e-01 7.115942300955302446e-01
0.000000000000000000e+00 -2.748594762643519640e+08 4.486501114738928875e-01 3.218834813266789885e-01 9.107490318567337262e-01 3.224083814391516256e-01 2.537262601787702021e-01
