weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.934980140018785706e+11 -2.026649975064701792e+00 1.674136842121667357e+00 1.338080281572853636e+00 -2.635459801545257275e+00 1.926773501646864872e+01
0.000000000000000000e+00 -1.468971493364107971e+11 1.497245988497196478e+00 -6.446200510963187469e+00 1.185079844881535394e+00 -2.836273550063038940e+00 2.271021621809695645e+01
0.000000000000000000e+00 -1.210290827867986145e+11 1.632967444028599502e+00 -1.745693606060206626e+00 1.901911708973781145e+00 -2.478731014884903772e+00 2.340779266267132996e+01
0.000000000000000000e+00 -1.067689069577159576e+11 1.694363498797969214e+00 -1.730995814215415152e+00 -2.884469786614877407e+00 -2.494357167963417332e+00 2.215503480977219652e+01
0.000000000000000000e+00 -7.402258756056604004e+10 -5.863707522539199246e+00 -1.728075643441931319e+00 1.921810386858854969e+00 -2.023967089550187559e+00 1.960061765976670145e+01
0.000000000000000000e+00 -7.395750584817605591e+10 -6.496217997123068244e-01 1.254245198136256789e+00 1.878639638956363100e+00 -2.382461637634081697e+00 2.343791964049362520e+01
0.000000000000000000e+00 -5.653287406618177032e+10 7.715030275983814079e-02 1.377893783802957017e+00 -2.249963900823582108e+00 -2.464091446293236842e+00 2.163550011461788358e+01
0.000000000000000000e+00 -5.554839175360505676e+10 1.706169915465958198e+00 1.329861137628011392e+00 1.410178865425283590e+00 -1.623522804414857079e+00 2.121635349347705812e+01
0.000000000000000000e+00 -4.212718720289187622e+10 7.411023682507984489e-01 -6.942447428560720724e+00 1.955593359663328812e+00 -2.065953410989099126e+00 2.342943957473977079e+01
0.000000000000000000e+00 -3.904047159118338776e+10 1.578598887887597613e+00 -7.512299051163219943e+00 -5.036356268682613546e-01 -1.978602621778386972e+00 1.904632393560807913e+01
0.000000000000000000e+00 -2.935752861442457199e+10 -2.964361740063022665e+00 1.943800223104817704e+00 -5.746441413244809837e+00 -1.729376160393881090e+00 2.342188009879779287e+01
