src1.lognorm src2.lognorm src1.logkT src1.lognH
-3.100954411424263313e+00 -3.455456757827493064e+00 1.101253122441603338e+00 2.235626934304580260e+01
-3.110657095413412954e+00 -3.451589951739476803e+00 1.230789322015422460e+00 2.231934853901357130e+01
-3.132339243552853425e+00 -3.495372703730932784e+00 1.233390117696748778e+00 2.226614076872693460e+01
-3.084386195930456154e+00 -3.368397646844957904e+00 9.280068506182126420e-01 2.236482910867303531e+01
-3.118279805277322403e+00 -3.440704715469195207e+00 1.285869676726739907e+00 2.232497957972679004e+01
-3.152653766292873527e+00 -3.435226968321370755e+00 1.225991882849023273e+00 2.229705163637563814e+01
-3.130222907181114067e+00 -3.481960178495771885e+00 1.075483603227828322e+00 2.234167555207434575e+01
-3.100251822886417763e+00 -3.376856076646916449e+00 1.047642587355379629e+00 2.237194989088830965e+01
-3.110656287498490435e+00 -3.439012951276943397e+00 1.260529382742656690e+00 2.233747977914814342e+01
-3.107084395579771119e+00 -3.471625786857041263e+00 1.362994941022725559e+00 2.230486297367173520e+01
-3.100944121556754141e+00 -3.394967220269321295e+00 1.284678016032707593e+00 2.234753963311402458e+01
-3.107885093820621947e+00 -3.469663406410387729e+00 1.378185427435646204e+00 2.229281606910275570e+01
-3.111615749038135093e+00 -3.474842613634801403e+00 1.222088530432182019e+00 2.230056703178794564e+01
-3.081427531086691651e+00 -3.442400613663849640e+00 1.160875612283051694e+00 2.236861619040868376e+01
-3.091305228156343787e+00 -3.449555093857370913e+00 1.173226076669653839e+00 2.233905133954903732e+01
-3.071213416156096443e+00 -3.417699076840711392e+00 1.387404703502768122e+00 2.229638014942383606e+01
-3.087109114230327300e+00 -3.456516470959844156e+00 1.249135262980213934e+00 2.232180854936316194e+01
-3.133071926238680582e+00 -3.440837545301386413e+00 1.271978863355858191e+00 2.225860438148447784e+01
-3.113531525047391391e+00 -3.437146632947028380e+00 1.014443428353102750e+00 2.233517119125628625e+01
-3.106952334401274385e+00 -3.369448145569281294e+00 1.317693876030599842e+00 2.233699223707069947e+01
-3.081431509757615927e+00 -3.432262035361692831e+00 1.115279039530373772e+00 2.234230221609954725e+01
-3.083830462678336382e+00 -3.430003555466940135e+00 1.022137899733702948e+00 2.235174140500476625e+01
-3.170834723601839045e+00 -3.457888099832802098e+00 1.141922837479306452e+00 2.231184141375086938e+01
-3.103810176919813202e+00 -3.476151656684670854e+00 1.355422544592369327e+00 2.232992064787845976e+01
-3.102317503600720450e+00 -3.509209591428337660e+00 1.084135062198845478e+00 2.231825295864280889e+01
-3.114465806725058350e+00 -3.432981170080649846e+00 1.312532989527088301e+00 2.232415636016910199e+01
-3.136194339808189291e+00 -3.453467062565605872e+00 1.209574501277658420e+00 2.229147680312867053e+01
-3.126094402275247042e+00 -3.437372645298260032e+00 1.340576259667452419e+00 2.226729936355434702e+01
-3.099781585397175299e+00 -3.411778823433472496e+00 1.180541076539521672e+00 2.234070284032317488e+01
-3.042458714262489927e+00 -3.407706753750782802e+00 8.915111178930881231e-01 2.237193664960365780e+01
-3.112277941632756395e+00 -3.406268633502787857e+00 1.191066604745405044e+00 2.231956347979868127e+01
-3.124796054463968353e+00 -3.448529844061777538e+00 1.019846326403807346e+00 2.235789248479849789e+01
-3.117253040415129739e+00 -3.444978229603584019e+00 1.117189454375108415e+00 2.233752342384014611e+01
-3.033066525418411707e+00 -3.384706269932769906e+00 8.479461503944119016e-01 2.240906038800602573e+01
-3.135192694715854600e+00 -3.433614485152834739e+00 1.129995365353005710e+00 2.233510166350520620e+01
