weight logl src1.lognorm src2.lognorm src3.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -6.605993490577442199e+07 1.619407444932052798e+00 -6.433559462772771909e+00 -1.752747591226315294e+00 9.755084359165806518e-01 2.115658519003729054e+01
0.000000000000000000e+00 -3.242974366198324040e+07 1.823401803974370239e+00 1.569893770452278403e+00 -4.621299496751498204e+00 4.935957087553752842e-01 2.139634180388991780e+01
0.000000000000000000e+00 -2.378450776743251085e+07 1.961130364674124493e+00 -7.783600247639997249e+00 -4.923104637283941543e+00 4.440798007367208200e-01 1.968749324276389245e+01
0.000000000000000000e+00 -2.333487765807385370e+07 1.006658714074404770e+00 1.661081443848663852e+00 1.289116273912110699e+00 7.078481536268386165e-01 2.315686654967241509e+01
0.000000000000000000e+00 -1.776721551348633319e+07 1.453831193010701739e+00 -2.243355889054911678e+00 -5.853050845640964006e+00 6.719329093414474485e-01 1.970212390060492424e+01
0.000000000000000000e+00 -1.678244289926970750e+07 -3.704592454193655016e+00 1.272845743237105864e+00 -6.862103117314053868e+00 7.589972906639723682e-01 1.959533628562511254e+01
0.000000000000000000e+00 -1.460244298048490845e+07 -4.941104114032020433e+00 1.179063881423951798e+00 -1.341527139734004948e+00 7.822609781187184197e-01 1.985821213841816402e+01
0.000000000000000000e+00 -1.189244753355064988e+07 -1.320531858503414924e+00 1.277642790423001884e+00 -1.844266253642177666e+00 7.571238263755213360e-01 2.271914235270013549e+01
0.000000000000000000e+00 -1.001507606987494417e+07 1.128269847508255097e+00 -6.710064844854751520e+00 -7.204012824455226394e+00 7.240262549422786797e-01 1.981152209510078066e+01
0.000000000000000000e+00 -8.699116848150730133e+06 -6.627432345587072504e+00 -7.661936827414459472e-01 1.737417193292309037e+00 5.711683564988194739e-01 1.912516136034549419e+01
0.000000000000000000e+00 -8.314566172336869873e+06 3.476824949939381071e-01 8.947560505508516115e-01 -6.088356937128087232e+00 7.391993025876706369e-01 1.988349226728406904e+01
0.000000000000000000e+00 -6.802539145054312423e+06 9.374111905960127444e-01 -4.976241036455812505e+00 -7.662977169339288963e-01 7.377617191063019497e-01 1.961948238354794682e+01
0.000000000000000000e+00 -4.794534648234494030e+06 8.319954526713253529e-01 1.009335374054000312e+00 -6.038588491518057211e+00 6.455440775654270880e-01 2.317912224924310749e+01
0.000000000000000000e+00 -2.804385528437982313e+06 1.979622918841263512e+00 1.776652137280892774e+00 1.977884909267757507e-02 3.181088843098804908e-01 2.376869888572829126e+01
0.000000000000000000e+00 -1.884937802616720088e+06 -4.535960693198784810e+00 -7.202837738377596111e+00 1.412019789075664278e+00 4.471168685380528807e-01 2.233391246164345390e+01
0.000000000000000000e+00 -1.597984184777600924e+06 -1.967164309272339651e+00 1.371461615989922223e+00 -6.428898898704876075e+00 1.837555662063961037e-01 2.144066732789049468e+01
0.000000000000000000e+00 -1.591723102932486217e+06 9.981840485355100157e-01 -4.633408679741179981e+00 -2.087426799561542978e+00 3.411806831542452123e-01 2.092904037509208592e+01
0.000000000000000000e+00 -1.576411379590398166e+06 -1.804933770668758264e+00 -4.304992288073280271e+00 1.017183177761815216e+00 5.599809385220337887e-01 1.956729982265518686e+01
