src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.402149219477503372e+00 -4.753144900365199987e+00 1.754531492026218942e+00 2.056484373931225917e+01
-5.448295509999613984e+00 -4.830020342851083726e+00 1.763032502481561181e+00 1.971312515916418917e+01
-5.445954296575386877e+00 -4.816955925514499803e+00 1.629286336435676219e+00 2.000296492248267555e+01
-5.321612779999856713e+00 -4.727676944394902492e+00 1.934996204086385063e+00 2.089859345380262212e+01
-5.390443385790772979e+00 -4.816455390629934108e+00 1.585271315473645082e+00 2.033093214425890949e+01
-5.550155797027127136e+00 -4.811492459838887292e+00 1.494138038008398617e+00 2.085255478485719394e+01
-5.373641444477022411e+00 -4.830628418612986863e+00 1.665113161030842726e+00 1.931177414606174381e+01
-5.444521637225371080e+00 -4.804251048561732240e+00 1.594709222294151019e+00 2.017650621219194917e+01
-5.441645392562417527e+00 -4.715560876794873124e+00 1.930906702119612461e+00 2.112026717515642460e+01
-5.337421651094542696e+00 -4.759419117900867136e+00 1.823013561768804358e+00 2.101394715919898815e+01
-5.290520856481839118e+00 -4.806341359026038873e+00 1.713120509201356612e+00 2.087528832361044095e+01
-5.273069608521776530e+00 -4.716931048560539352e+00 1.856504619250269883e+00 2.100030519578177390e+01
-5.524285077988066561e+00 -4.801107856038047572e+00 1.621753380819094481e+00 2.013104485580923964e+01
-5.374114876225230653e+00 -4.780547401584212430e+00 1.671206213816006425e+00 1.993712829885940607e+01
-5.366068237803455432e+00 -4.716355269547049645e+00 1.787950822938610074e+00 2.095360471182402762e+01
-5.373834601581709336e+00 -4.811153815471197248e+00 1.599214111426791263e+00 2.015257053025953127e+01
-5.445245954234745334e+00 -4.798490861062667534e+00 1.794054284944285982e+00 1.972948362855634485e+01
-5.376435681636558606e+00 -4.793102501371397928e+00 1.654396858974118700e+00 2.021556778980000146e+01
-5.340101052907781920e+00 -4.817644082075037915e+00 1.642673531403513465e+00 1.931023794296202567e+01
-5.527753911946994947e+00 -4.813010722610858494e+00 1.624457404918484116e+00 1.928644139947867941e+01
-5.461815580072883591e+00 -4.833721700370585239e+00 1.594938181112617315e+00 1.946323712609870782e+01
-5.418238140379412648e+00 -4.799189613346087846e+00 1.781002608529183462e+00 2.014614202558651357e+01
-5.427354555554495974e+00 -4.783435790989386760e+00 1.730227159705273188e+00 1.944431816124181367e+01
-5.410967204711269574e+00 -4.801228824753522417e+00 1.741238961152186349e+00 2.049181698738439650e+01
-5.431315140424167964e+00 -4.825204907790661579e+00 1.601527687986651571e+00 2.015110619281732696e+01
-5.532261109958669820e+00 -4.800887571550339850e+00 1.542045544828659409e+00 1.987308956294006990e+01
-5.357441040313326575e+00 -4.822868939431751656e+00 1.716027231741898973e+00 2.021501668501577242e+01
