weight logl src1.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -1.033986368411939502e+09 9.895731040441170245e-01 2.461391904497004512e-01 2.032772693015383325e-02
0.000000000000000000e+00 -8.027511977881276608e+08 9.915192993270515176e-01 8.635171767714705515e-01 5.624081528683078091e-02
0.000000000000000000e+00 -7.083702354924589396e+08 9.805376391861519991e-01 4.887036388998678982e-01 3.735626301814154449e-02
0.000000000000000000e+00 -5.955452273395476341e+08 9.586026692809522798e-01 4.026936044394310299e-01 1.233006199764078437e-01
0.000000000000000000e+00 -4.681324867099080682e+08 9.726080084315725793e-01 7.679926462604194093e-01 3.176029741731215550e-01
0.000000000000000000e+00 -4.132081543401539326e+08 9.646164879979074458e-01 7.219411418207829501e-01 2.852509581315351150e-01
0.000000000000000000e+00 -3.890414155782467723e+08 9.997627232662835706e-01 4.780991870429541768e-01 4.375200442970534898e-01
0.000000000000000000e+00 -3.697457876576131582e+08 9.505347223044561256e-01 4.696787614559133628e-01 1.061878654005035116e-01
0.000000000000000000e+00 -3.399183620197835565e+08 9.502295801236092521e-01 4.896903336791038619e-01 2.033012970466994140e-01
0.000000000000000000e+00 -2.145786076846298873e+08 9.631818717439201150e-01 4.093182586401805656e-01 4.194403952679326419e-01
0.000000000000000000e+00 -1.434624558107259572e+08 9.131820243025405848e-01 4.799108099212633372e-01 2.446874358215849199e-01
0.000000000000000000e+00 -1.413821257837353349e+08 9.218073953739990278e-01 8.627189009882626491e-01 3.152736025423911181e-01
0.000000000000000000e+00 -1.280647588326075077e+08 9.170377509519533898e-01 9.762463239177687768e-01 2.223612985338780934e-01
0.000000000000000000e+00 -1.271213413720576763e+08 9.109796940670367160e-01 8.448267838387205630e-01 3.008227097360094415e-02
0.000000000000000000e+00 -7.579133582376207411e+07 9.124141250967446881e-01 8.835908461012478288e-01 4.252422703289507888e-01
0.000000000000000000e+00 -7.352042489797371626e+07 8.857850708293345532e-01 6.535695252991431392e-01 2.197984837774391575e-02
0.000000000000000000e+00 -7.146962812129011750e+07 9.456813369455033813e-01 7.217420951553278341e-01 5.235896486754151313e-01
0.000000000000000000e+00 -6.618196676244916767e+07 8.836193865202426334e-01 8.668737413744780351e-01 1.540276766050949764e-01
0.000000000000000000e+00 -6.391877109275944531e+07 8.870675390241771208e-01 2.151945331738207567e-01 2.784739253381193214e-01
0.000000000000000000e+00 -6.247952273595755547e+07 8.808900904492342754e-01 8.573572024327772434e-01 1.565754480457144382e-01
0.000000000000000000e+00 -6.086721522062090784e+07 9.166656818433570608e-01 7.440175515094620273e-01 4.695050731000212085e-01
0.000000000000000000e+00 -5.932024300330743194e+07 8.750580047379784565e-01 5.059946318106439689e-01 8.074257639812965071e-02
0.000000000000000000e+00 -5.666525261713780463e+07 8.817129040248773419e-01 8.827381076662978998e-01 3.035832459630883884e-01
0.000000000000000000e+00 -4.957674365176071227e+07 9.359903937229547832e-01 9.237137642558687078e-01 5.521433851637652657e-01
0.000000000000000000e+00 -4.416173372996570170e+07 9.001473561393955602e-01 4.621409556682346542e-01 4.279443867025909398e-01
0.000000000000000000e+00 -4.278365445973704010e+07 9.964740755643582970e-01 9.265555877179476596e-03 5.502657164316460126e-02
0.000000000000000000e+00 -3.898871845206449181e+07 8.473058462141089819e-01 4.038279856081918862e-01 2.889286893360839548e-01
0.000000000000000000e+00 -3.426960447357741743e+07 9.913892489551044962e-01 1.831072334211070185e-02 2.477425762054369374e-01
0.000000000000000000e+00 -2.485820688717627525e+07 8.757626047309596817e-01 5.656950284912236615e-01 4.354796365945151626e-01
0.000000000000000000e+00 -2.414709822089267150e+07 8.470486848285239123e-01 9.181005404334455777e-01 3.203220458753556210e-01
0.000000000000000000e+00 -2.320842053545745462e+07 9.759804282847447388e-01 5.732182948602819739e-01 6.233159789919362481e-01
