src1.lognorm src2.lognorm src1.logkT src1.lognH
-1.188905800534884705e+00 -1.421306669359624131e+00 -2.377276712339106979e-01 1.985775158680117514e+01
-1.321891101220670883e+00 -1.557089555381890200e+00 -2.009582860800689375e-01 2.011628186001550489e+01
-1.307079853559823590e+00 -1.436800143585535317e+00 -2.275357559780442074e-01 1.924035591838098114e+01
-1.145037064926223813e+00 -1.317511824702032541e+00 -2.470537305600597477e-01 1.906909387509180576e+01
-1.258306258215347029e+00 -1.432658067926669609e+00 -2.118973114421804915e-01 1.930360644530321679e+01
-1.372784215486904991e+00 -1.558283744002076254e+00 -1.965640022816979027e-01 1.969796641838076212e+01
-1.219048223022968891e+00 -1.460772234083366428e+00 -2.328427587628185691e-01 1.902321647644074076e+01
-1.193692647505241844e+00 -1.473749877082918047e+00 -2.335606936513916487e-01 1.929562050462799050e+01
-1.327855612981513111e+00 -1.537336635807619700e+00 -1.995573058589381610e-01 1.924303628954884360e+01
-1.273661749021952616e+00 -1.423052241998910894e+00 -2.244039265508268599e-01 1.972014292524023915e+01
-1.243440634308276671e+00 -1.403806574761954806e+00 -2.238247213995641083e-01 2.017829653018384661e+01
-1.266213672550163594e+00 -1.449952164532809284e+00 -2.278381207616209103e-01 1.995260275474085887e+01
-1.266513723295666694e+00 -1.468422357172119774e+00 -2.175042882695534807e-01 2.034896301452453571e+01
-1.189967482438738067e+00 -1.375101913176147050e+00 -2.417711201512355856e-01 1.956450909155768159e+01
-1.232024531231307840e+00 -1.442810879222367504e+00 -2.335966458731255635e-01 1.915544369717550310e+01
-1.178481889744999123e+00 -1.354374319245492231e+00 -2.443861693885471809e-01 1.907583292972662292e+01
-1.214791593116650859e+00 -1.411106942511697326e+00 -2.399826742022650450e-01 1.982704201585422510e+01
-1.348095282164491593e+00 -1.506483933986369372e+00 -1.971325856682968336e-01 2.033605270692276079e+01
-1.201593690462631869e+00 -1.400553820245116654e+00 -2.324738605798328805e-01 2.035561120384965150e+01
-1.229269388592898693e+00 -1.413550109203431049e+00 -2.373138928749014553e-01 2.027901600300329221e+01
-1.199112118451998832e+00 -1.375991111057306426e+00 -2.419639223714868947e-01 1.990815754984246411e+01
-1.243974544498129831e+00 -1.412213018426766276e+00 -2.344107754999034121e-01 1.945508269572152926e+01
-1.222994366172613923e+00 -1.416050704638566415e+00 -2.348313783274860178e-01 1.918761861994010687e+01
-1.221187390640008807e+00 -1.383021933020985195e+00 -2.359937536454985718e-01 1.915892752443470570e+01
-1.174429307806757805e+00 -1.415287259277194565e+00 -2.416801056350350585e-01 2.041239246840264343e+01
-1.241037679000359439e+00 -1.478701699023277527e+00 -2.257412333897153012e-01 2.033097297551725191e+01
-1.214675070080701857e+00 -1.386783465461778775e+00 -2.457810287787731696e-01 1.914158403379633810e+01
-1.253306847061791629e+00 -1.467465823543708581e+00 -2.322121694357019983e-01 1.910026900258429450e+01
-1.313029752710234810e+00 -1.548458651219394078e+00 -1.980325217436531560e-01 2.028982048574389552e+01
-1.149241031506784694e+00 -1.362845727698879017e+00 -2.543645542772674517e-01 2.051111373108346925e+01
-1.299167643220099144e+00 -1.458037664231241592e+00 -2.205276599714705021e-01 1.951348336705463993e+01
-1.207320628350433189e+00 -1.416746022952636963e+00 -2.385188241933637876e-01 1.974703007395827825e+01
-1.228041729156472250e+00 -1.432140726883669224e+00 -2.328995307722734331e-01 1.949894201887655498e+01
-1.283579673539241739e+00 -1.491833224361453603e+00 -2.131092413468227420e-01 1.961241266915906323e+01
-1.139111243878922153e+00 -1.307907956756080736e+00 -2.584104849182948804e-01 2.075079916209888253e+01
-1.243089216677773834e+00 -1.390461740241176081e+00 -2.381678882750497550e-01 1.901776301578637884e+01
-1.213567408311444495e+00 -1.460896796082616689e+00 -2.276097541290598159e-01 1.972726030213780035e+01
-1.294918831692854155e+00 -1.506258481988510312e+00 -2.144991538684624111e-01 1.926165349976987784e+01
-1.391484930104958551e+00 -1.540905512901600716e+00 -1.811427996080805514e-01 1.908980871866737417e+01
-1.276497853504034552e+00 -1.464043449128718422e+00 -2.063279589277464687e-01 1.948000133979339665e+01
-1.346196563091848653e+00 -1.495551383205580009e+00 -2.028855573836580994e-01 1.928288926316000840e+01
-1.200548659956177211e+00 -1.400360351071784137e+00 -2.446835215773468519e-01 1.910555663850732699e+01
-1.269157930885604912e+00 -1.509145634660658430e+00 -2.132984636634298603e-01 1.955641027376055163e+01
-1.218082237806329182e+00 -1.461645857163359707e+00 -2.393662208952536119e-01 2.000814188699346019e+01
