weight logl src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.154951694548062325e+10 9.879519040115146700e-01 8.121487648337319953e-01 2.821103340729536058e-02 6.113713573498134046e-01
0.000000000000000000e+00 -1.076369230945229912e+10 3.798854582967440274e-01 9.982486187523789134e-01 2.974427950143898602e-02 1.886319398003305503e-01
0.000000000000000000e+00 -4.615814945544449806e+09 9.770600111252444320e-01 5.735012685341042138e-01 7.802487443925909538e-02 5.792085892722398377e-02
0.000000000000000000e+00 -2.981049119095788956e+09 9.997954539816332753e-01 7.999294430186654203e-01 1.235105354582788362e-01 3.659524702525125406e-01
0.000000000000000000e+00 -2.302847429531424046e+09 9.603294802251629569e-01 6.089530843055730447e-01 9.226531565680462510e-02 3.211225508048149990e-01
0.000000000000000000e+00 -1.230647306816529274e+09 9.628592355962669602e-01 9.757085704579638863e-01 1.591675302221113864e-01 6.084354007639858342e-02
0.000000000000000000e+00 -1.008229836571696401e+09 9.976833300629880386e-01 2.282604054090554557e-01 1.710808094979000549e-01 4.559776516320267481e-01
0.000000000000000000e+00 -5.074824871155143380e+08 9.146467807010250084e-01 4.461502256649806375e-01 9.417835536904883842e-02 5.938086618166525943e-01
0.000000000000000000e+00 -3.613430752231004238e+08 2.877495878302533949e-01 9.768843268862628104e-01 1.909230617226241877e-01 1.595100774693324341e-01
0.000000000000000000e+00 -3.414518423882009387e+08 5.481767779389923323e-02 8.648714629910310148e-01 4.872073339841609396e-02 8.865167752138924939e-02
0.000000000000000000e+00 -2.697391448753942251e+08 9.498010041470696940e-01 7.631580781534530455e-01 9.302474998893653924e-01 2.122208038802243513e-01
0.000000000000000000e+00 -2.695019034429394007e+08 8.950839323090905575e-01 3.423760139830178684e-02 1.235917658304594990e-01 3.104141834291102020e-01
0.000000000000000000e+00 -2.089163378455345035e+08 7.934660993777298277e-02 9.396017236256229976e-01 1.708773653942474713e-01 6.728359186996712982e-02
0.000000000000000000e+00 -2.068892594027526677e+08 7.591191310220024580e-01 9.255719728712834549e-01 8.731026391355128924e-01 1.347533976637368403e-01
0.000000000000000000e+00 -1.963514422250568867e+08 9.640960323050739023e-01 3.371648810714308331e-01 8.459018929833566069e-01 1.574418180377166188e-01
0.000000000000000000e+00 -1.687892814917416871e+08 6.379457163699666644e-01 9.364257705745955285e-01 8.852874740164722311e-01 2.810476545838238582e-01
0.000000000000000000e+00 -1.676026715251028836e+08 8.988282592216699785e-01 8.368055430192450350e-01 1.138083990759661823e-01 6.463475648252713368e-01
0.000000000000000000e+00 -1.626291393214395940e+08 9.681525574812301915e-01 6.891731287744771173e-01 1.936048984239681081e-01 6.161591701336329718e-01
0.000000000000000000e+00 -1.463240409286343157e+08 4.165076359257855465e-01 7.951858267054724427e-01 1.125668441313310009e-02 2.022212162588095108e-01
0.000000000000000000e+00 -1.450261179848707914e+08 7.188281914723564370e-01 9.255995177512906791e-01 1.742598228109651926e-01 1.424980673512804552e-01
0.000000000000000000e+00 -1.445237865876158178e+08 8.531309976020993169e-01 8.901866110348315431e-01 8.980635663861279427e-01 1.175314184280429330e-02
0.000000000000000000e+00 -1.402714165797215700e+08 2.705468296456208233e-01 9.046845636341762642e-01 9.518593426453041406e-01 2.802836180280701139e-01
0.000000000000000000e+00 -1.316421617721355557e+08 9.884811870909550047e-01 1.791559262867620239e-01 3.065327506007007319e-01 1.712984523349868615e-01
0.000000000000000000e+00 -1.300405059118639529e+08 9.757659236501530220e-01 3.854250889527631729e-01 2.645794734913690105e-01 4.059260985003311228e-01
0.000000000000000000e+00 -1.278267475333798975e+08 9.601504332503112416e-01 1.447402476990541365e-01 7.985590320961807320e-01 9.243752733484544848e-02
0.000000000000000000e+00 -1.171274802459584773e+08 1.449823731316829400e-01 9.870876738499144709e-01 7.296107443043282625e-01 3.198924720096093521e-01
0.000000000000000000e+00 -1.067895359365051836e+08 7.838777919987158782e-01 9.859516297511690119e-01 3.278678201199480835e-01 1.893784327536807144e-02
