weight logl src1.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -3.872832284043271484e+11 1.953956639129009076e+00 -2.135960215141048391e+00 2.169648618055756728e+01
0.000000000000000000e+00 -3.259349797171851807e+11 1.931005899946184101e+00 -2.049875417251075582e+00 1.929225714840745098e+01
0.000000000000000000e+00 -2.363893267690057068e+11 1.850958043326585312e+00 -1.966571894652409114e+00 2.026907171445913747e+01
0.000000000000000000e+00 -7.706807837177015686e+10 8.386943385195326783e-01 -2.700573413039272452e+00 2.179429323647793382e+01
0.000000000000000000e+00 -4.235183328137184143e+10 9.548766618493029767e-01 -2.175566613221104006e+00 1.959845565689815672e+01
0.000000000000000000e+00 -4.081520991162394714e+10 1.325856494170427169e+00 -1.624022339708960150e+00 1.948608453583105771e+01
0.000000000000000000e+00 -3.039595597917083359e+10 1.979191948416826108e+00 -3.730124988022587296e-01 1.980115374048369503e+01
0.000000000000000000e+00 -2.350417637473143387e+10 1.893106797411544306e+00 7.854521986436704850e+00 2.041259225011317113e+01
0.000000000000000000e+00 -1.562590261860660553e+10 1.784049355116790636e+00 -5.384602292396745149e-01 2.278788104784382540e+01
0.000000000000000000e+00 -1.288253438516396713e+10 1.538976912100062933e+00 -8.830951260305681672e-01 2.306460256813010190e+01
0.000000000000000000e+00 -1.177139937107102203e+10 1.820243668826210026e+00 1.161902135791645918e-01 2.002374164939065793e+01
0.000000000000000000e+00 -8.107104058136179924e+09 1.690126168730547107e+00 -4.541650184923495814e-02 2.216950237193375983e+01
0.000000000000000000e+00 -6.643597635117834091e+09 1.411961684200004896e+00 7.325300616517838037e+00 1.901836839850940208e+01
0.000000000000000000e+00 -6.292251788212160110e+09 6.776840846096110482e-01 9.435648301929925097e+00 1.960671529837911820e+01
0.000000000000000000e+00 -6.264177138884361267e+09 1.679997976810971849e+00 4.163210401101844482e-01 1.913300803070848133e+01
0.000000000000000000e+00 -5.941906347249243736e+09 1.741938816756270825e+00 6.944117953106397678e+00 2.089533831360787985e+01
0.000000000000000000e+00 -4.950939592133310318e+09 1.530234016918514683e+00 6.573478552402516328e+00 1.986682417491132924e+01
0.000000000000000000e+00 -4.090654004876856804e+09 -2.278564704951602238e-01 -2.407215116439978875e+00 2.042829588753263437e+01
0.000000000000000000e+00 -3.614098026611238956e+09 1.600963549291940069e+00 7.528738244755158959e+00 2.118830832121219743e+01
0.000000000000000000e+00 -3.446098369626506805e+09 1.915435102757035324e+00 7.839123129490966235e+00 2.150035467620295648e+01
0.000000000000000000e+00 -2.872646026323348522e+09 1.020485355756868273e+00 -2.679887991912841549e-01 2.094996914961040702e+01
0.000000000000000000e+00 -2.819448031521679878e+09 1.021310601136489637e+00 -2.418589709257616960e+00 2.434487934375546558e+01
0.000000000000000000e+00 -2.793936226405036926e+09 1.864736702163106941e+00 4.469124257965562563e+00 2.087451003340506617e+01
0.000000000000000000e+00 -2.550446246079732418e+09 1.330115061391337505e+00 4.736074952000111082e-01 2.089911483766658762e+01
0.000000000000000000e+00 -2.492935566262395382e+09 1.608733764274857592e+00 4.878838292552777567e+00 1.919812425126838917e+01
0.000000000000000000e+00 -2.156035851727589130e+09 1.714553724358212961e+00 2.300689798501472261e+00 2.047093234936743400e+01
0.000000000000000000e+00 -2.116878633428832769e+09 1.210925227833925533e+00 6.837767187735387608e+00 2.063855399394515189e+01
0.000000000000000000e+00 -1.990035891541825294e+09 6.364345039366448020e-02 -1.566643358918191398e+00 2.156733189760824132e+01
0.000000000000000000e+00 -1.817096657535103083e+09 7.555517411992163090e-02 -1.860724001895015967e+00 2.336208110905337421e+01
0.000000000000000000e+00 -1.625899032765202761e+09 1.282456366763447875e+00 6.728079876234483336e+00 2.098137217143808186e+01
0.000000000000000000e+00 -1.560662810820424557e+09 7.931356678252790005e-01 -5.714555088786319459e-01 2.290583729562049697e+01
0.000000000000000000e+00 -1.094912517015402555e+09 4.430127307335780529e-01 8.329116594477939728e+00 2.053624264504599495e+01
0.000000000000000000e+00 -1.033749487803499579e+09 1.221841080591589801e+00 5.547664259386976937e+00 2.070497295897084200e+01
0.000000000000000000e+00 -9.796354218981020451e+08 1.424615567866066357e+00 5.163373936557045241e-01 2.312211210334928779e+01
0.000000000000000000e+00 -9.090179001456656456e+08 1.654061872771155350e+00 8.045856128511026384e-01 2.323711026840138061e+01
