FGL,name,l,b,Class,CT,nH_LAB,var_inter,var_intra,nobs,ncounts,fb,pl,pl_l,pl_u,log10Z_pl,mk,mk_l,mk_u,log10Z_mk,nH,nH_l,nH_u,bb,bb_l,bb_u,log10Z_bb
J0859.3-4342,J085927.0-434528,265.1473172664631,1.4499867091919751,CV,2.4518071908108108,21.805146022679445,,0.9999999472202746,1,6082.4601287333,1.5881331299648788e-12,1.633862940568946,1.58003966562337,1.689155238505446,-10.448968846960984,0.8932456479827465,0.8547768640304862,0.9358661585314778,0.0,22.415318206076144,22.40310524559837,22.42744030393288,0.07310089264246367,0.0652344612301663,0.08067033976652117,-50.309149756658655
J1725.1-3408,J172508.8-341112,353.22718025367556,0.8293228632946629,YSO,0.3355955721555236,22.06760439643354,,0.0553767012881399,2,6323.1252979359,1.1472491451124098e-12,2.7982185958936854,2.739898175441347,2.8552367794891937,-4.157647522063872,0.330675208667924,0.3158695716028246,0.3466307359660088,0.0,22.110176091732328,22.09159983499556,22.127176698164057,-0.18448182908030433,-0.190069932730744,-0.178983921453797,-32.98586173823569
J0859.2-4729,J085905.6-473041,267.94126431722384,-1.0576482493819592,YSO,4.286868824187752,21.86632627403591,,0.989917432110996,1,6568.3346429769,7.153639863017912e-13,3.6117371257696256,3.5466215588295196,3.6729440118623367,-6.374728758215647,0.1068537894548578,0.09867814348835145,0.11525851491117356,0.0,22.43867819500442,22.4293852772442,22.447544881963967,-0.2270438484391386,-0.2328452940886425,-0.2214805500641397,-47.39494689667231
J1742.5-2833,J174216.9-283707,359.8869417562904,0.7891955586554535,CV,1.907401744183586,21.970770786450203,1.0,0.9999999999997052,2,907.7326995299101,4.837333733141399e-13,1.7178117534635495,1.5661784532547927,1.8687762511624668,0.0,1.1980090732973028,1.0295215225766392,1.362582165126866,-0.6490643323424358,22.41158164745154,22.362881312339407,22.455282666681533,0.06414472287518214,0.04545670781740178,0.08379662106830388,-5.186411565955784
J1743.8-3143,J174347.2-314025,357.45924504060486,-1.09340187084853,LM-STAR,4.563578349176826,21.947854912110543,,0.39407360494388,2,286.44660608809,4.572943795333628e-13,2.527129487034591,2.298927445201492,2.779353873752086,-1.5111895473223493,0.43797751936582574,0.3726035362740341,0.5139723949460255,0.0,21.178405435478,20.965980811774926,21.31897145115625,-0.28927958104777574,-0.31036001424988324,-0.2653530064837599,-4.099517761814929
J0859.3-4342,J085932.2-434602,265.1647218330839,1.455519259014531,CV,0.2328329655141502,21.80533774201411,,1.0,1,1636.8864637894,4.0610558919799334e-13,1.5211716408418905,1.4151854042958432,1.632573017917802,-2.411429309163147,1.0763172088258095,0.9816158193276997,1.2223569627688076,0.0,22.32503142494672,22.29691944388407,22.349929426886654,0.08197197992584913,0.06702166389015284,0.09664509287547896,-14.581905371753653
J0639.1-8009,J063805.1-801854,292.04043644636005,-27.271202147327074,CV,0.3696375258411112,21.047352472454374,,0.9999948789722108,1,537.90518032784,2.803056182641577e-13,0.2162139503152569,0.13530184392908007,0.2980688664249831,0.0,1.454484183176652,1.4186056566798495,1.4716125264887117,-30.868013913818267,19.621080503165064,19.180832602110968,20.17674896815477,0.282106300950828,0.24770336297685783,0.31586599635325296,-14.553799733978702
J0859.3-4342,J085928.0-434510,265.1457955367032,1.455533757930541,AGN,0.5223641897483132,21.804729731237643,,1.0,1,883.5578953145,2.787638668023181e-13,1.661560983917595,1.476973682010989,1.8422480040344464,-1.2053150912631982,0.9116757948938418,0.7876712169680813,1.0874539777992456,0.0,22.742342005895686,22.707112992988566,22.774377205974936,0.12546673978241252,0.10264456683555157,0.14886360105465,-3.6330585919629983
J0859.3-4342,J085926.2-434527,265.1456750750602,1.4482236853764,YSO,3.858035024594593,21.805209905500178,,0.984700813428226,1,1035.2710361181,2.29389984278586e-13,2.691960956207999,2.5320282873825866,2.852785362165468,0.0,0.4443622726616399,0.4050222184349778,0.4899730285810573,-0.3914381451131668,22.607842611967712,22.57477482328373,22.642051109059068,-0.058968707764950334,-0.07434505320354788,-0.04253228911079798,-3.5658045017992683
J0058.3-4603,J005806.2-460419,299.3772577039924,-71.0102804535453,AGN,0.498918818821785,20.163741608469724,,0.47279335457771,1,76.804787078292,2.269985789340516e-13,2.956404535840229,2.432869765195499,3.550873147872944,-2.45456627923697,0.1827345678202665,0.126889060613232,0.2541413089085977,0.0,20.491154430323927,19.585971287918277,21.070556257610725,-0.39530479270919855,-0.4476611825901677,-0.3432389623071046,-4.151075062371417
J1740.6-2808,J174042.0-280724,0.12360941879051701,1.3463860943434391,CV,0.6571188429025558,21.856063383264754,1.0,1.0,2,430.555011236809,2.174010951230373e-13,0.2714173074887132,0.05231220187580727,0.5108910991817601,0.0,1.3931499688419064,1.2745587089728545,1.4557850353723985,-4.619058358628696,22.126097236754976,21.940654104558945,22.26419974290764,0.4195463203975143,0.3517256341567632,0.49406188597084766,-0.448973606650599
J0859.2-4729,J085902.1-473016,267.9297222301118,-1.060681839175818,YSO,3.467789689031733,21.865582411291125,,0.63005896630892,1,1125.3998680349,1.6677903603281302e-13,2.45244186477686,2.3175633902956827,2.5833260098822866,-0.6113752237616678,0.49008226331568205,0.4529995796343893,0.5393624754181361,0.0,22.394061113502683,22.364881524783,22.420854185662783,-0.06185555771406426,-0.07473057759220003,-0.048419048271233674,-2.9875679097752834
