name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J033532.7-072741,,acisfJ0335326m073151_001,5628,0,4,0.52181293575591,0.9623907512900189,0.907445072815822,96.396306986997,1.1271869260878e-13,9.8786122737424e-14,1.2583169954652e-13,84.405025801388,107.6822186911
2CXO J085853.9-473051,152.836,acisfJ0859206m473014_001,2556,0,149,0.55410219948897,0.9942830456555368,0.972439895499378,706.85297905051,1.0441871708553e-13,9.9860056200246e-14,1.0897737797081e-13,676.02920055684,737.67675754419
2CXO J103143.2+573252,19.6684,acisfJ1032042p573715_001,3345,0,10,0.075964591454061,0.35582982621918,0.15013482699220004,396.73850379986,1.0486965656152e-13,9.8475765690234e-14,1.112635474328e-13,372.66784209099,420.80916550873
2CXO J085903.6-473040,316.033,acisfJ0859206m473014_001,2556,0,170,0.97240471551965,0.999490712168416,0.994086331188896,517.49076664279,1.0016374393889e-13,9.4624008611514e-14,1.0537761248231e-13,488.80326124129,544.49077172655
2CXO J205824.0+435354,45.7685,acisfJ2058161p435337_001,14545,0,26,0.99999999988544,0.9999999984108662,0.9999999992327584,368.89193821771,9.9080167764219e-14,9.2611985558507e-14,1.0516786866371e-13,344.66557478994,391.69322144384
2CXO J184441.8-030551,43.9585,acisfJ1844459m030500_001,8163,0,2,0.5103151060869,0.36830904786042995,0.5170301946585,4.7921790547692,1.717970837859e-14,7.5792831082015e-15,2.6780133648979e-14,2.1141966418099,7.4701614677284
2CXO J184441.8-030551,43.9585,acisfJ1844397m030422_001,11801,0,7,0.99028343475502,0.921370500774797,0.9166469170350731,657.97131871052,3.738861243658e-13,3.5557629167431e-13,3.9111890807543e-13,626.9350975779,689.00753984314
2CXO J184441.8-030551,43.9585,hrcfJ1844537m025628_001,1964,4,8,,,,,,,,,
2CXO J184441.8-030551,43.9585,acisfJ1844395m030628_001,11232,0,11,0.10637220757868,0.64861496089268,0.25990383352167,200.32170309992,9.8582194005007e-14,9.0117906759971e-14,1.0704648125004e-13,183.13522354805,217.5081826518
2CXO J184441.8-030551,43.9585,acisfJ1844527m025656_001,3897,0,17,0.45572678949425,0.6710533264567,0.36001669903069,68.923495886756,1.2819952002097e-13,1.0836608975976e-13,1.4803295028218e-13,58.348469785808,79.498521987703
2CXO J184441.8-030551,43.9585,acisfJ1844500m025814_001,7581,0,102,,,,0.0,0.0,0.0,3.6551539578908e-14,0.0,9.1559665265748
2CXO J184441.8-030551,43.9585,acisfJ1844550m025507_001,7578,0,112,,,,0.0,0.0,0.0,2.0842837072722e-14,0.0,9.0817956997308
2CXO J184441.8-030551,43.9585,acisfJ1844552m025836_001,7582,0,123,,,,0.0,0.0,0.0,2.9034626232025e-14,0.0,6.9807288056083
2CXO J181920.3-203952,,acisfJ1819055m205227_001,2535,0,182,0.25980885344838,0.64833852698183,0.71441505568353,113.68483801289,5.7764731670335e-14,4.9485667651148e-14,6.5556791923688e-14,99.24355189991,128.12612412588
2CXO J181920.3-203952,,acisfJ1819127m204717_001,6405,0,211,0.076984781128457,0.981380095989974,0.933167210277308,363.79859567307,9.2993395033853e-14,8.6983995747624e-14,9.9002794320082e-14,340.56095901053,387.03623233561
2CXO J172026.9-370322,,acisfJ1720523m371025_001,10520,0,12,0.17517103950471,0.01298012015748995,0.026600791584989958,21.611521475043,9.0040661766874e-14,6.6804361956068e-14,1.1327696157768e-13,15.588638441015,27.280117271775
