name,powlaw_nh,detect_stack_id,obsid,obi,region_id,var_prob_b,ks_prob_b,kp_prob_b,src_cnts_aper90_b,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b
2CXO J143542.6+333404,,acisfJ1435339p333952_001,4235,1,4,0.28106684135659,0.09386089038845002,0.07902801183403996,31.080213231562,7.1956202029294e-14,5.5740719881848e-14,8.7158216542525e-14,24.076221517407,37.646455463582
2CXO J063554.8-800814,54.0152,acisfJ0638293m801452_001,14925,0,27,0.064166163226572,0.20615881119205004,0.52233435119856,185.97353857829,6.8991596788489e-14,6.2439291132414e-14,7.5543902444564e-14,169.33287641451,202.61420074207
2CXO J085926.8-434933,242.59,acisfJ0859271m434510_001,6433,0,6,1.0,0.9999995902334106,1.0,247.77010750137,6.880346049496e-14,6.3670552697623e-14,7.3936368292298e-14,229.29620629132,266.24400871142
2CXO J150237.4+015813,,acisfJ1502328p015551_001,11329,0,9,0.10013007043514,0.21601549798942,0.19944445040547,68.845073437076,7.3172795043257e-14,6.2422385422051e-14,8.329082762792e-14,59.071646291438,78.618500582714
2CXO J103202.9+573208,8.49212e-05,acisfJ1032042p573715_001,3345,0,6,0.078345585900247,0.12880193167121,0.35759113681725996,231.85933421135,6.4685095134597e-14,5.9456771329951e-14,6.9586648701452e-14,213.19748780564,250.52118061707
2CXO J143513.2+333118,,acisfJ1434415p332806_001,4247,1,8,0.54066264411094,0.62993357150603,0.17698012563054,11.504444927677,2.4867063862713e-14,1.5732224076411e-14,3.3494412549777e-14,7.3628447537131,15.415956203087
2CXO J143513.2+333118,,acisfJ1434415p332806_001,7011,0,8,0.2719175196075,0.5154148393414599,0.57650630327803,108.89986460595,2.324320257179e-13,2.0607482963359e-13,2.5878922180221e-13,96.59595484978,121.20377436212
2CXO J063719.7-801230,,acisfJ0638293m801452_001,14925,0,22,0.90551437884127,0.9901947685821244,0.962033156405288,115.03594975388,4.8088410741561e-14,4.2507706418998e-14,5.3340838339267e-14,101.64022918014,127.64368676447
2CXO J073733.4+653307,7.87039,acisfJ0737190p653619_001,4628,0,14,0.093715896449361,0.11183274945555999,0.32210744575477,317.09146630486,4.4285995192596e-14,4.124778565843e-14,4.7324204726761e-14,295.64543084401,338.5375017657
2CXO J073733.4+653307,7.87039,acisfJ0737190p653619_001,4629,0,14,0.044171693932259,0.53435031159055,0.51243596357025,386.41336498326,5.6000271072721e-14,5.2529444185875e-14,5.9471097959568e-14,362.6789432431,410.14778672341
2CXO J073733.4+653307,7.87039,acisfJ0737190p653619_001,4630,0,14,0.056135803117332,0.64309948611362,0.65795743205166,335.13460260131,4.5533523186398e-14,4.2466226024401e-14,4.8600820348395e-14,312.82993287431,357.4392723283
2CXO J073733.4+653307,7.87039,hrcfJ0736238p653537_001,2937,1,32,,,,,,,,,
2CXO J183659.8-235129,,acisfJ1836243m235242_001,5437,0,21,0.44083381375507,0.80611346441299,0.977598951541934,42.13935853303,4.2119001176036e-14,3.3600551499983e-14,5.0164203647863e-14,33.804100801222,50.011546390849
2CXO J184337.6-322514,4.25237,acisfJ1843137m321742_001,8958,0,2,0.24816675850121,0.53079592459395,0.71310406193975,28.032615433692,3.4157430989149e-14,2.4638146942993e-14,4.3116757150237e-14,21.393311778344,34.67191908904
2CXO J184337.6-322514,4.25237,acisfJ1843137m321742_001,9955,1,2,0.12010777178924,0.83779186823952,0.952610761361432,239.08199789428,4.7068224580084e-14,4.292363638304e-14,5.1212812777129e-14,219.53762630814,258.62636948042
2CXO J143551.5+333909,,acisfJ1435339p333952_001,4235,1,2,0.47514242414058,0.40091784283586995,0.40457679390261003,24.803497363588,4.5504881528675e-14,3.4473395097481e-14,5.6536367959868e-14,18.790528305749,30.816466421428
2CXO J143551.5+333909,,acisfJ1435403p334146_001,7772,0,2,0.1555211002154,0.04004014112462995,0.13971425108081004,43.992682834588,3.6461371463585e-14,2.9886278524444e-14,4.3036464402725e-14,36.075131547634,51.910234121541
2CXO J150234.5+015205,5.4032e-05,acisfJ1502328p015551_001,11329,0,1,0.68899002375649,0.935033416770618,0.973290906263413,37.004838538687,3.6675417937634e-14,2.9257917680584e-14,4.368083484707e-14,29.520713890413,44.073178484279
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,12951,0,396,,,,161.68876773312,6.6310204666653e-14,4.4206803111102e-14,8.7408906151497e-14,128.98766864103,192.57313909788
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,12952,0,396,0.52666874418526,0.966219667331531,0.965001378179086,225.74169389467,8.5275088965775e-14,6.9344577840301e-14,1.0120560009125e-13,184.02855480544,267.45483298391
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,12953,0,396,,,,61.231410888165,1.7862629178249e-13,1.3893156027527e-13,2.183210232897e-13,41.448955062758,81.013866713572
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,13246,0,396,,,,76.835963872435,8.3667068075629e-14,5.5348983496185e-14,1.1198515265507e-13,53.107210323595,100.56471742128
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,13247,0,396,0.077246691513535,0.77770010681935,0.7678920800382301,100.68158306755,1.7027160176748e-13,1.3421408609907e-13,2.0632911743589e-13,77.352923576286,122.78241837506
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,13253,0,396,,,,256.44271887994,1.2960175169289e-13,1.1063130807173e-13,1.4745628686575e-13,217.15078596811,293.42336162049
2CXO J150234.5+015205,5.4032e-05,acisfJ1501079p014443_001,13255,0,396,,,,54.416234958972,1.2566030480382e-13,9.1698060262244e-14,1.5962254934539e-13,32.458806817632,76.373663100312
2CXO J125730.0+272612,,acisfJ1257288p273028_001,12887,0,10,0.1846164810935,0.46329032294079997,0.88133468963206,80.733744399313,2.2392039672327e-14,1.9296556820976e-14,2.5487522523679e-14,69.811963233474,91.655525565151
2CXO J125730.0+272612,,acisfJ1258005p272155_001,4724,0,45,0.053829458745571,0.44693032922727005,0.44737942048399004,440.7133001265,8.417969305141e-14,7.9182065791741e-14,8.9177320311079e-14,415.11417344677,466.31242680623
2CXO J111633.3+181420,,acisfJ1116567p180623_001,2073,0,114,0.32304083122316,0.86785984361879,0.63997129421679,101.89549144433,3.1451202055291e-14,2.7267973375617e-14,3.538835845969e-14,89.530342410203,114.26064047845
2CXO J063912.8-801314,,acisfJ0638293m801452_001,14925,0,20,0.075986609172023,0.10015076701120995,0.12840186094898998,153.43644799845,3.4052381525567e-14,3.0715055994075e-14,3.738970705706e-14,138.40026985097,168.47262614593
2CXO J184443.3-030518,,acisfJ1844500m025814_001,7581,0,16,0.21755204709584,0.6256988010245901,0.49387116967271005,12.48829105021,7.3175305666302e-14,4.6438174749768e-14,9.8505219166175e-14,7.8357904628767,16.895923185578
2CXO J184443.3-030518,,acisfJ1844552m025836_001,7582,0,17,0.36359029268641,0.41586365906989,0.32409011424725,14.818656628674,7.1761997495223e-14,4.7389998345902e-14,9.6133996644544e-14,9.8791044191159,19.758208838232
2CXO J184443.3-030518,,acisfJ1844550m025507_001,7578,0,27,0.16002855095101,0.7287652365978801,0.65495517271267,21.396391189014,2.0740714350282e-13,1.4960515269056e-13,2.6180901720848e-13,15.125035150855,27.667747227173
2CXO J184443.3-030518,,acisfJ1844527m025656_001,3897,0,36,0.53644807478052,0.88163092617834,0.929475783216212,47.834141961077,1.1045356697765e-13,9.0632183650871e-14,1.3027495030442e-13,39.116796033705,56.551487888449
2CXO J184443.3-030518,,acisfJ1844395m030628_001,11232,0,82,0.61743976173349,0.37601928213688995,0.09566338513144002,35.093871317057,3.6691779866898e-14,2.9186643075942e-14,4.3779964613913e-14,27.91557945675,41.873369185125
2CXO J184443.3-030518,,acisfJ1844397m030422_001,11801,0,82,0.3913516570837,0.921052552950702,0.8624953222835701,25.56851262676,1.8654002905574e-14,1.413182038301e-14,2.3176185428137e-14,19.370085323303,31.766939930217
2CXO J184443.3-030518,,acisfJ1844459m030500_001,8163,0,93,,,,0.0,0.0,0.0,1.3743065154399e-14,0.0,2.8861750071913
2CXO J184443.3-030518,,hrcfJ1844537m025628_001,1964,4,166,,,,,,,,,
2CXO J063623.7-801259,,acisfJ0638293m801452_001,14925,0,21,0.16820743141949,0.8262379085759199,0.50863652894035,125.74532657475,3.0631640883846e-14,2.727100781301e-14,3.3992273954682e-14,112.29783026058,139.19282288891
2CXO J064013.0-801724,,acisfJ0638293m801452_001,14925,0,6,0.60604127718146,0.7965095515251099,0.983399949513113,108.5942978535,3.2858480377199e-14,2.8994518542025e-14,3.6722442212373e-14,96.151308986731,121.03728672028
2CXO J143550.3+333338,,acisfJ1435339p333952_001,4235,1,10,0.38664401368678,0.7442599557906999,0.46506804561225,9.6157335946337,3.0842055964559e-14,1.903020474409e-14,4.2653907185029e-14,6.009833496646,13.221633692621
2CXO J143550.3+333338,,acisfJ1435403p334146_001,7772,0,11,0.11394922452466,0.78688613805382,0.49419971052531997,51.868777535338,3.3973149580138e-14,2.717851966411e-14,4.0390300056386e-14,42.997657291316,60.739897779359
2CXO J143550.3+333338,,acisfJ1437170p333952_001,4234,1,29,,,,0.0,0.0,0.0,8.3461989310028e-14,0.0,18.145728532888
2CXO J110823.6+091239,,acisfJ1108578p090912_001,5009,1,36,0.92754290533424,0.20934776065440996,0.16022587407273003,70.057018573196,2.5167499894645e-14,2.0465879035206e-14,2.9592554821176e-14,59.147884242202,80.96615290419
2CXO J103302.5+572833,26.3847,acisfJ1033202p573715_001,1699,1,1,0.49444418005972,0.957636274392227,0.9875516246552,135.81824632209,2.9934341446174e-14,2.6402747814874e-14,3.3465935077474e-14,120.62090999566,151.01558264852
2CXO J103302.5+572833,26.3847,acisfJ1034003p572815_001,3346,0,15,0.085399359941262,0.48765423323192003,0.29737272439845996,100.90934416852,2.7700225450747e-14,2.4214409305904e-14,3.1186041595591e-14,88.895521063197,112.92316727385
