weight logl src1.lognorm src2.lognorm src1.logkT src1.lognH
0.000000000000000000e+00 -2.523921384040930867e+07 7.876488931113663217e-01 9.914656588403831794e-01 9.207244517635654324e-01 5.845453962039248719e-02
0.000000000000000000e+00 -2.504883911041891575e+07 5.104269869122768366e-02 9.567688450436309111e-01 9.847151815053072355e-01 1.616244343928067151e-01
0.000000000000000000e+00 -2.128083869477480650e+07 9.006807042905863314e-01 9.941407267239654733e-01 8.972133724284481193e-01 2.268960978136458362e-02
0.000000000000000000e+00 -1.675259278895710222e+07 4.175991052394861791e-01 9.370688159950757434e-01 9.903468016089204129e-01 2.922309165563716782e-01
0.000000000000000000e+00 -1.188440568228896335e+07 3.025516994259136450e-01 9.645532221764130387e-01 9.119775948456694259e-01 1.920880940549835048e-01
0.000000000000000000e+00 -8.654591168198468164e+06 9.989267395731452615e-01 5.319703580502870288e-01 8.428809420501712779e-01 2.884205224193447936e-02
0.000000000000000000e+00 -8.089475489140010439e+06 1.468367956353562320e-01 9.359648179876420837e-01 9.336376438960097834e-01 3.145157059243830489e-01
0.000000000000000000e+00 -6.297194621010152623e+06 1.242586047512952430e-01 9.173284410018025525e-01 9.460361899546723130e-01 2.217400226303991584e-01
0.000000000000000000e+00 -5.893903466569215991e+06 9.378886602698879305e-01 1.221787456777206904e-01 9.055797429093722650e-01 2.426855797714370100e-01
0.000000000000000000e+00 -3.143410109799611382e+06 6.877511376511259433e-01 9.282537125435074143e-01 8.818363079091096068e-01 3.589051729271071078e-01
0.000000000000000000e+00 -2.606957877686905675e+06 9.278225619379261158e-01 9.798031575172897467e-01 8.976429157939533887e-01 6.843039559228331070e-01
0.000000000000000000e+00 -1.373467101873697480e+06 9.007183806846781327e-01 1.059784933924504680e-01 8.672428789956996287e-01 2.338449921408780607e-01
0.000000000000000000e+00 -1.366546018432951765e+06 2.494910987202439978e-01 8.393678680496174938e-01 9.674985820311007290e-01 1.866857324868606005e-01
