src1.lognorm src2.lognorm src1.logkT src1.lognH
-3.256547195993775290e-02 -1.033283744042912566e+00 -5.330717346758064856e-01 1.946191263168084262e+01
7.608916212449656769e-02 -9.398328316548347772e-01 -5.534987757627067850e-01 1.914035004783097449e+01
-6.982543402531504739e-02 -1.061595098706413332e+00 -5.239350355903233947e-01 1.949667281045688227e+01
-5.255194655231854028e-02 -1.103994601258230901e+00 -5.199410639546706570e-01 1.929521286308413508e+01
-1.684903597964755306e-01 -1.096328968475452470e+00 -5.042545755935008422e-01 1.964484982555954673e+01
2.165621466737377432e-03 -1.083708055459291053e+00 -5.316837188169873940e-01 1.953644244354739357e+01
-4.177533084207141201e-02 -1.203158954727594931e+00 -5.178520812680407204e-01 1.930273165922535128e+01
-1.706629354811717292e-01 -1.235470329338651752e+00 -4.956196647719148807e-01 1.914804307353124813e+01
-6.537710426352205673e-03 -1.026052515660024866e+00 -5.360958925127174979e-01 1.945736973934690184e+01
-1.518773816930796272e-01 -1.204868579810336904e+00 -5.022218959985562670e-01 1.966632264300060839e+01
8.629098939999479967e-02 -8.401177369952250729e-01 -5.605648071116227094e-01 2.020504774976889450e+01
4.351809505740433792e-03 -1.021982636798028921e+00 -5.424682488476997300e-01 1.974022035183591584e+01
-4.543290558661805534e-02 -1.011745983490165202e+00 -5.238658132171511994e-01 1.939448506756525958e+01
-1.888640364959783824e-01 -1.277442981480191087e+00 -5.029563344586533979e-01 1.951047673724732689e+01
3.391818491556009008e-03 -1.014740294074184312e+00 -5.474314021510813255e-01 1.976320196757673742e+01
-1.196278693939003546e-01 -1.220368040845132285e+00 -5.049251130347394145e-01 1.908209060643598320e+01
1.059929759119491166e-01 -8.965112864323172559e-01 -5.709140244187560498e-01 1.963906285633634852e+01
1.693757657909777947e-01 -8.586471229166301455e-01 -5.824587866051529339e-01 2.016100261149849970e+01
-1.096455798351865241e-01 -1.045833765288640471e+00 -5.202699586910743967e-01 2.036519669431694624e+01
-1.088951228861496645e-01 -1.046640331017762549e+00 -5.212043407453008648e-01 1.940118662271904526e+01
-1.018315120027342147e-01 -1.123501330116287278e+00 -5.160159268634854079e-01 1.930252009232453503e+01
-1.462267127511349685e-01 -1.114850271038676510e+00 -4.971030034388155272e-01 2.009190408062752553e+01
-1.883881108900098411e-02 -1.185784883744171125e+00 -5.242607371413634532e-01 1.957535965784391152e+01
-1.368029512139408155e-01 -1.121814118628430279e+00 -5.147103799007481939e-01 1.971843287072945117e+01
7.812186850051361375e-02 -9.155067239942642487e-01 -5.583243986657695501e-01 1.902648543215855526e+01
-1.261382288841046417e-01 -1.089685266637014038e+00 -5.165170270576897593e-01 1.990848609186052798e+01
9.270503377810968004e-02 -9.802443348591687311e-01 -5.706500138840167047e-01 1.970987101039331790e+01
-1.412922739098387837e-01 -1.087837531355212661e+00 -5.098756195786386947e-01 1.937717592507072339e+01
-7.454562858220903365e-02 -1.045167303196746111e+00 -5.326651835402658186e-01 1.972595775165522625e+01
-9.112336029776102464e-02 -1.051525147352995404e+00 -5.198176733746686651e-01 1.974990971420307417e+01
-2.161952562011304479e-01 -1.295510784297922768e+00 -4.909923492685921431e-01 1.936280320375973218e+01
1.409454275457466821e-01 -8.938658615111361172e-01 -5.707187020717499060e-01 1.924799062103586778e+01
6.554830160423108509e-02 -9.529638922385217370e-01 -5.572223408980523374e-01 1.919629999725052016e+01
8.323913708834318470e-02 -8.625933005562140821e-01 -5.594314340680224262e-01 2.015402832891449592e+01
6.040984235071888975e-02 -9.339784070050631826e-01 -5.528525003858728581e-01 1.905326455424634347e+01
-2.460942315168388461e-01 -1.265930111496816224e+00 -4.843504264938154336e-01 1.917637450365736385e+01
1.090176017945818643e-01 -9.447557848981098516e-01 -5.625130278670193995e-01 1.909437259406480081e+01
-7.300651662522028573e-03 -9.850665512898935106e-01 -5.398770017165808177e-01 1.968217160548034173e+01
-1.050690258876425531e-01 -1.210610851932099052e+00 -5.064978899306411542e-01 1.920986590909847891e+01
-1.427582662941615510e-01 -1.169447784291735459e+00 -4.996903326168449233e-01 1.920801772883057978e+01
-1.907651101287353157e-01 -1.246185123178988441e+00 -4.956946485663058510e-01 1.909914690471231680e+01
-8.958850753902058983e-02 -1.114194760697901465e+00 -5.194972991096458159e-01 1.910419214561706980e+01
7.016376830074833038e-02 -9.387916475509712200e-01 -5.593152021746128355e-01 1.964707357234333074e+01
-1.238739365156780181e-01 -1.147261828267127193e+00 -5.019856265098168180e-01 1.909807973635140144e+01
-1.662698592151299337e-01 -1.069267693363110894e+00 -5.065466457607414874e-01 1.933996881673177626e+01
-8.394786641799978355e-02 -1.064547774575078876e+00 -5.246009972241378883e-01 1.927552588077077189e+01
-1.521076525553954895e-02 -1.049490807724341224e+00 -5.353432777406736953e-01 1.928891714049900941e+01
-1.202114600435582048e-01 -1.095650819286259292e+00 -5.133306284151077925e-01 2.018935350612936830e+01
-7.441114644569779557e-02 -1.027762067683759106e+00 -5.322959349548255226e-01 1.903850660678718398e+01
-4.655875716867363678e-02 -1.004930332269408311e+00 -5.395454100696759347e-01 1.933339216251246739e+01
1.179096501587082457e-01 -8.339291681080078789e-01 -5.683612562658986178e-01 1.943940423642048287e+01
-5.062017529644613489e-02 -1.089675109439960821e+00 -5.228385281861518408e-01 1.931792201439073864e+01
-2.728335305014262246e-03 -1.053661229490987061e+00 -5.379392213630564967e-01 1.985087869930043425e+01
-1.670197283090262275e-01 -1.138744129206169298e+00 -5.102612524140486272e-01 1.921482496398279949e+01
-7.729653504085920446e-02 -1.105582267544796160e+00 -5.284343988882658216e-01 1.910180632942432055e+01
-2.382645347553360438e-01 -1.277313496304133267e+00 -4.822365991611046177e-01 1.956194119737246240e+01
-1.287566133967210646e-02 -9.094958465386797641e-01 -5.421234500924083655e-01 1.939890050424068235e+01
3.457644947607363406e-03 -9.986300519512631979e-01 -5.490767606589237460e-01 1.946030556246941146e+01
-1.720693989021535586e-01 -1.195688236309948138e+00 -4.947871719705414506e-01 2.018473756882229253e+01
-6.509756491528406741e-03 -9.907317501163266371e-01 -5.431009281257663801e-01 1.906322288844566515e+01
1.041984376990434669e-02 -1.117670727054457913e+00 -5.334412152999448153e-01 1.928549836369265336e+01
2.173922272329242844e-02 -9.238429904572083018e-01 -5.529665295858130492e-01 1.901514183522376200e+01
-2.059765479493522733e-01 -1.231723197943976444e+00 -5.002591513638985354e-01 1.917196405466466658e+01
-7.209249661524808062e-03 -1.005786645159941095e+00 -5.361368091612268572e-01 1.953410346967036304e+01
-1.157858572235044292e-01 -1.029930599021230186e+00 -5.280222326452310710e-01 2.001849251906914873e+01
-1.222392458179388797e-02 -1.011752144033029488e+00 -5.493422109265431175e-01 1.901661080450210051e+01
-7.436788895302814950e-02 -1.030143285398796849e+00 -5.248475391662443812e-01 1.950813568144133114e+01
-6.805805520332697256e-02 -1.016763477559569750e+00 -5.267693961967787608e-01 1.904665971001896807e+01
-2.173850017662797285e-01 -1.163443618066247076e+00 -4.838691602641485012e-01 1.914147939996841785e+01
-2.041973707522082293e-01 -1.146325632179226339e+00 -4.992284200227636859e-01 1.969701417705233482e+01
-2.987642144034374780e-02 -1.037206460113296203e+00 -5.387484051214341818e-01 1.950411528581919640e+01
-2.942277922505303067e-01 -1.306350880072436382e+00 -4.752911941401984919e-01 1.948382152978259541e+01
-3.996187587761301785e-02 -1.104225467358141088e+00 -5.253381754614179222e-01 1.919167470818436882e+01
-1.219115520125422236e-01 -1.243308952320215433e+00 -5.131718175026422912e-01 1.968153508722024725e+01
-6.586058053784427102e-03 -1.081721864946800338e+00 -5.405228595357054466e-01 1.923655327422457972e+01
1.099952233631888987e-01 -9.395261083366239774e-01 -5.729055803333249486e-01 1.931051066588478449e+01
4.956890262536539637e-02 -9.682521889301316520e-01 -5.543461445794704012e-01 1.920859774782906015e+01
2.475158471472838073e-03 -1.027928857261362516e+00 -5.389283982189301270e-01 1.926081988883138862e+01
-5.119003187337689553e-02 -9.951709933958339249e-01 -5.301567847886552443e-01 1.968761017942824409e+01
2.165621466737377432e-03 -1.083708055459291053e+00 -5.316837188169873940e-01 1.953644244354739357e+01
-9.456263599755487803e-02 -1.077672917264026253e+00 -5.167815815687437642e-01 1.913071116827765650e+01
-1.115421373811402717e-01 -1.110594055471461061e+00 -5.191940817181683876e-01 1.949720653645140089e+01
3.145379529216008052e-02 -9.761948031972043083e-01 -5.508682184526629833e-01 1.940291559477034511e+01
