logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.449012653845201492e+09 -1.449012659837915897e+09 nan
-1.449012659837915897e+09 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.252670627130275965e+09 -1.252670633125490189e+09 nan
-1.252670633125490189e+09 nan -5.000000000000000104e-03 4.000000000000000000e+02 -8.614795661496869326e+08 -8.614795721474012136e+08 nan
-8.614795721474012136e+08 1.081194975405444801e+08 -7.499999999999999722e-03 4.000000000000000000e+02 -7.084742849896624088e+08 -7.084742909898767471e+08 nan
-7.084742909898767471e+08 7.212738158484187722e+07 -1.000000000000000021e-02 4.000000000000000000e+02 -5.980550074992721081e+08 -5.980550135019863844e+08 nan
-5.980550135019863844e+08 7.865259505487950146e+07 -1.250000000000000069e-02 4.000000000000000000e+02 -5.789511557392066717e+08 -5.789511617444210052e+08 nan
-5.789511617444210052e+08 8.008033446271584928e+07 -1.500000000000000118e-02 4.000000000000000000e+02 -5.277425385363876224e+08 -5.277425445441018939e+08 nan
-5.277425445441018939e+08 5.230593844764187932e+07 -1.750000000000000167e-02 4.000000000000000000e+02 -3.747699795020523071e+08 -3.747699855122665763e+08 nan
-3.747699855122665763e+08 1.016791612763126343e+08 -2.000000000000000042e-02 4.000000000000000000e+02 -3.536479415643340349e+08 -3.536479475770483017e+08 nan
-3.536479475770483017e+08 9.689616889733348787e+07 -2.249999999999999917e-02 4.000000000000000000e+02 -2.646414927053535879e+08 -2.646414987205678821e+08 nan
-2.646414987205678821e+08 3.735624796247087419e+07 -2.499999999999999792e-02 4.000000000000000000e+02 -2.534362774107382596e+08 -2.534362834284525514e+08 nan
-2.534362834284525514e+08 3.256823208728264645e+07 -2.749999999999999667e-02 4.000000000000000000e+02 -2.412178235154587626e+08 -2.412178295356730521e+08 nan
-2.412178295356730521e+08 3.618044899722945690e+07 -2.999999999999999542e-02 4.000000000000000000e+02 -1.300074907673126906e+08 -1.300074967900269777e+08 nan
-1.300074967900269777e+08 4.379349637082675099e+07 -3.249999999999999417e-02 4.000000000000000000e+02 -1.256099690270795375e+08 -1.256099750522938222e+08 nan
-1.256099750522938222e+08 1.215410692344355863e+06 -3.499999999999999639e-02 4.000000000000000000e+02 -1.057890532097194791e+08 -1.057890592374337614e+08 nan
-1.057890592374337614e+08 1.026841343659187667e+07 -3.749999999999999861e-02 4.000000000000000000e+02 -9.878287493564519286e+07 -9.878288096585947275e+07 nan
-9.878288096585947275e+07 1.049174481358198263e+07 -4.000000000000000083e-02 4.000000000000000000e+02 -9.521421613405533135e+07 -9.521422216676962376e+07 nan
-9.521422216676962376e+07 3.045631071880823933e+06 -4.250000000000000305e-02 4.000000000000000000e+02 -9.039341651928207278e+07 -9.039342255449636281e+07 nan
-9.039342255449636281e+07 3.126566214316635393e+06 -4.500000000000000527e-02 4.000000000000000000e+02 -7.088897035578766465e+07 -7.088897639350195229e+07 nan
-7.088897639350195229e+07 8.445673402267159894e+06 -4.750000000000000749e-02 4.000000000000000000e+02 -6.713772364220246673e+07 -6.713772968241675198e+07 nan
-6.713772968241675198e+07 6.292354327560131438e+06 -5.000000000000000971e-02 4.000000000000000000e+02 -6.494950836199313402e+07 -6.494951440470742434e+07 nan
-6.494951440470742434e+07 2.125931468380325008e+06 -5.250000000000001193e-02 4.000000000000000000e+02 -5.536951850945061445e+07 -5.536952455466490239e+07 nan
-5.536952455466490239e+07 5.862951428574130870e+06 -5.500000000000001416e-02 4.000000000000000000e+02 -4.988629795543880016e+07 -4.988630400315308571e+07 nan
-4.988630400315308571e+07 7.126107478881114163e+06 -5.750000000000001638e-02 4.000000000000000000e+02 -4.930476592457813770e+07 -4.930477197479242086e+07 nan
-4.930477197479242086e+07 1.639783576657227473e+06 -6.000000000000001860e-02 4.000000000000000000e+02 -4.211042653098383546e+07 -4.211043258369812369e+07 nan
-4.211043258369812369e+07 3.202111982391012367e+06 -6.250000000000001388e-02 4.000000000000000000e+02 -3.718911953882803023e+07 -3.718912559404231608e+07 nan
-3.718912559404231608e+07 3.644531524353463203e+06 -6.500000000000001610e-02 4.000000000000000000e+02 -3.377948930411104858e+07 -3.377949536182533205e+07 nan
-3.377949536182533205e+07 3.295841973571237642e+06 -6.750000000000001832e-02 4.000000000000000000e+02 -3.187316258836365491e+07 -3.187316864857794344e+07 nan
-3.187316864857794344e+07 3.601457961017271504e+06 -7.000000000000002054e-02 4.000000000000000000e+02 -3.150301680874977633e+07 -3.150302287146406248e+07 nan
