weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -2.718621644858379822e+11 1.872535912601227537e+00 -3.819288074891566964e-01 -1.811942345054212922e+00 -2.859847378902253823e+00 2.110449062437419698e+01
0.000000000000000000e+00 -2.545604837068024902e+11 1.976444290767684464e+00 1.272078795280718211e+00 -1.315147434390340209e+00 -2.584436259255832979e+00 2.231722290503043382e+01
0.000000000000000000e+00 -8.152528986303340149e+10 1.658576114566505666e+00 1.069305651316394545e+00 7.045959020297942743e-02 -2.263291106325946878e+00 2.173585226447670493e+01
0.000000000000000000e+00 -4.138054135977691650e+10 5.642136556696826233e-01 -4.817532488204513186e+00 1.139998457011198951e+00 -2.993713572156446290e+00 2.023250808150637070e+01
0.000000000000000000e+00 -3.555909911584482574e+10 -7.617094569133724846e+00 1.399270889181272182e+00 -1.335125268294579115e-01 -2.171244341901340302e+00 2.148703913045875424e+01
0.000000000000000000e+00 -2.381779847627986526e+10 1.934493105705165306e+00 -4.809054973841879743e-01 -2.843389673859572753e+00 -1.193416527474348232e+00 1.966258571052936333e+01
0.000000000000000000e+00 -2.220690732503126526e+10 -3.835522586736804129e+00 9.174180008160988109e-01 -1.451487008964799763e+00 -2.584723115846708552e+00 2.225137206324362893e+01
0.000000000000000000e+00 -2.040101658927282333e+10 6.798517739684974970e-01 3.633527674686760633e-01 -4.999201109396082643e+00 -2.671568309172614342e+00 1.917077155283039147e+01
0.000000000000000000e+00 -1.813704944810144424e+10 -2.359914210889881403e+00 1.020471357159914660e+00 1.857608849458042499e+00 -1.657467748641047844e+00 2.250696807529769572e+01
0.000000000000000000e+00 -1.725260370351641083e+10 -4.682957396343378598e+00 -6.256413388582485524e+00 1.916635060078974107e+00 -1.678585235567101819e+00 2.072593456860853323e+01
0.000000000000000000e+00 -1.106849770662209892e+10 1.316293869607095601e+00 -7.275487428195832607e+00 -6.794530040972235341e+00 -1.677128543233489699e+00 2.192286369342386010e+01
0.000000000000000000e+00 -1.102512909402911568e+10 6.654494094496961054e-01 -3.764070230990524735e+00 -6.732390407432437662e+00 -2.606811512495532668e+00 2.149268820094005505e+01
0.000000000000000000e+00 -1.079612945666035080e+10 -1.940531446613749544e+00 -1.762833899539224980e+00 1.988034000744775653e+00 9.103694109703528881e+00 1.934532981277451213e+01
0.000000000000000000e+00 -8.634595055904632568e+09 5.917788795162906013e-01 6.897161614347968595e-01 -3.576141905066512194e+00 -1.984241124633962627e+00 2.055067493072127860e+01
0.000000000000000000e+00 -7.024137681629410744e+09 -9.505017913887687797e-01 1.507333957857689199e+00 -7.378975564452243674e+00 9.904671417689822732e+00 2.002471036948113081e+01
0.000000000000000000e+00 -6.920186011325187683e+09 1.893077861403977380e+00 -4.449474337327496087e+00 1.831438117355293826e+00 -1.160893122345840744e-01 2.004488301505980630e+01
0.000000000000000000e+00 -6.101658790727699280e+09 8.315931736199875246e-01 1.851330007110313147e+00 -3.943462072202646773e+00 -2.676001903325819775e-01 2.163016888099017265e+01
0.000000000000000000e+00 -5.847953286347686768e+09 1.976320088136215958e+00 -4.154758191969894376e+00 -2.412677662855164940e-01 -1.265105062844319672e+00 2.380335371460561333e+01
0.000000000000000000e+00 -5.651289953544584274e+09 -7.905373097912931968e+00 -6.530029740381744219e-01 1.852427240653717888e+00 -1.015544669379038645e+00 2.016411100268389944e+01
0.000000000000000000e+00 -4.983675454392875671e+09 -7.827808807472453445e+00 9.628899229522502878e-01 1.076028201125970085e+00 -1.338043944325622459e+00 1.966324029213353697e+01
0.000000000000000000e+00 -4.301789080391824722e+09 -6.934528690068798795e+00 8.681880161734270018e-01 -5.571935083466815541e+00 -1.955237398957514250e+00 2.330457976279921084e+01
0.000000000000000000e+00 -3.489726861623924255e+09 5.276583831029277860e-01 2.718212692813004594e-02 -6.626583143662200470e+00 -1.875237816004913682e+00 2.069082367338568318e+01
0.000000000000000000e+00 -3.349877987955030441e+09 1.271694449176560937e+00 -1.126693715110158145e+00 1.491134882801079087e+00 -2.161201001636220198e+00 2.412320361164778504e+01
0.000000000000000000e+00 -3.156815044473387718e+09 -4.374950741334640014e-01 6.887394413867848897e-01 -3.564182514303286808e+00 -1.660662003936133724e+00 2.172165040506203582e+01
0.000000000000000000e+00 -2.366476133946369648e+09 1.756031565870808109e+00 -2.841193163762847362e+00 -5.965379504245227338e-02 -4.728370499136160809e-01 2.329000191763212513e+01
0.000000000000000000e+00 -2.138964712561815500e+09 -5.980724695892856602e+00 1.363524956298157065e+00 -5.979634983199009213e-01 -7.006129840382042673e-01 2.295753632149224899e+01
0.000000000000000000e+00 -2.080818613442284107e+09 -5.147680407111831613e+00 -3.304492551290625357e-01 -2.269440657589407273e+00 -2.851791736242292874e+00 2.143070909060523022e+01
0.000000000000000000e+00 -1.915735628162152529e+09 6.598027889589079820e-01 -4.246352442039389885e+00 -5.387384294408571250e+00 -1.481030117573519878e+00 1.967262006448645906e+01
0.000000000000000000e+00 -1.696308947715243578e+09 -1.271502945709617194e-01 -1.256458450419843942e-01 -2.747397779040806398e+00 -2.079623550187332803e+00 1.993770665432904821e+01
