weight logl src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -2.718621644858379822e+11 9.872535912601226871e-01 7.618071192510843526e-01 6.188057654945786634e-01 1.078097085367279995e-02 3.006415177677422834e-01
0.000000000000000000e+00 -2.545604837068024902e+11 9.976444290767684242e-01 9.272078795280718211e-01 6.684852565609660235e-01 3.196644159570516397e-02 4.738889864329189905e-01
0.000000000000000000e+00 -8.152528986303340149e+10 9.658576114566506110e-01 9.069305651316394989e-01 8.070459590202978539e-01 5.666991489800410342e-02 3.908360377823865139e-01
0.000000000000000000e+00 -4.138054135977691650e+10 8.564213655669682401e-01 3.182467511795487036e-01 9.139998457011199173e-01 4.835713725810375507e-04 1.760725830723385288e-01
0.000000000000000000e+00 -3.555909911584482574e+10 3.829054308662749317e-02 9.399270889181271516e-01 7.866487473170542533e-01 6.375043523835843828e-02 3.552913043512503366e-01
0.000000000000000000e+00 -2.381779847627986526e+10 9.934493105705165528e-01 7.519094502615811804e-01 5.156610326140427247e-01 1.389679594250501360e-01 9.465510150419453872e-02
0.000000000000000000e+00 -2.220690732503126526e+10 4.164477413263195649e-01 8.917418000816098589e-01 6.548512991035200237e-01 3.194437570409935923e-02 4.644817233205185136e-01
0.000000000000000000e+00 -2.040101658927282333e+10 8.679851773968496609e-01 8.363352767468675841e-01 3.000798890603917357e-01 2.526397621749121303e-02 2.439593611862755917e-02
0.000000000000000000e+00 -1.813704944810144424e+10 5.640085789110118597e-01 9.020471357159914882e-01 9.857608849458041611e-01 1.032717116429963111e-01 5.009954393282421981e-01
0.000000000000000000e+00 -1.725260370351641083e+10 3.317042603656621402e-01 1.743586611417514698e-01 9.916635060078973218e-01 1.016472895717613900e-01 2.465620812297903974e-01
0.000000000000000000e+00 -1.106849770662209892e+10 9.316293869607096267e-01 7.245125718041678375e-02 1.205469959027765103e-01 1.017593428281931001e-01 4.175519562034086807e-01
0.000000000000000000e+00 -1.102512909402911568e+10 8.665449409449695883e-01 4.235929769009475487e-01 1.267609592567562338e-01 3.024526826957441017e-02 3.560983144200079442e-01
0.000000000000000000e+00 -1.079612945666035080e+10 6.059468553386250234e-01 6.237166100460774798e-01 9.988034000744775431e-01 9.310533930541176062e-01 4.933283039635871781e-02
0.000000000000000000e+00 -8.634595055904632568e+09 8.591778879516289713e-01 8.689716161434796193e-01 4.423858094933488250e-01 7.813529810507979789e-02 2.215249901030399426e-01
0.000000000000000000e+00 -7.024137681629410744e+09 7.049498208611231220e-01 9.507333957857689866e-01 6.210244355477567701e-02 9.926670321299863042e-01 1.463871956401616714e-01
0.000000000000000000e+00 -6.920186011325187683e+09 9.893077861403978268e-01 3.550525662672503469e-01 9.831438117355294493e-01 2.218392836742627550e-01 1.492690021514007093e-01
0.000000000000000000e+00 -6.101658790727699280e+09 8.831593173619987081e-01 9.851330007110312703e-01 4.056537927797353449e-01 2.101846007436475317e-01 3.757384115700247440e-01
0.000000000000000000e+00 -5.847953286347686768e+09 9.976320088136215736e-01 3.845241808030105402e-01 7.758732233714483728e-01 1.334534567042831021e-01 6.861933878008021903e-01
0.000000000000000000e+00 -5.651289953544584274e+09 9.462690208706825423e-03 7.346997025961825578e-01 9.852427240653717222e-01 1.526504100477662496e-01 1.663015718119857933e-01
0.000000000000000000e+00 -4.983675454392875671e+09 1.721911925275465549e-02 8.962889922952250732e-01 9.076028201125969641e-01 1.278427735134136656e-01 9.474861316193372573e-02
0.000000000000000000e+00 -4.301789080391824722e+09 1.065471309931200761e-01 8.868188016173427224e-01 2.428064916533184681e-01 8.036635392634505770e-02 6.149399661141728979e-01
0.000000000000000000e+00 -3.489726861623924255e+09 8.527658383102928452e-01 8.027182126928130712e-01 1.373416856337799086e-01 8.652016799962203297e-02 2.415462390550977556e-01
