src1.lognorm pl1.PhoIndex src1.lognH
-5.444826900430813410e+00 1.514892272082100533e+00 2.180283948264555249e+01
-5.439876465018585350e+00 1.408607277220349729e+00 2.201983045508587367e+01
-5.570812903385595760e+00 1.545110801826664826e+00 2.166714580536559254e+01
-5.629607328684379297e+00 1.092651257624845940e+00 2.151435991738422615e+01
-5.404707710960253486e+00 1.636875766862667447e+00 2.182281281225587932e+01
-5.206031790147232385e+00 2.030999449966323311e+00 2.205618137035349946e+01
-5.135730527684144064e+00 2.147488908449375344e+00 2.207828791744010033e+01
-5.403966148715176665e+00 1.852663149476819093e+00 2.190165579054643530e+01
-5.256832395812908842e+00 1.804140038447844319e+00 2.194245701747822253e+01
-5.318636858824163482e+00 1.775881104373950414e+00 2.190461080737512489e+01
-5.249300641778967602e+00 1.906629259547325539e+00 2.195075393665245400e+01
-5.205774163665735976e+00 1.888838776085497884e+00 2.212828885516802657e+01
-5.413140258322558296e+00 1.820183709193033295e+00 2.191346205657034929e+01
-5.523447069284962652e+00 1.395183962046592008e+00 2.183940536697948076e+01
-5.540724469892721160e+00 1.479502517229956737e+00 2.168751487509451081e+01
-5.126370951054877168e+00 2.303209337758027608e+00 2.212267269126750691e+01
-5.324251002025340185e+00 1.874080624538252415e+00 2.183820804286891004e+01
-5.413579525942854076e+00 1.659716128918823586e+00 2.177974832129437743e+01
-5.345946254098686623e+00 1.788603530104913020e+00 2.191701184426642968e+01
-5.640629344489388686e+00 1.024242483987318764e+00 2.173317235292628169e+01
-5.053643541920464166e+00 2.329837976222762563e+00 2.208364854707297553e+01
-5.505611978108719384e+00 1.186716101872511864e+00 2.187569142688366952e+01
-5.237257107556771984e+00 1.970854662738355856e+00 2.215246145788383814e+01
-5.477315701087933419e+00 1.387703374564627445e+00 2.181280210722128388e+01
-5.513395020879986674e+00 1.449353280897097029e+00 2.170350855861148887e+01
-5.170671931852541370e+00 2.083745070477569072e+00 2.200465467335095227e+01
-5.524833335751866414e+00 1.242694704066218847e+00 2.178818887066154986e+01
-5.356062652897704446e+00 1.617399336048322311e+00 2.167716936536081462e+01
-5.446325493932694606e+00 1.381726796198790019e+00 2.192028862018635493e+01
-5.753862595810545599e+00 1.054260340859547895e+00 2.153513282036592003e+01
-5.250015658996225909e+00 1.616251565090847109e+00 2.197954457694339681e+01
-5.599788251239777637e+00 1.197754511234770725e+00 2.161742793355053038e+01
-5.364697867444279566e+00 1.667657197337481634e+00 2.193929069338268079e+01
-5.242715043613669579e+00 1.760513511079037308e+00 2.204207217463140367e+01
-5.679575479999091847e+00 1.101761050755718507e+00 2.130646758990519629e+01
-5.492125895633121146e+00 1.240285785875379077e+00 2.196932621639858141e+01
-5.149847682003037441e+00 2.151491672142664235e+00 2.207786530565153171e+01
-5.170849782614781454e+00 1.964322623780436317e+00 2.205596076900406999e+01
