name,Class,CT,nH_LAB,var_inter,var_intra,nobs,ncounts,fb,pl,pl_l,pl_u,log10Z_pl,mk,mk_l,mk_u,log10Z_mk,nH,nH_l,nH_u,bb,bb_l,bb_u,log10Z_bb
J033532.7-072741,AGN,2.304350114263687,20.62471946236217,,0.907445072815822,1,96.396306986997,1.1093356074614088e-13,2.209313571468239,1.98401253272742,2.4453082738287506,0.0,0.6050824199181497,0.4827011967749794,0.7761065013083525,-1.6465653508081237,19.994423667021778,19.29177512928747,20.724393332304533,-0.44408705765853446,-0.4851267588946433,-0.39965594515097047,-6.504257805299811
J103143.2+573252,AGN,30.824433394945263,19.81342191337204,,0.1501348269922,1,396.73850379986,1.07009269752431e-13,1.858175602945637,1.7068246366856719,2.0182262303066048,-0.27693824161003106,0.8618860991805904,0.7414327395421889,1.0304071262587993,0.0,21.10462188199103,20.829505899655302,21.287062192709957,-0.15747241917882837,-0.1744124476210382,-0.13901204411677387,-7.932578414852129
J184316.0-322414,NS,2.75315029836545,20.908651012797137,0.583,0.78504481377763,2,447.816936223801,8.482236585652839e-14,1.8486942186177175,1.6801560355787934,2.034635626528001,-0.8254387265841351,0.8150490822369286,0.6964707594744957,0.976397420341577,0.0,21.962089047863365,21.89364145845108,22.032695851451205,-0.028533693921702016,-0.05181663004538711,-0.007027677335089688,-6.174749433509741
J125740.2+273118,AGN,56.03920523929851,19.906189102839125,,0.96386955388487,1,313.17864973855,7.308439916427599e-14,1.957276979028526,1.8430198130535107,2.09805499660286,0.0,0.5971906613503537,0.5255592749620412,0.6877345140440064,-0.15952324478077715,20.21487727338514,19.42708222234745,20.89973732934126,-0.23042572515974105,-0.2504840701224777,-0.2102260124140632,-13.467028992575754
J143542.6+333404,AGN,427.5642472373269,19.96544478732667,0.141,0.82777243639557,1,117.43834430083,7.21221709043628e-14,2.0680761948522504,1.863413525783005,2.296803676827686,-0.118107716833146,0.5437697251766074,0.43427955540335533,0.6687675476862749,0.0,19.75983893522577,19.245176239277377,20.3822951079916,-0.3287411521984937,-0.36731594257084943,-0.2924271255108728,-4.167220158534847
J063554.8-800814,AGN,31.02719315098249,21.041128718331297,,0.52233435119856,1,185.97353857829,7.032713957462657e-14,1.6866442306906055,1.343955347610815,2.02459745251518,-1.5939659723317552,1.0293063748997286,0.7732587216663667,1.2914448564926715,-0.593853428140076,20.1134111063562,19.393422915886237,21.01238683505836,-0.041602509958283296,-0.070855055349206,-0.0097716786708113,0.0
J085926.8-434933,AGN,2.174128997079064,21.80978831302247,,1.0,1,247.77010750137,6.912699319512407e-14,1.917401336511772,1.5861447431429532,2.2515789929183736,-0.7197321767269391,0.8018331085365817,0.6115317480143785,1.1126003681250562,0.0,22.560830292675977,22.48137304031638,22.63559878618525,0.0799042208015992,0.038531490537471846,0.1251225721783804,-1.8205373512936538
J150237.4+015813,AGN,73.87914109960245,20.62781698858218,,0.19944445040547,1,68.845073437076,6.906456100309275e-14,1.6448036122795893,1.4033016321918204,1.9386186057116888,-0.5844178201243119,0.9623093001837619,0.6984444662070004,1.27604166933157,0.0,19.954119744067164,19.3122806796934,20.605689298728954,-0.213324214745966,-0.2533200083758316,-0.16776749939475605,-6.013514883539015
J103202.9+573208,AGN,7.280492321021126,19.807170190289,,0.3575911368172599,1,231.85933421135,6.69291418092279e-14,1.588319271358725,1.4630697755999504,1.7166031507332065,-0.42302236368710583,0.9808635910243859,0.7950646365015248,1.2036574885423708,0.0,19.79567876363963,19.241773881323656,20.40031002544768,-0.16613409515481825,-0.19056766694361688,-0.14112662591660197,-15.725111153311387
J143513.2+333118,AGN,8.646923789163852,19.96417707475067,1.0,0.57650630327803,1,108.89986460595,5.1411529056453254e-14,2.6108382966334758,2.161953690933155,3.1029941368376788,-0.44736315717128394,0.5603020537808177,0.4458640779263082,0.7024763421870346,-0.15206454547972012,19.95021395551551,19.26399877662869,20.704940743030566,-0.2879010869948111,-0.32257640386844066,-0.2539202135070586,0.0
J063719.7-801230,AGN,10.42811715694942,21.04502378948568,,0.962033156405288,1,115.03594975388,5.0174162895496e-14,2.0711622510384986,1.5777874908948997,2.549672647980344,-0.32194103448844913,0.8781366082705895,0.5973539305153635,1.240952813194688,0.0,22.44335979892661,22.338120695861576,22.54048374193336,0.04683645789575274,-0.01756664178441758,0.11925610255193586,-1.1650277513648417
J073733.4+653307,AGN,2.29504803263252,20.646750683064173,0.976,0.65795743205166,3,1038.63943388943,4.787621595364318e-14,1.9511412269813488,1.8431602943572256,2.0652248936452224,-0.7718030478785424,0.6865769543865411,0.6337642812523248,0.7429616622211187,0.0,19.869950694898534,19.286155970289116,20.39998428784472,-0.27006279807976363,-0.2826460761231217,-0.2584036269512553,-38.44156191258298
J184337.6-322514,AGN,4.84802826864727,20.906289941376183,0.813,0.952610761361432,1,239.08199789428,4.408405935696017e-14,1.3572572190164505,1.2119131943650796,1.5392922511816192,-1.065946107341437,1.201822528852751,1.0139952651059048,1.3865312220484671,0.0,20.23514313850288,19.43537480732372,20.978707928445864,-0.13884011056346157,-0.17158859709687002,-0.10637257074264188,-4.004234232607542
J125730.0+272612,AGN,5.530042843135754,19.900710639291276,1.0,0.88133468963206,2,521.447044525813,3.5573597396933265e-14,1.6786784096451484,1.5802964621611473,1.7947759446707554,-0.35254406370730557,0.8165409271786281,0.7291871329519406,0.9280522642943358,0.0,19.75129087577132,19.228703243273888,20.35635288940594,-0.20070905607610176,-0.22012422334603696,-0.1801391881667311,-17.603378767682972
J111633.3+181420,AGN,22.74873618640337,20.15058485263025,,0.63997129421679,1,101.89549144433,3.5176928047611314e-14,1.6195946686053315,1.3558454219482217,2.0056905485263488,-1.009442194199816,0.8557635200993606,0.6355172572516798,1.1863394731374206,0.0,20.457784926729264,19.51646477258377,21.180377921304576,-0.21304289656444156,-0.2600919674854873,-0.16816370776549094,-2.255897936592407
J063912.8-801314,AGN,3.683247450300436,21.04843306953875,,0.1284018609489899,1,153.43644799845,3.3725723299426355e-14,1.884544561361432,1.5591378809166787,2.200238007636089,-1.1124566764461286,0.8135687541904851,0.6176343122764336,1.1033133166932272,0.0,21.284894026412974,20.84931836560472,21.49993453354864,-0.16985882040443467,-0.1994648614320158,-0.14042821227134672,-1.548664918649813
