weight logl src1.lognorm pl1.PhoIndex src1.lognH
0.000000000000000000e+00 -1.698530421518858337e+10 9.545641763780857714e-01 2.713639221093688825e-02 4.807607770283255366e-01
0.000000000000000000e+00 -8.783862389860134125e+09 9.487044944443784322e-01 3.155749518008987842e-02 6.145888046051519726e-01
0.000000000000000000e+00 -8.039715289571389198e+09 9.757137538386631004e-01 9.047357897471353105e-02 2.120900760158767051e-01
0.000000000000000000e+00 -3.430940321922305107e+09 9.490923537767796958e-01 1.020605618518175550e-01 3.070533876770441539e-01
0.000000000000000000e+00 -3.424208164966061592e+09 8.725023704302825589e-01 1.662129018946501002e-02 3.893163170465853140e-01
0.000000000000000000e+00 -3.275110840100380898e+09 9.929431304954242643e-01 9.743206358082886487e-01 1.733423985944649859e-01
0.000000000000000000e+00 -2.557112170763504028e+09 8.620400249686743788e-01 1.941816912805738315e-02 3.466936949104477694e-01
0.000000000000000000e+00 -2.199786386126897812e+09 9.366329799629731223e-01 1.106623907798515161e-01 1.678703712364325584e-01
0.000000000000000000e+00 -1.164350874763919592e+09 9.433301561288005566e-01 8.879877898380195145e-02 6.714082597296119337e-01
0.000000000000000000e+00 -8.269087065997928381e+08 9.627726024114851011e-01 8.727710643892977460e-01 1.351290335216308591e-01
0.000000000000000000e+00 -4.322075533211708665e+08 9.722285627671785058e-01 7.296535564234301052e-01 1.168693837752488029e-02
0.000000000000000000e+00 -3.861027600027971268e+08 9.580282618057114341e-01 7.693378797578630524e-01 1.032310582789206510e-01
0.000000000000000000e+00 -2.716074266991717815e+08 9.771853621518268307e-01 9.615597806336640962e-01 3.725016073882513323e-01
0.000000000000000000e+00 -2.543143617841130495e+08 8.930779975991530728e-01 5.959635802399443349e-02 7.246407454846460761e-01
0.000000000000000000e+00 -2.477444382340151966e+08 7.524710331825392728e-01 7.527418260196094835e-03 4.862567031385719440e-01
0.000000000000000000e+00 -2.438926582956916094e+08 9.723015969260716540e-01 2.475371426575159184e-01 5.390834232829951889e-01
0.000000000000000000e+00 -1.778353134083927870e+08 7.576852308767929589e-01 3.196906994666226520e-02 2.792829364539592962e-01
0.000000000000000000e+00 -1.646383441284073293e+08 9.610895218921314820e-01 3.434080673020513119e-01 2.250364210301568635e-01
0.000000000000000000e+00 -1.634839949395581186e+08 9.058885457893018911e-01 8.413445382508222270e-01 2.060809417554525513e-01
0.000000000000000000e+00 -1.603536901892559528e+08 9.800821523170319960e-01 4.272909870929004761e-01 2.954278790281673617e-01
0.000000000000000000e+00 -1.596344171844719052e+08 9.249984782910445347e-01 7.453060586423642109e-01 1.779680544398365427e-03
