08:41:54 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ103302.5+572833/powerlaw_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
08:41:54 [ultranest] [INFO] Sampling 400 live points from prior ...
08:41:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
08:41:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
08:41:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
08:41:55 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-193498014001.88, Lmax=-237.15
08:41:55 [ultranest] [DEBUG] iteration=18, ncalls=420, regioncalls=800, ndraw=40, logz=-11948953116.59, remainder_fraction=100.0000%, Lmin=-9653069117.67, Lmax=-237.15
08:41:55 [ultranest] [DEBUG] iteration=37, ncalls=440, regioncalls=1600, ndraw=40, logz=-1799558377.73, remainder_fraction=100.0000%, Lmin=-1632290257.34, Lmax=-237.15
08:41:55 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-1311633881.32, remainder_fraction=100.0000%, Lmin=-1215854684.15, Lmax=-237.15
08:41:55 [ultranest] [DEBUG] iteration=62, ncalls=468, regioncalls=2720, ndraw=40, logz=-628052986.98, remainder_fraction=100.0000%, Lmin=-576387754.74, Lmax=-237.15
08:41:55 [ultranest] [DEBUG] iteration=80, ncalls=488, regioncalls=3520, ndraw=40, logz=-214828027.45, remainder_fraction=100.0000%, Lmin=-212304895.40, Lmax=-237.15
08:41:56 [ultranest] [DEBUG] iteration=97, ncalls=508, regioncalls=4320, ndraw=40, logz=-118413525.20, remainder_fraction=100.0000%, Lmin=-115505923.70, Lmax=-237.15
08:41:56 [ultranest] [DEBUG] iteration=117, ncalls=529, regioncalls=5160, ndraw=40, logz=-66347442.61, remainder_fraction=100.0000%, Lmin=-66162244.79, Lmax=-237.15
08:41:56 [ultranest] [DEBUG] iteration=120, ncalls=532, regioncalls=5280, ndraw=40, logz=-61414862.73, remainder_fraction=100.0000%, Lmin=-60981375.36, Lmax=-237.15
